record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-10 11:31:43,213,1,0,0,1,19,3,0,5,0,0,0,22,16,0,0,3,2,0,0,0,74,0,0,0,0,20,0,0
2025-07-10 12:17:22,52,1081,32,0,0,1865,1,0,0,0,0,0,158,117,0,0,80,28,0,1,63,3108,1,1,0,32,514,0,0
2025-07-10 12:47:27,76,1173,4,0,2,1615,9,0,1,0,0,0,112,89,0,0,22,7,0,0,283,2503,0,0,0,4,252,0,0
2025-07-10 13:17:27,15,1058,9,0,1,1270,0,0,0,0,0,0,47,23,0,0,10,18,0,2,0,1766,0,0,0,9,61,0,0
2025-07-10 14:16:36,72,7,9,0,3,34,3,0,0,0,0,0,113,93,0,0,23,12,0,8,3,242,0,1,0,9,80,0,0
2025-07-10 15:15:02,101,1119,16,0,0,1344,10,0,37,0,0,0,126,94,0,0,60,33,0,31,0,2093,0,0,0,16,201,1,0
2025-07-10 15:45:02,0,0,2,0,0,0,0,1,0,0,0,0,33,27,0,0,7,6,0,1,0,16,0,0,0,2,21,0,0
2025-07-11 02:47:32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-11 03:47:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2025-07-11 11:17:45,0,0,4,0,0,0,0,0,0,0,0,0,38,16,0,0,7,8,0,5,0,85,0,0,0,4,23,0,0
2025-07-11 11:47:46,7,1056,5,0,0,1203,0,0,0,0,0,0,45,29,0,0,12,10,0,9,0,1820,0,0,0,5,48,0,0
2025-07-11 12:40:26,20,1880,12,0,0,3603,1,1,2,0,0,0,78,56,0,0,47,20,0,32,0,4434,0,0,0,12,287,0,0
2025-07-11 13:10:31,87,103,8,0,0,137,956,4,0,0,0,0,68,30,0,0,6,6,0,0,0,1707,0,0,0,8,210,0,0
2025-07-11 13:40:31,67,74,28,0,0,147,603,4,18,0,0,0,105,54,12,2,7,0,0,0,0,1928,0,0,0,28,144,2,0
2025-07-11 14:32:26,239,315,49,0,1,464,247,1,1,0,0,0,121,78,0,0,27,6,0,2,0,942,0,0,0,49,121,24,0
2025-07-11 15:02:26,6,724,2,0,0,927,0,0,0,0,0,0,17,6,0,0,4,7,0,0,0,1135,0,0,0,2,54,0,0
