record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-12 19:15:51,0,16902,35,0,1,18588,0,0,0,0,0,0,76,53,0,0,41,8,0,0,0,20230,0,0,0,35,493,0,0
2025-08-12 19:45:51,0,12588,1,0,0,13562,0,0,0,0,0,0,37,32,0,0,21,0,0,0,0,14893,0,0,0,1,333,0,346
2025-08-13 03:15:54,0,8477,0,0,5,9365,0,0,0,0,0,0,10,10,0,0,5,0,0,0,0,10384,0,0,0,0,219,0,0
2025-08-13 03:45:54,0,19995,0,0,25,21094,0,0,0,0,0,0,21,18,0,0,10,0,0,0,0,23827,0,0,0,0,534,0,0
2025-08-13 04:15:54,0,13198,0,0,9,14064,0,0,0,0,0,0,10,10,0,0,2,0,0,0,0,15602,0,0,0,0,355,0,0
2025-08-13 04:45:56,0,21273,0,0,7,23264,0,0,0,0,0,0,17,14,0,0,11,0,0,0,0,25692,0,0,0,0,611,0,0
2025-08-13 05:15:56,0,2305,5,0,4,2496,0,0,0,0,0,0,61,51,0,0,14,0,0,0,58,3107,9,0,0,5,86,0,0
2025-08-13 06:27:29,0,2762,5,0,16,2960,0,0,0,0,0,0,46,39,0,0,21,2,0,0,143,3735,6,1,0,5,119,0,0
2025-08-13 06:57:29,0,10272,3,0,1,11729,0,0,0,0,0,0,22,15,0,0,9,0,0,0,253,13097,5,0,0,3,309,0,37
2025-08-13 07:27:29,0,5966,1,0,0,6277,0,0,0,0,0,0,5,4,0,0,1,0,0,0,0,7116,0,0,0,1,175,0,1123
2025-08-13 08:27:29,18,3759,0,0,0,4709,0,0,0,0,0,0,21,18,0,0,13,0,0,0,0,5117,0,0,0,0,178,0,0
2025-08-13 08:57:29,0,3983,4,0,0,5186,0,0,0,0,0,0,33,28,0,0,15,0,0,0,73,5737,1,0,0,4,153,0,0
2025-08-13 09:27:29,0,566,3,0,0,680,0,0,0,0,0,0,42,37,0,0,10,0,0,0,0,1137,0,0,0,3,25,0,0
2025-08-13 09:57:29,0,1727,0,0,3,2052,0,0,0,0,0,0,15,15,0,0,5,0,0,0,0,3350,0,0,0,0,9,0,0
2025-08-13 10:27:29,0,11554,2,0,1,16226,0,0,0,0,0,0,24,22,0,0,12,4,0,0,0,16751,0,0,0,2,482,0,0
2025-08-13 10:57:29,0,276,1,0,0,399,0,0,0,0,0,0,6,5,0,0,1,0,0,0,0,485,0,0,0,1,7,0,1212
2025-08-13 11:39:40,1,2676,3,0,0,2980,0,0,0,0,0,0,33,27,0,0,11,2,0,1,0,3469,0,1,0,3,79,0,0
2025-08-13 12:09:40,0,11460,1,0,0,12502,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,12551,0,0,0,1,312,0,479
2025-08-13 12:39:40,0,7605,1,0,0,8448,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,8451,0,0,0,1,212,0,0
2025-08-13 13:09:40,0,611,1,0,0,640,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,644,0,0,0,1,21,0,1451
2025-08-13 13:39:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2025-08-13 14:46:45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-13 19:55:33,0,26371,0,0,0,27189,0,0,0,0,0,0,10,8,0,0,3,2,0,0,0,27212,0,0,0,0,534,0,0
2025-08-13 20:25:33,0,14575,2,0,0,14765,0,0,0,0,0,0,41,32,0,0,9,0,0,0,96,14956,3,0,0,2,295,0,0
2025-08-13 20:55:33,1,1276,1,0,27,1643,0,0,0,0,0,0,7,0,0,0,5,2,0,0,0,2208,0,0,0,1,96,0,0
2025-08-13 21:25:33,3,12543,3,0,31,15543,0,0,0,0,0,0,250,237,0,0,20,2,0,0,0,17700,0,0,0,3,1406,0,0
2025-08-13 21:55:33,0,5852,1,0,11,10564,0,0,0,0,0,0,23,13,0,0,5,0,0,5,0,13473,0,0,0,1,1400,0,0
2025-08-13 22:25:33,5,2357,5,0,0,2623,14,4,0,0,0,0,44,28,0,0,14,6,0,0,0,5226,0,0,0,5,63,3,0
2025-08-13 22:55:33,0,3549,4,0,0,5876,0,0,0,0,0,0,47,36,0,0,29,4,0,0,0,7475,0,0,0,4,527,0,0
2025-08-13 23:55:36,0,2004,1,0,0,2606,0,0,0,0,0,0,4,3,0,0,4,0,0,0,0,3805,0,0,0,1,234,0,0
2025-08-14 00:25:36,0,5794,5,0,4,8997,1,0,0,0,0,0,39,29,0,0,32,8,0,0,0,16680,0,0,0,5,1213,0,0
2025-08-14 00:55:36,0,3441,0,0,0,5831,0,0,0,0,0,0,6,4,0,0,2,0,0,0,0,6607,0,0,0,0,718,0,770
2025-08-14 01:25:36,0,989,0,0,0,1813,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2033,0,0,0,0,152,0,0
2025-08-14 01:55:36,1,281,7,0,2,567,3,2,0,0,0,0,33,22,0,0,18,13,0,1,0,706,0,0,0,7,102,2,737
2025-08-14 02:55:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
2025-08-14 03:25:36,0,2298,7,0,0,3526,0,0,0,0,0,0,73,67,0,0,24,0,0,0,557,5733,6,0,0,7,424,0,1
2025-08-14 03:55:36,0,1323,3,0,4,1935,0,0,0,0,0,0,72,57,0,0,7,0,0,0,1238,2057,10,0,0,3,28,0,0
2025-08-14 04:25:37,2,1607,6,0,19,1847,6,5,0,0,0,0,176,142,0,0,32,8,0,0,78,16720,1,0,0,6,64,4,0
2025-08-14 04:55:40,16,8281,14,0,2,1467,4,0,0,0,0,0,94,38,0,0,43,20,0,5,0,11563,0,0,0,14,117,0,0
2025-08-14 05:25:50,2,3222,4,0,0,299,2,0,0,0,0,0,42,23,0,0,10,8,0,0,0,687,0,0,0,4,38,0,655
2025-08-14 10:03:50,6,9199,7,0,9,825,5,0,0,0,0,0,66,31,0,0,30,12,0,1,0,2208,0,0,0,7,99,0,0
2025-08-14 10:35:39,38,22510,21,0,13,1807,12,0,0,0,0,0,158,75,0,0,63,41,0,1,0,3576,0,0,0,21,209,0,0
2025-08-14 11:06:25,8,6436,25,0,43,695,4,0,0,0,0,0,203,156,0,0,70,27,0,28,4,1039,0,0,0,25,206,0,0
2025-08-14 11:37:49,109,6546,6,0,7,12418,12,1,0,0,0,0,54,31,0,0,26,12,0,40,11,15382,0,0,0,6,1396,9,175
2025-08-14 12:09:14,0,5223,7,0,0,10305,2,0,0,0,0,0,25,13,0,0,16,4,0,0,0,12772,0,0,0,7,876,0,0
2025-08-14 12:41:12,0,6316,3,0,0,12267,0,0,0,0,0,0,80,59,0,0,11,12,0,0,0,15438,0,0,0,3,1135,0,0
2025-08-14 13:13:31,0,9405,3,0,1,16648,0,0,0,0,0,0,31,15,0,0,8,4,0,0,404,19143,3,0,0,3,1363,0,0
2025-08-14 13:45:03,0,3886,1,0,1,6752,0,0,0,0,0,0,54,40,0,0,8,0,0,0,810,8382,5,0,0,1,371,0,0
2025-08-14 14:32:38,12,23146,25,0,14,2663,11,0,0,0,0,0,189,96,0,0,71,52,0,1,0,4106,0,1,0,25,239,0,0
2025-08-14 15:02:41,0,2789,0,0,6,5907,0,0,0,0,0,0,3,1,0,0,5,0,0,0,0,6068,0,0,0,0,12,0,0
2025-08-14 15:32:46,0,3038,0,0,0,4430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4430,0,0,0,0,0,0,0
2025-08-14 16:02:46,0,3184,0,0,0,3975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3975,0,0,0,0,0,0,0
