record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-24 09:08:22,44,323,5,0,0,711,20,0,1,0,0,0,148,138,0,0,53,7,0,2,295,830,14,1,0,5,132,0,0
2025-07-24 09:38:22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-24 11:08:22,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0
2025-07-24 11:38:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2025-07-24 12:38:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
2025-07-24 13:08:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2025-07-24 16:48:53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-24 18:09:23,8,0,2,0,0,0,0,0,0,0,0,0,16,5,0,0,7,6,0,1,0,2,1,0,0,2,11,0,785
2025-07-24 22:09:23,5,306,5,0,0,588,0,0,4,0,0,0,79,65,0,0,34,4,0,1,287,627,5,0,0,5,72,0,0
2025-07-24 22:39:23,18,2202,4,0,0,2725,2,0,0,0,0,0,67,59,0,0,25,4,0,4,378,3216,4,0,0,4,110,0,623
2025-07-25 02:39:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2025-07-25 04:09:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
