record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-10 18:20:53,17,3214,34,0,10,3489,5,7,0,0,0,0,146,85,0,0,72,13,0,0,354,4570,16,0,0,34,154,0,0
2025-07-10 18:50:53,15,17246,6,0,10,17527,2,3,0,0,0,0,122,95,0,0,45,8,0,0,86,24717,2,0,0,6,372,1,0
2025-07-10 19:20:53,15,1108,10,0,2,1192,0,0,0,0,0,0,57,39,0,0,31,4,0,0,88,1488,2,0,0,10,39,0,0
2025-07-11 03:50:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2025-07-11 05:50:53,107,2860,4,0,0,2914,0,0,0,0,0,0,36,17,0,0,20,4,0,0,57,4109,1,0,0,4,78,0,0
2025-07-11 06:20:53,6,1005,4,0,2,1438,0,0,0,0,0,0,61,40,0,0,12,4,0,0,940,1566,10,0,0,4,85,0,0
2025-07-11 06:50:54,66,5711,9,0,4,5848,13,4,0,0,0,0,151,108,0,0,41,12,0,0,145,9180,2,0,0,9,172,1,0
2025-07-11 07:20:54,24,14214,9,0,3,14523,2,0,0,0,0,0,107,71,0,0,30,8,0,0,375,19734,4,0,0,9,348,2,0
2025-07-11 07:50:54,23,9996,7,0,2,10505,0,0,0,0,0,0,84,49,0,0,14,8,0,0,857,14636,7,0,0,7,274,0,0
2025-07-11 08:20:54,0,7028,8,0,2,7472,0,0,0,0,0,0,132,100,0,0,25,8,0,0,700,10770,4,0,0,8,185,0,0
2025-07-11 08:50:54,29,2130,11,0,2,2516,0,0,9,1,0,0,128,98,0,0,31,18,0,0,530,3285,3,0,0,11,87,0,0
2025-07-11 09:20:53,0,23404,1,0,0,23796,0,0,0,0,0,0,13,2,0,0,2,0,0,0,0,36878,0,0,0,1,666,0,0
2025-07-11 09:50:53,20,10113,8,0,1,10271,8,2,0,0,0,0,128,81,0,0,40,9,0,0,107,17224,1,0,0,8,450,7,0
2025-07-11 10:20:57,15,265,15,0,0,320,1,0,0,0,0,0,85,69,0,0,25,12,0,0,7,408,0,0,0,15,33,1,0
2025-07-11 10:51:00,0,124,1,0,0,160,0,0,0,0,0,0,6,2,0,0,1,0,0,0,95,205,1,0,0,1,37,0,0
2025-07-11 11:50:30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-11 13:04:13,9,9371,1,0,4,9510,0,0,0,0,0,0,30,24,0,0,21,4,0,0,0,12439,0,0,0,1,247,0,0
2025-07-11 13:34:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-07-11 16:20:26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-12 08:34:05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-12 10:39:02,30,9769,10,0,12,10274,0,0,0,0,0,0,73,42,0,0,26,10,0,0,413,12484,2,1,0,10,236,0,0
2025-07-12 11:10:20,18,715,3,0,0,731,0,0,0,0,0,0,22,13,0,0,14,4,0,0,0,869,0,0,0,3,29,0,0
2025-07-12 19:20:15,0,15303,3,0,3,15717,0,0,0,0,0,0,100,89,0,0,18,2,0,0,462,16870,2,0,0,3,581,0,0
2025-07-12 19:50:15,0,2920,1,0,19,2933,0,0,2,0,0,0,37,29,0,0,29,0,0,0,0,3007,1,0,0,1,160,0,0
2025-07-12 20:21:02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-13 06:33:22,138,2368,6,0,24,2532,29,1,0,0,0,0,123,97,0,0,39,16,0,0,40,2823,0,0,0,6,164,0,0
2025-07-13 07:21:38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-13 08:45:04,0,28062,3,0,6,28612,0,0,1,0,0,0,28,20,0,0,21,2,0,0,0,31451,0,0,0,3,1324,0,0
2025-07-13 09:24:56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
