record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-25 21:14:38,7,81,30,0,0,130,47,0,0,0,0,0,99,93,0,0,19,7,0,0,73,467,6,0,0,30,84,0,229
2025-07-25 21:44:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,1451
2025-07-25 23:44:38,2,0,0,0,0,0,6,0,0,0,0,0,17,17,0,0,5,0,0,0,0,15,0,0,0,0,39,0,0
2025-07-26 01:14:38,0,0,0,0,0,0,0,0,0,0,0,0,251,251,0,0,0,0,0,0,0,3,0,0,0,0,4,0,481
2025-07-26 01:44:38,4,390,1,0,0,1404,0,0,0,0,0,0,35,33,0,0,5,2,0,0,0,1435,1,0,0,1,15,0,0
2025-07-26 02:14:38,0,968,0,0,0,3598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3598,0,0,0,0,0,0,0
2025-07-26 02:44:38,0,987,0,0,0,3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3599,0,0,0,0,0,0,0
2025-07-26 03:14:38,0,1020,0,0,0,3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3599,0,0,0,0,0,0,0
2025-07-26 03:44:38,0,1005,0,0,0,3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3599,0,0,0,0,0,0,0
2025-07-26 04:14:38,0,1067,0,0,0,3598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3598,0,0,0,0,0,0,0
2025-07-26 04:44:38,0,1021,0,0,0,3598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3598,0,0,0,0,0,0,0
2025-07-26 05:14:38,0,967,0,0,0,3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3599,0,0,0,0,0,0,0
2025-07-26 05:44:38,0,1012,0,0,0,3598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3598,0,0,0,0,0,0,0
2025-07-26 06:14:38,0,1000,0,0,0,3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3599,0,0,0,0,0,0,0
2025-07-26 06:44:38,0,1065,0,0,0,3598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3598,0,0,0,0,0,0,0
2025-07-26 07:14:38,0,1065,0,0,0,3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3599,0,0,0,0,0,0,0
2025-07-26 07:44:38,0,1040,0,0,0,3598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3598,0,0,0,0,0,0,0
2025-07-26 08:33:29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-26 09:36:53,0,1003,0,0,0,3588,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3588,0,0,0,0,0,0,0
2025-07-26 10:14:05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-26 11:47:13,0,1123,0,0,0,3590,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3590,0,0,0,0,0,0,0
2025-07-26 12:17:13,0,1147,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0
2025-07-26 12:47:21,0,958,0,0,0,3386,0,0,0,0,0,0,43,42,0,0,3,1,0,0,0,3394,0,0,0,0,5,0,0
2025-07-26 13:17:21,0,871,2,0,0,3200,7,0,0,0,0,0,14,7,0,0,9,4,0,0,0,3243,0,0,0,2,35,0,0
2025-07-26 14:23:17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-26 15:15:35,0,974,0,0,0,3587,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3587,0,1,0,0,0,0,0
2025-07-26 15:45:35,0,947,0,0,0,3598,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3598,0,0,0,0,0,0,0
2025-07-26 16:15:35,0,937,0,0,0,3598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3598,0,0,0,0,0,0,0
2025-07-26 16:45:35,0,969,0,0,0,3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3599,0,0,0,0,0,0,0
2025-07-26 17:15:35,0,995,0,0,0,3598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3598,0,0,0,0,0,0,0
2025-07-26 17:45:35,0,970,0,0,0,3598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3598,0,0,0,0,0,0,0
2025-07-26 18:15:35,0,978,0,0,0,3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3599,0,0,0,0,0,0,0
2025-07-26 18:45:35,0,948,0,0,0,3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3599,0,0,0,0,0,0,0
2025-07-26 19:15:35,0,959,0,0,0,3598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3598,0,0,0,0,0,0,0
2025-07-26 19:45:35,0,1029,0,0,0,3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3599,0,0,0,0,0,0,0
2025-07-26 20:37:14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-26 21:54:14,0,990,0,0,0,3580,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,3580,0,1,0,0,0,0,0
2025-07-26 23:41:51,0,918,0,0,0,3592,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3592,0,0,0,0,0,0,0
2025-07-27 00:11:51,0,915,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0
2025-07-27 00:41:51,0,902,0,0,0,3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3599,0,0,0,0,0,0,0
2025-07-27 01:11:51,0,983,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0
2025-07-27 01:41:51,0,926,2,0,0,3344,3,0,0,0,0,0,13,8,0,0,7,4,0,1,0,3356,0,0,0,2,19,0,0
2025-07-27 02:11:51,0,990,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0
2025-07-27 02:41:51,0,909,0,0,0,3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3599,0,0,0,0,0,0,0
2025-07-27 03:11:51,0,1048,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0
2025-07-27 03:41:51,0,904,2,0,0,3408,0,0,0,0,0,0,17,13,0,0,7,4,0,0,0,3414,0,0,0,2,14,0,0
2025-07-27 04:25:38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-28 00:09:50,0,902,0,0,0,3442,0,0,0,0,0,0,61,61,0,0,2,2,0,0,0,3447,0,0,0,0,5,0,0
2025-07-28 00:39:50,0,951,0,0,0,3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3599,0,0,0,0,0,0,0
2025-07-28 01:09:51,0,937,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0
2025-07-28 02:00:46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-28 19:24:21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
