record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-09 15:47:09,233,634,28,0,0,863,51,11,0,0,0,0,64,48,0,0,14,9,0,0,0,1439,0,0,0,28,30,1,0
2025-07-09 16:45:02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-10 10:35:33,68,6,2,0,0,13,0,0,0,0,0,0,40,32,0,0,17,4,0,0,3,24,0,0,0,2,35,0,0
2025-07-10 11:06:05,215,701,16,0,0,829,11,16,0,0,0,0,110,74,0,0,44,19,0,11,89,1010,7,0,0,16,56,1,0
2025-07-10 11:36:08,301,246,3,0,1,384,160,35,0,0,0,0,86,67,0,0,16,4,0,0,102,662,4,0,0,3,59,4,0
2025-07-10 12:06:08,538,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0
2025-07-10 12:36:13,159,199,5,0,7,282,28,2,0,0,0,4,101,79,6,7,20,13,0,0,19,523,2,0,0,5,54,2,0
2025-07-10 13:06:14,114,137,5,0,0,215,161,16,0,0,0,4,112,79,3,2,14,14,0,0,15,514,1,0,0,5,82,3,0
2025-07-10 13:36:18,183,295,3,0,0,507,203,6,0,0,0,5,120,91,1,1,15,4,0,0,39,905,3,0,0,3,75,0,0
2025-07-10 14:16:46,90,107,1,0,10,123,166,4,0,0,0,2,81,35,78,5,9,4,0,1,4,684,0,1,0,1,17,0,0
2025-07-18 11:38:21,4,1577,10,0,0,1881,1,1,0,0,0,0,109,61,1,1,32,18,0,24,0,2865,1,0,0,10,324,1,0
2025-07-18 12:11:01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
