record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-06 00:03:31,192,333,41,0,0,463,80,5,1,0,0,0,180,134,1,0,73,23,0,1,0,695,0,0,0,41,80,2,0
2025-08-06 00:33:31,129,674,9,0,11,805,104,3,0,0,0,0,133,90,1,0,63,12,0,4,11,1135,1,0,0,9,79,4,0
2025-08-06 01:03:31,159,164,6,0,1,252,394,12,0,0,0,0,109,66,14,3,33,8,0,2,0,829,0,0,0,6,64,18,0
2025-08-06 01:42:37,73,82,7,0,2,125,225,8,0,0,0,0,187,129,17,5,53,8,0,2,0,534,0,1,0,7,86,47,0
2025-08-06 02:12:38,2,3,1,0,0,6,3,0,0,0,0,0,21,16,0,0,7,2,0,0,0,18,0,0,0,1,11,0,1037
2025-08-06 02:42:37,370,400,2,0,0,539,47,0,0,0,0,0,30,16,0,0,10,4,0,0,0,889,0,0,0,2,24,0,360
2025-08-06 03:21:16,24,4430,7,0,4,4614,115,3,1,0,0,0,153,116,0,0,69,8,0,2,89,5588,6,1,0,7,180,5,0
2025-08-06 03:51:16,19,4223,10,0,0,4546,572,16,0,0,0,0,206,174,0,0,40,12,0,0,0,6858,0,0,0,10,212,0,0
2025-08-06 04:36:44,0,730,0,0,1,820,0,0,0,0,0,0,17,16,0,0,5,2,0,0,0,3941,0,1,0,0,3,0,0
2025-08-06 05:06:44,0,599,0,0,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3714,0,0,0,0,0,0,0
2025-08-06 05:36:44,10,223,6,0,9,250,6,0,0,0,0,0,125,116,0,0,40,4,0,0,0,1222,0,0,0,6,33,0,350
2025-08-06 06:06:44,0,599,0,0,0,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3607,0,0,0,0,0,0,0
2025-08-06 06:36:44,0,6792,10,0,1,7342,0,0,0,0,0,0,79,63,0,0,52,6,0,0,4,10290,0,0,0,10,211,0,0
2025-08-06 07:06:44,38,4705,2,0,11,5211,135,10,6,0,0,0,139,102,0,0,34,4,0,0,0,6085,0,0,0,2,294,4,0
2025-08-06 07:36:44,149,139,6,0,0,261,260,4,6,0,0,0,112,55,45,0,17,12,0,24,1,1005,0,0,0,6,257,1,0
2025-08-06 08:06:44,76,21,6,0,13,40,226,2,23,0,0,1,148,96,26,10,34,6,0,0,1,717,1,0,0,6,225,1,0
2025-08-06 08:50:47,88,8,3,0,5,35,139,6,9,0,0,0,302,230,11,16,40,7,0,7,0,563,0,1,0,3,206,5,0
2025-08-06 09:20:47,155,46,1,0,10,55,466,9,5,0,0,0,114,71,5,0,17,2,0,3,0,897,0,0,0,1,236,6,0
2025-08-06 09:50:47,200,94,4,7,1,205,647,3,22,0,0,0,121,68,0,0,20,6,1,0,1,1913,0,0,1,4,181,11,0
2025-08-06 10:20:47,113,143,2,0,1,221,179,10,0,0,0,0,103,63,3,0,23,2,0,0,1,580,1,0,0,2,60,69,0
2025-08-06 10:50:47,51,234,1,0,6,324,560,0,0,0,0,0,63,38,0,0,10,0,0,0,0,1126,0,0,0,1,167,17,0
2025-08-06 11:20:47,55,92,1,0,0,167,113,0,2,0,0,0,43,38,0,0,13,0,0,0,1,389,0,0,0,1,51,0,1012
2025-08-06 12:02:55,117,50,2,2,6,140,537,3,17,0,0,0,91,32,3,0,7,6,0,0,0,1907,0,1,0,2,182,11,0
2025-08-06 12:32:55,32,59,5,0,1,116,430,6,0,0,0,0,137,89,0,0,27,13,0,1,4,1020,0,0,0,5,218,6,0
2025-08-06 13:02:55,0,598,0,0,0,666,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3706,0,0,0,0,0,0,0
2025-08-06 13:32:55,0,598,0,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3652,0,0,0,0,0,0,0
2025-08-06 14:02:55,69,270,4,0,1,356,22,0,0,0,0,0,58,48,2,2,26,8,0,1,0,1579,0,0,0,4,66,0,248
2025-08-06 16:01:47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-06 17:08:15,1,570,3,0,0,620,0,0,0,0,0,0,15,10,0,0,9,6,0,0,0,3380,0,0,0,3,6,0,0
2025-08-06 17:38:15,0,598,0,0,0,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3528,0,0,0,0,0,0,0
2025-08-06 18:08:15,0,597,0,0,0,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3695,0,0,0,0,0,0,0
2025-08-06 18:38:15,0,598,0,0,0,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3536,0,0,0,0,0,0,0
2025-08-06 19:08:15,0,598,0,0,0,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3632,0,0,0,0,0,0,0
2025-08-06 19:40:07,0,627,0,0,0,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3757,0,0,0,0,0,0,0
2025-08-06 20:10:19,0,590,0,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4044,0,0,0,0,0,0,0
2025-08-06 20:40:19,0,593,0,0,0,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3752,0,0,0,0,0,0,0
2025-08-06 21:53:09,13,1705,5,0,1,1851,0,0,0,0,0,0,47,31,0,0,19,10,0,0,0,4297,0,1,0,5,44,0,0
2025-08-06 22:23:09,0,600,0,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3612,0,0,0,0,0,0,0
2025-08-06 22:53:17,0,597,0,0,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3822,0,0,0,0,0,0,0
2025-08-06 23:23:24,0,586,0,0,0,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4680,0,0,0,0,0,0,0
2025-08-06 23:53:42,0,593,0,0,0,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,0,0,0,0,0,0,0
2025-08-07 00:23:44,0,598,0,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3558,0,0,0,0,0,0,0
2025-08-07 00:54:24,0,603,0,0,0,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3914,0,0,0,0,0,0,0
2025-08-07 01:24:23,0,599,0,0,0,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3710,0,0,0,0,0,0,0
2025-08-07 01:54:23,0,598,0,0,0,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3553,0,0,0,0,0,0,0
2025-08-07 02:24:23,0,597,0,0,0,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3550,0,0,0,0,0,0,0
2025-08-07 02:54:23,0,598,0,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3581,0,0,0,0,0,0,0
2025-08-07 03:24:23,0,598,0,0,0,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3544,0,0,0,0,0,0,0
2025-08-07 03:54:23,0,599,0,0,0,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3563,0,0,0,0,0,0,0
2025-08-07 04:24:24,0,597,0,0,0,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3586,0,0,0,0,0,0,0
2025-08-07 04:54:41,0,593,0,0,0,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3776,0,0,0,0,0,0,0
2025-08-07 05:47:36,7,0,1,0,4,0,0,0,9,0,0,0,30,22,0,0,33,4,0,12,0,54,0,1,0,1,16,0,0
2025-08-07 06:17:38,0,502,2,0,0,556,2,0,0,0,0,0,14,10,0,0,3,2,0,0,0,2996,0,0,0,2,15,0,0
2025-08-07 06:47:38,0,597,0,0,0,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3673,0,0,0,0,0,0,0
2025-08-07 07:18:56,0,605,0,0,0,670,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,4301,0,0,0,0,0,0,0
2025-08-07 07:49:52,0,598,0,0,2,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3727,0,0,0,0,0,0,0
2025-08-07 08:19:52,0,596,0,0,0,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3588,0,0,0,0,0,0,0
2025-08-07 08:50:20,0,601,0,0,0,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3684,0,0,0,0,0,0,0
2025-08-07 09:21:25,0,613,0,0,0,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3701,0,0,0,0,0,0,0
2025-08-07 09:52:11,0,595,0,0,0,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3638,0,0,0,0,0,0,0
2025-08-07 10:23:32,0,602,0,0,0,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3754,0,0,0,0,0,0,0
2025-08-07 10:58:48,0,661,0,0,0,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5465,0,0,0,0,0,0,0
2025-08-07 11:28:50,0,594,0,0,0,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3588,0,0,0,0,0,0,0
2025-08-07 11:58:58,0,595,0,0,0,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3804,0,0,0,0,0,0,0
2025-08-07 12:28:58,0,598,0,0,0,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3632,0,0,0,0,0,0,0
2025-08-07 12:59:24,50,186,1,0,1,216,28,1,11,0,0,0,37,29,0,0,2,2,0,0,0,1456,0,0,0,1,61,1,159
2025-08-07 13:29:23,67,0,0,0,10,22,39,0,58,0,0,0,108,105,0,0,2,0,0,4,0,219,0,0,0,0,85,0,352
2025-08-07 14:20:24,16,16,11,0,6,34,477,4,375,1,0,0,142,98,0,0,19,24,5,0,0,1113,0,1,5,11,199,0,0
2025-08-07 14:50:24,99,79,0,2,7,126,405,5,0,0,0,0,296,248,0,0,44,2,0,0,0,739,0,0,0,0,264,19,0
2025-08-07 15:20:32,31,43,0,2,0,56,535,10,0,0,0,0,131,104,0,0,18,2,0,0,0,681,0,0,0,0,167,8,264
2025-08-07 15:51:12,43,53,3,7,21,79,431,13,0,0,0,0,107,64,0,0,22,4,0,0,0,764,0,0,0,3,210,8,0
2025-08-07 16:21:19,254,16,2,0,3,21,211,2,0,0,0,0,57,43,0,0,16,4,0,0,0,359,0,0,0,2,41,0,836
2025-08-07 16:51:49,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 17:21:48,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 17:51:48,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 18:21:48,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 18:51:48,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 19:21:48,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 19:51:55,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 20:21:55,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 20:51:55,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 21:21:55,268,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0
2025-08-07 21:51:55,227,6,0,1,0,16,253,0,0,0,0,0,28,21,0,0,2,0,0,0,0,383,0,0,0,0,40,0,1044
2025-08-07 22:21:55,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 22:51:55,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-07 23:21:55,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
