record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-19 07:30:38,15,448,6,0,2,619,12,0,0,0,0,0,68,49,0,0,38,7,0,0,404,722,17,1,0,6,102,0,0
2025-07-19 08:00:38,1,13682,7,0,1,13973,1,3,0,0,0,0,213,186,0,0,29,8,0,2,85,16262,2,0,0,7,347,1,0
2025-07-19 08:30:38,2,6369,2,0,0,6693,0,0,0,0,0,0,120,102,0,0,14,0,0,2,939,7406,12,0,0,2,174,0,0
2025-07-19 09:00:38,1,4172,6,0,1,4577,0,11,0,0,0,0,106,93,0,0,20,4,0,0,868,5608,7,0,0,6,145,0,0
2025-07-19 09:38:08,36,8342,7,0,0,8703,6,4,6,0,0,0,196,156,1,1,46,10,0,0,15,9906,1,1,0,7,288,1,0
2025-07-19 10:08:08,0,509,2,0,0,661,0,1,1,0,0,0,91,79,0,0,20,0,0,0,449,692,2,0,0,2,47,0,0
2025-07-19 10:38:08,78,121,3,0,2,152,408,2,3,0,0,0,217,180,0,0,36,6,0,0,0,757,0,0,0,3,154,2,0
2025-07-19 11:08:08,82,108,0,0,4,114,337,0,8,0,0,0,106,58,70,2,6,0,0,0,0,632,0,0,0,0,126,2,0
2025-07-19 11:38:08,9,7,0,0,0,7,7,1,0,0,0,0,28,20,23,0,0,0,0,0,0,48,0,0,0,0,26,2,0
2025-07-19 12:28:28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
