record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-27 09:46:07,0,0,26,0,0,0,0,0,0,0,0,0,1,1,0,0,7,4,0,0,0,0,0,0,0,26,8,0,1054
2025-07-27 10:16:07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-27 10:46:07,0,0,0,0,0,0,0,0,1,0,0,0,10,6,0,0,7,0,0,0,0,1,0,0,0,0,6,0,1115
2025-07-27 11:46:07,11,0,7,0,0,0,8,0,0,0,0,0,25,10,0,0,17,13,0,0,0,106,0,0,0,7,17,0,229
2025-07-27 12:16:07,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,372
2025-07-27 12:46:07,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1312
2025-07-27 14:16:10,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-27 14:46:10,19,8,3,0,0,11,0,0,0,0,0,0,16,6,0,0,9,4,0,0,1,18,0,0,0,3,20,0,34
2025-07-27 15:16:10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-27 15:46:10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-27 16:16:10,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1095
2025-07-27 22:00:50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-27 23:55:50,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1380
2025-07-28 09:25:50,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-28 09:55:50,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,2,0,0,0,0,8,0,1205
2025-07-28 10:55:50,517,0,2,0,0,0,0,0,0,0,0,0,14,9,0,0,5,2,0,4,0,10,0,0,0,2,7,0,876
2025-07-28 11:25:50,656,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,616
2025-07-28 11:55:50,774,0,0,0,0,0,4,0,0,0,0,0,13,10,0,0,1,0,0,0,0,15,0,0,0,0,4,4,1330
2025-07-28 12:25:50,162,0,1,0,0,0,0,0,0,0,0,0,10,7,0,0,7,2,0,0,0,2,0,0,0,1,32,0,895
2025-07-28 13:00:26,3,3233,0,0,0,9383,4,0,0,0,0,0,346,340,0,0,6,3,0,0,0,12674,0,1,0,0,1131,0,0
2025-07-28 13:30:26,0,1106,0,0,0,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2281,0,0,0,0,41,0,0
2025-07-28 14:00:26,0,1060,0,0,0,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,0,0,0,0,0,0,0
2025-07-28 14:30:26,0,1115,0,0,0,1635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2590,0,0,0,0,71,0,0
2025-07-28 15:00:26,64,619,6,0,0,715,40,0,3,0,0,0,63,45,0,0,55,8,0,0,72,1674,6,0,0,6,100,0,0
2025-07-28 15:30:26,5,1055,4,0,1,1751,24,0,0,0,0,0,57,51,0,0,35,8,0,0,0,2888,0,0,0,4,145,0,0
2025-07-28 16:00:26,0,1033,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1933,0,0,0,0,0,0,0
2025-07-28 16:30:26,0,994,0,0,0,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1892,0,0,0,0,0,0,0
2025-07-28 17:00:26,0,1126,0,0,0,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,0,0,0,0,0,0,0
2025-07-28 17:30:26,0,1167,0,0,0,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2067,0,0,0,0,0,0,0
2025-07-28 18:00:26,0,1168,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2066,0,0,0,0,0,0,0
2025-07-28 18:30:26,0,1134,0,0,0,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2034,0,0,0,0,0,0,0
2025-07-28 19:00:26,0,1126,0,0,0,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,0,0,0,0,0,0,0
2025-07-28 19:30:26,0,1181,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080,0,0,0,0,0,0,0
2025-07-28 20:00:26,0,1018,0,0,0,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1918,0,0,0,0,0,0,0
2025-07-28 20:30:26,0,1109,0,0,0,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,0,0,0,0,0,0,0
2025-07-28 21:00:26,0,1276,0,0,0,1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2175,0,0,0,0,0,0,0
2025-07-28 21:30:26,0,1088,0,0,0,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,0,0,0,0,0,0,0
2025-07-28 22:00:26,0,1146,0,0,0,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2045,0,0,0,0,0,0,0
2025-07-28 22:30:26,0,1135,0,0,0,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2034,0,0,0,0,0,0,0
2025-07-28 23:00:26,0,1239,0,0,0,1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2137,0,0,0,0,0,0,0
2025-07-28 23:30:26,0,1255,0,0,0,1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2155,0,0,0,0,0,0,0
2025-07-29 00:00:26,0,1205,0,0,0,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2105,0,0,0,0,0,0,0
2025-07-29 00:30:26,0,1192,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2092,0,0,0,0,0,0,0
2025-07-29 01:00:26,1,895,2,0,0,895,0,0,0,0,0,0,63,57,0,0,9,4,0,2,0,1617,0,0,0,2,5,0,0
2025-07-29 01:30:26,0,1056,2,0,0,1667,0,0,0,0,0,0,11,7,0,0,14,4,0,0,0,3109,0,0,0,2,6,0,0
2025-07-29 02:00:26,0,1390,0,0,0,2202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3914,0,0,0,0,0,0,0
2025-07-29 02:30:26,0,1365,0,0,0,2212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3959,0,0,0,0,0,0,0
2025-07-29 03:00:26,0,1250,0,0,0,2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3808,0,0,0,0,0,0,0
2025-07-29 03:30:26,0,1177,0,0,0,2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3777,0,0,0,0,0,0,0
