record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-14 13:21:32,29,444,33,0,0,660,6,7,1,0,0,0,178,145,0,0,62,16,0,3,409,759,17,0,0,33,59,0,153
2025-08-14 13:53:00,5,841,8,0,0,1172,4,0,0,0,0,0,260,199,0,0,71,16,0,6,803,1315,12,0,0,8,153,0,0
2025-08-14 14:25:44,9,10273,10,0,0,10992,5,0,0,0,0,0,233,191,0,0,60,16,0,6,156,13131,2,0,0,10,501,0,0
2025-08-14 14:56:03,74,6175,11,0,0,6518,14,0,7,0,0,0,183,147,21,0,51,18,0,4,690,6900,5,0,0,11,280,1,0
2025-08-14 15:26:08,37,267,6,0,0,364,9,0,6,0,0,0,226,178,2,0,61,10,0,6,198,792,1,0,0,6,93,0,0
2025-08-14 15:56:08,6,6395,13,0,0,6654,3,0,0,0,0,0,287,246,0,0,51,20,0,0,586,7162,4,0,0,13,231,2,0
2025-08-14 16:26:08,11,13811,11,0,0,14180,10,0,36,0,0,0,261,215,0,0,46,16,0,1,31,16092,0,0,0,11,458,6,0
2025-08-14 16:56:17,4,1520,13,0,0,1739,0,0,13,0,0,0,204,162,0,0,45,24,0,3,501,2460,2,0,0,13,136,0,0
2025-08-14 17:26:16,6,7433,17,0,0,8195,11,1,0,0,0,0,203,149,0,0,44,32,0,2,723,8506,4,0,0,17,599,5,0
2025-08-14 17:56:43,0,326,12,0,0,355,0,0,3,0,0,0,159,134,0,0,44,22,0,4,0,641,0,0,0,12,64,0,0
2025-08-14 18:27:17,0,0,1,0,0,0,0,0,3,0,0,0,4,3,0,0,1,2,0,0,0,12,0,0,0,1,36,0,398
2025-08-14 22:58:49,1,0,1,0,0,0,0,0,0,0,0,0,11,7,0,0,7,2,0,0,0,32,0,0,0,1,17,0,751
2025-08-15 01:58:53,0,18891,1,0,0,19772,0,0,0,0,0,0,16,11,0,0,3,2,0,0,0,20457,0,0,0,1,1265,0,0
2025-08-15 02:28:53,0,13034,1,0,0,13948,0,0,0,0,0,0,32,25,0,0,4,0,0,0,986,14889,5,0,0,1,912,0,0
2025-08-15 02:58:53,1,21474,2,0,0,24029,0,0,0,0,0,0,37,23,0,0,6,4,0,2,618,24562,3,0,0,2,1688,0,0
2025-08-15 03:28:53,7,3948,14,0,0,7782,0,0,9,0,0,0,96,64,0,0,31,13,0,6,726,9555,2,0,0,14,1065,0,0
2025-08-15 04:28:28,2,1404,2,0,0,1633,9,0,0,0,0,0,135,118,0,0,22,6,0,1,284,2706,1,0,0,2,95,2,0
2025-08-15 04:58:28,142,886,5,0,0,1099,54,0,0,0,0,0,163,130,0,0,19,10,0,1,0,2000,0,0,0,5,114,27,0
2025-08-15 05:28:28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2025-08-15 08:28:28,0,277,1,0,0,337,3,0,0,0,0,0,38,33,0,0,6,2,0,0,202,390,1,0,0,1,70,0,0
2025-08-15 08:58:28,0,1394,12,0,0,1682,0,22,0,0,0,0,156,115,0,0,41,20,0,1,508,2307,2,0,0,12,209,0,0
2025-08-15 09:28:28,0,1724,11,0,0,1880,2,0,0,0,0,0,153,117,0,0,48,20,0,0,0,3295,0,0,0,11,196,0,0
2025-08-15 09:58:52,231,4362,6,0,0,11918,0,3,0,0,0,0,143,121,0,0,30,12,0,0,0,13139,0,0,0,6,1092,0,0
2025-08-15 10:29:11,10,5994,4,0,0,20334,10,0,0,0,0,0,59,45,0,0,23,9,0,0,0,23745,0,0,0,4,2041,2,0
2025-08-15 10:59:11,1,6478,9,0,0,18721,3,0,0,0,0,0,102,80,0,0,40,10,0,2,0,22260,0,0,0,9,1973,0,0
2025-08-15 11:29:30,0,892,1,0,0,12838,0,0,0,0,0,0,13,7,0,0,6,2,0,0,0,12845,0,0,0,1,63,0,0
2025-08-15 11:59:30,0,1016,0,0,0,14429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14429,0,0,0,0,0,0,0
2025-08-15 12:43:36,0,2607,5,0,0,3133,0,0,0,0,0,0,133,96,0,0,21,12,0,1,1031,3848,3,1,0,5,149,0,0
2025-08-15 13:13:39,15,2459,4,0,0,4558,3,0,0,0,0,0,109,84,0,0,26,8,0,2,0,6711,0,0,0,4,508,0,0
2025-08-15 13:43:39,9,610,2,0,0,8336,4,0,0,0,0,0,57,44,0,0,14,2,0,1,0,8386,0,0,0,2,233,0,0
2025-08-15 14:14:09,53,971,3,0,0,8968,299,0,0,0,0,0,77,56,0,0,17,8,0,0,1,9616,0,0,0,3,182,2,0
2025-08-15 14:44:37,88,112,0,0,1,127,1915,1,1,0,0,0,204,132,0,0,10,0,0,9,0,2451,0,0,0,0,330,50,0
2025-08-15 15:15:00,73,51,6,0,0,93,105,3,12,0,0,0,457,352,0,0,35,16,0,15,0,581,0,0,0,6,371,73,0
2025-08-15 15:45:13,7,1767,6,0,0,2072,5,0,0,0,0,0,147,95,0,0,32,12,0,1,0,3063,0,0,0,6,179,2,0
2025-08-15 16:15:36,135,54,0,0,0,66,33,0,1,0,0,0,232,210,0,0,20,0,0,2,0,336,0,0,0,0,231,14,0
2025-08-15 16:45:35,17,2706,9,0,0,8533,8,0,0,0,0,0,95,70,0,0,46,16,0,2,0,9459,0,0,0,9,1049,0,0
2025-08-15 17:15:46,17,5505,6,0,0,16242,11,0,2,0,0,0,97,63,0,0,25,10,0,2,1,17488,0,0,0,6,1626,0,0
2025-08-15 17:46:20,0,2905,0,0,0,2389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2389,0,0,0,0,0,0,0
2025-08-15 18:16:20,7,1825,2,0,0,1262,7,0,0,0,0,0,60,50,0,0,6,4,0,0,0,1328,0,0,0,2,152,0,0
2025-08-15 18:46:21,0,2597,0,0,0,1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1711,0,0,0,0,0,0,0
2025-08-15 19:16:20,0,2569,0,0,0,1619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1619,0,0,0,0,0,0,0
2025-08-15 19:46:21,86,7850,4,0,0,22691,7,0,0,0,0,0,55,39,0,0,19,8,0,0,0,22911,0,0,0,4,2010,0,0
2025-08-15 20:16:20,0,1693,0,0,0,2816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2818,0,0,0,0,21,0,0
2025-08-15 20:46:27,222,25,2,0,0,61,2,0,0,0,0,0,77,67,0,0,22,4,0,1,0,119,0,0,0,2,187,0,837
