record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-09 16:01:10,0,1,11,0,0,3,2,2,124,1,0,0,62,38,0,0,14,16,0,0,75,356,1,1,0,11,107,2,0
2025-07-09 16:31:15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-11 11:35:31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-13 08:23:38,5,2216,12,0,0,5524,0,0,1,0,0,0,67,45,0,0,32,16,0,1,0,5974,0,0,0,12,495,0,0
2025-07-13 09:18:23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-13 17:02:53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-14 10:13:59,0,1590,3,0,0,3949,0,0,0,0,0,0,18,10,0,0,6,8,0,0,0,4108,0,0,0,3,254,0,0
2025-07-14 10:55:28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-16 11:28:53,0,1333,9,0,2,4013,0,0,2,0,0,0,84,60,0,0,36,24,0,0,1,4597,4,0,0,9,387,0,0
2025-07-16 11:58:53,0,408,0,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1446,0,0,0,0,13,0,0
2025-07-16 12:28:53,0,1405,0,0,0,2579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2579,0,0,0,0,0,0,0
2025-07-16 12:58:53,0,1629,0,0,0,3083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3111,0,0,0,0,0,0,0
2025-07-16 13:28:53,0,1685,0,0,0,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3155,0,0,0,0,0,0,0
2025-07-16 14:24:46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-17 15:41:39,0,847,0,0,0,1052,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4216,0,1,0,0,0,0,0
2025-07-17 16:11:39,0,865,0,0,0,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4530,0,0,0,0,0,0,0
2025-07-17 16:41:41,0,946,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4222,0,0,0,0,0,0,0
2025-07-17 17:11:39,0,891,0,0,0,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4319,0,0,0,0,0,0,0
2025-07-17 17:41:39,0,920,0,0,0,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4019,0,0,0,0,0,0,0
2025-07-17 18:11:39,0,974,0,0,0,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4209,0,0,0,0,0,0,0
2025-07-17 18:41:39,0,799,2,0,0,1202,0,0,0,0,0,0,9,4,0,0,4,4,0,0,0,4985,0,0,0,2,7,0,0
2025-07-17 19:11:39,0,922,0,0,0,1397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5690,0,0,0,0,0,0,0
2025-07-17 19:41:39,0,893,0,0,0,1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5637,0,0,0,0,0,0,0
2025-07-17 20:11:39,0,848,0,0,0,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5616,0,0,0,0,0,0,0
2025-07-17 20:41:39,0,843,0,0,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5592,0,0,0,0,0,0,0
2025-07-17 21:11:39,0,839,0,0,0,1349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5675,0,0,0,0,0,0,0
2025-07-17 21:41:39,0,744,0,0,0,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5332,0,0,0,0,0,0,0
2025-07-17 22:11:39,0,782,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5383,0,0,0,0,0,0,0
2025-07-17 22:41:39,0,780,0,0,0,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5271,0,0,0,0,0,0,0
2025-07-17 23:11:39,0,794,0,0,0,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5206,0,0,0,0,0,0,0
2025-07-17 23:41:39,0,574,3,0,0,782,0,0,7,0,0,0,161,154,0,0,12,4,0,0,0,4061,0,0,0,3,35,0,0
2025-07-18 00:11:39,0,851,0,0,0,951,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1773,0,0,0,0,0,0,0
2025-07-18 00:41:39,0,950,0,0,0,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1865,0,0,0,0,0,0,0
2025-07-18 01:11:40,0,965,0,0,0,1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1867,0,0,0,0,0,0,0
2025-07-18 01:41:39,0,974,0,0,0,1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1899,0,0,0,0,0,0,0
2025-07-18 02:11:39,0,1101,0,0,0,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,0,0,0,0,0,0,0
2025-07-18 02:41:39,0,1159,0,0,0,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2091,0,0,0,0,0,0,0
2025-07-18 03:11:39,0,1142,0,0,0,1243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2073,0,0,0,0,0,0,0
2025-07-18 03:41:39,0,1295,0,0,0,1391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2229,0,0,0,0,0,0,0
2025-07-18 04:11:40,0,1392,0,0,0,1481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2301,0,0,0,0,0,0,0
2025-07-18 04:41:39,0,1286,0,0,0,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2181,0,0,0,0,0,0,0
2025-07-18 05:11:39,0,1254,0,0,0,1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2182,0,0,0,0,0,0,0
2025-07-18 05:41:39,0,1133,0,0,0,1223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2058,0,0,0,0,0,0,0
2025-07-18 06:11:39,0,1086,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0
2025-07-18 06:41:39,0,1069,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,0,0,0,0,0,0,0
2025-07-18 07:11:39,0,1006,0,0,0,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1944,0,0,0,0,0,0,0
2025-07-18 07:41:39,0,1098,0,0,0,1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,0,0,0,0,0,0,0
