record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-15 17:57:22,2,1583,31,0,0,6048,0,0,8,0,0,0,118,101,0,0,129,9,0,1,810,8337,30,0,0,31,91,0,0
2025-08-15 18:27:23,236,256,5,0,1,512,62,0,1,0,0,0,83,62,0,0,30,6,0,5,120,786,2,0,0,5,46,0,42
2025-08-15 18:57:23,480,0,2,0,0,4,27,2,0,0,0,0,22,11,0,0,5,4,0,18,7,72,0,0,0,2,23,2,100
2025-08-15 19:27:23,672,0,0,0,0,7,19,0,0,0,0,0,60,50,0,0,13,0,0,12,0,83,0,0,0,0,12,0,183
2025-08-15 19:57:23,453,0,0,0,0,2,24,0,0,0,0,0,42,40,0,0,92,0,0,0,0,54,0,0,0,0,0,0,324
2025-08-15 20:27:26,726,1,0,0,0,61,49,0,0,0,0,0,22,20,0,0,285,0,0,0,0,146,0,0,0,0,0,0,55
2025-08-15 20:57:30,629,0,0,0,0,3,6,0,0,0,0,0,26,24,0,0,112,0,0,0,0,43,0,0,0,0,0,0,518
2025-08-15 23:53:17,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1499
2025-08-16 00:23:17,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-16 00:53:17,391,4,0,0,2,12,78,0,0,0,0,0,66,60,0,0,5,2,0,0,0,177,0,0,0,0,0,0,163
2025-08-16 01:23:17,952,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,422
2025-08-16 01:53:46,616,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,678
