record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-09 03:04:41,248,1101,32,0,0,1351,66,0,1,0,0,0,34,28,0,0,20,15,1,0,0,2367,0,0,1,32,30,0,0
2025-08-09 03:34:41,114,3569,10,0,0,4081,18,5,0,0,0,0,139,103,0,0,66,7,0,1,239,4417,12,0,0,10,172,2,0
2025-08-09 04:04:41,2,4197,4,0,0,4715,0,0,0,0,0,0,93,53,0,0,35,0,0,3,47,5439,3,0,0,4,102,0,0
2025-08-09 04:34:41,34,1300,3,0,0,1479,5,0,0,0,0,0,67,48,0,0,28,4,0,0,88,1683,3,0,0,3,64,0,381
2025-08-09 05:04:41,5,223,2,0,0,241,0,0,0,0,0,0,74,48,0,0,10,0,0,0,16,356,0,0,0,2,36,0,130
2025-08-09 05:34:41,62,83,3,0,0,176,57,8,3,0,0,0,71,43,1,0,13,6,0,0,28,280,1,0,0,3,32,4,751
2025-08-09 06:04:41,160,5249,4,0,0,5911,378,4,3,0,0,0,89,45,12,0,26,8,0,1,0,6868,0,0,0,4,207,8,0
2025-08-09 07:04:06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-09 12:32:47,4,4,0,0,0,7,5,0,0,0,0,0,24,24,0,0,5,2,0,0,0,24,0,0,0,0,2,4,1040
2025-08-09 13:02:49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-09 20:31:05,0,0,0,0,0,0,0,0,0,0,0,2,18,14,0,0,2,2,0,0,2,20,1,1,0,0,3,0,965
2025-08-09 21:01:05,0,3059,4,0,0,3260,0,0,0,0,0,0,21,14,0,0,12,8,0,0,0,3722,0,0,0,4,117,0,738
2025-08-09 23:01:05,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1056
2025-08-10 00:21:20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
