record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-14 10:02:31,10,211,36,0,0,309,1,0,4,0,0,0,205,182,0,0,92,15,0,2,193,416,11,0,0,36,106,0,0
2025-07-14 10:32:31,52,245,11,0,1,386,358,3,0,0,0,0,101,80,0,0,38,18,1,0,193,963,6,0,1,11,98,0,0
2025-07-14 11:02:31,0,0,0,0,0,5,0,0,1,0,0,0,11,6,0,0,1,0,0,0,0,13,0,0,0,0,8,0,0
2025-07-14 11:39:26,112,134,5,0,0,219,94,5,0,0,0,0,98,66,8,8,22,12,0,0,69,384,1,1,0,5,146,15,0
2025-07-14 14:17:32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-14 15:33:01,21,5,2,0,0,9,32,1,0,0,0,0,17,7,0,0,4,6,0,0,0,60,0,0,0,2,24,0,0
2025-07-14 17:04:13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-15 17:25:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-15 18:03:15,65,62,3,0,0,106,156,24,4,0,0,0,189,146,58,2,30,8,0,5,0,474,0,0,0,3,73,15,0
2025-07-15 18:52:49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-17 20:11:03,0,0,3,0,0,2,0,0,0,0,0,0,51,44,0,0,8,8,0,0,0,42,0,1,0,3,18,0,0
2025-07-18 02:08:19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-18 16:33:28,0,1,0,0,0,6,0,0,0,0,0,0,5,3,0,0,2,2,0,0,0,7,0,1,0,0,5,0,0
2025-07-18 17:03:28,148,443,6,0,3,666,412,0,4,0,0,0,128,88,24,5,57,8,0,1,263,1387,2,0,0,6,137,2,0
