record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-11 12:47:20,3,4958,10,0,0,5150,3,1,1,0,0,0,165,132,0,0,67,12,0,0,106,6812,7,1,0,10,226,2,0
2025-07-11 13:41:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-12 01:51:53,21,28,1,0,0,76,1,0,0,0,0,0,46,32,0,0,8,4,0,0,0,88,0,1,0,1,36,0,0
2025-07-12 05:34:05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-12 10:56:48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-13 01:57:20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-13 04:44:57,20,164,1,0,0,224,8,0,0,0,0,0,44,34,0,0,6,6,0,0,128,320,5,0,0,1,38,0,0
2025-07-13 05:38:39,215,4353,3,0,0,4551,205,0,0,0,0,0,93,41,10,0,18,8,0,1,51,5951,1,1,0,3,293,2,0
2025-07-13 06:08:39,28,398,2,0,0,556,46,0,0,0,0,0,103,61,1,0,18,4,0,0,327,697,6,0,0,2,98,2,0
2025-07-13 06:38:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-07-13 07:08:44,53,18,0,0,0,30,4,1,0,0,0,0,27,23,0,0,5,2,0,0,0,63,0,0,0,0,28,4,0
2025-07-13 08:03:53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-15 12:16:50,35,293,1,0,0,366,140,2,0,0,0,0,73,63,0,0,15,4,0,0,230,547,3,1,0,1,58,1,0
2025-07-15 13:00:34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-18 12:33:31,6,13,1,0,0,14,166,0,0,0,0,0,22,13,0,0,8,4,0,0,13,235,0,1,0,1,24,0,0
2025-07-18 13:39:35,1,164,2,0,0,198,0,0,0,0,0,0,48,30,0,0,13,10,0,0,156,230,2,1,0,2,23,0,0
2025-07-18 14:26:21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-19 09:34:49,26,1608,2,0,0,1731,202,2,3,0,0,0,152,115,0,0,48,6,0,0,0,2390,0,0,0,2,133,2,0
2025-07-19 10:04:49,1,106,4,0,0,109,10,0,139,1,0,0,61,34,0,0,24,8,0,0,0,373,0,0,0,4,70,0,0
2025-07-19 10:34:49,21,3,0,0,0,6,4,0,0,0,0,0,14,10,0,0,1,0,0,0,0,56,0,0,0,0,10,0,0
2025-07-19 11:04:49,6,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0
2025-07-19 11:43:18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-20 05:42:57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-20 06:52:38,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,2,4,0,0,0,1,0,0,0,1,2,0,0
2025-07-20 07:36:59,0,4178,4,0,0,4295,13,1,0,0,0,0,104,54,0,0,25,8,0,0,274,4805,1,1,0,4,166,4,0
2025-07-20 08:06:59,50,12,7,0,0,23,25,1,0,0,0,0,217,165,0,0,14,14,0,0,2,398,1,0,0,7,65,18,0
2025-07-20 08:36:59,0,1730,4,0,0,1823,50,0,0,0,0,0,77,54,0,0,42,8,0,0,100,2001,0,0,0,4,102,0,0
2025-07-20 09:06:59,0,6213,6,0,0,6389,0,0,0,0,0,0,239,223,0,0,21,8,0,0,108,7522,1,0,0,6,168,0,0
2025-07-20 09:36:59,8,3415,8,0,0,3779,11,0,0,0,0,0,79,62,0,0,20,10,0,0,331,4644,2,0,0,8,171,0,0
2025-07-20 10:06:59,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
2025-07-20 11:06:59,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0
2025-07-20 12:06:59,0,6000,2,0,0,6463,0,0,0,0,0,0,19,13,0,0,9,4,0,0,0,7401,0,0,0,2,241,0,0
2025-07-20 12:36:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025-07-20 13:06:59,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0,0,2,4,0,0,0,8,0,0,0,0,16,0,0
2025-07-20 13:54:44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-21 03:57:58,1,9504,7,0,0,10378,419,0,0,0,0,0,231,207,0,0,43,16,0,0,0,11893,0,0,0,7,458,0,0
2025-07-21 06:33:42,0,1000,3,0,0,1481,0,0,0,0,0,0,55,40,0,0,12,2,0,0,589,1589,4,1,0,3,50,0,0
2025-07-21 07:22:36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-22 13:04:39,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,2,0,0,0,0,0,1,0,0,3,0,0
2025-07-22 14:07:39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-23 11:46:54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-25 13:13:34,0,995,3,0,0,1148,6,0,0,0,0,0,80,60,0,0,19,9,0,0,716,1226,4,1,0,3,69,0,362
2025-07-25 13:43:34,4,566,4,0,0,687,0,0,0,0,0,0,82,60,0,0,31,8,0,0,363,747,1,0,0,4,88,0,0
2025-07-25 14:13:34,0,370,5,0,0,592,0,0,0,0,0,0,22,13,0,0,14,4,0,0,0,595,0,0,0,5,19,0,130
2025-07-25 14:50:52,0,882,0,0,0,884,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,885,0,1,0,0,0,0,0
2025-07-25 15:20:52,0,724,2,0,0,866,0,0,0,0,0,0,11,7,0,0,6,0,0,0,0,870,0,0,0,2,14,0,0
2025-07-25 15:50:52,0,524,1,0,0,950,0,0,0,0,0,0,6,4,0,0,2,0,0,0,0,968,0,0,0,1,10,0,0
2025-07-25 16:29:08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-26 01:02:28,0,884,0,0,0,1755,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,1755,0,1,0,0,0,0,0
2025-07-26 01:32:27,0,877,2,0,0,1749,0,0,0,0,0,0,7,5,0,0,4,0,0,0,0,1750,0,0,0,2,7,0,0
2025-07-26 02:02:27,0,901,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0
2025-07-26 02:32:28,0,856,5,0,0,1322,64,0,0,0,0,0,49,35,0,0,14,4,0,0,236,1632,1,0,0,5,133,0,347
2025-07-26 03:02:27,0,888,0,0,0,1787,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1788,0,0,0,0,0,0,0
2025-07-26 03:43:22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-29 13:04:56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-01 11:53:40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-01 13:43:45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-02 08:27:25,0,950,2,0,0,1753,0,0,0,0,0,0,16,10,0,0,7,2,0,0,73,1763,0,0,0,2,9,0,0
2025-08-02 08:57:25,0,902,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0
2025-08-02 09:27:25,0,731,2,0,0,1465,0,0,0,0,0,0,17,12,0,0,7,4,0,0,0,1470,0,0,0,2,10,0,0
2025-08-02 09:58:53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 04:58:42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-08 12:59:14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
