record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-03 08:37:36,63,295,44,0,0,473,20,0,0,0,0,0,194,159,0,0,72,34,0,0,264,701,13,0,0,44,83,0,0
2025-08-03 09:07:36,71,797,6,0,1,1164,2,0,0,0,0,0,123,102,0,0,51,12,0,3,749,1320,14,0,0,6,77,0,0
2025-08-03 09:37:36,228,489,8,0,1,628,0,0,0,0,0,0,84,62,0,0,35,15,0,1,369,816,8,0,0,8,36,0,0
2025-08-03 10:07:36,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-03 10:37:36,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-03 11:07:36,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2025-08-03 11:37:39,317,0,0,0,0,0,0,0,0,0,0,0,17,15,0,0,3,0,0,0,0,6,0,0,0,0,0,0,86
2025-08-03 14:24:50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-04 13:18:55,141,802,7,0,0,1053,6,0,2,0,0,0,196,161,0,0,79,11,0,1,615,1233,5,0,0,7,35,0,0
2025-08-04 13:48:58,60,2636,7,0,0,2931,2,0,0,0,0,0,154,138,0,0,38,6,0,0,297,5893,3,0,0,7,61,0,0
2025-08-04 14:44:44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 13:49:04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-08 14:41:53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-09 02:44:50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
