record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-13 11:03:43,15,5422,47,0,0,6494,5,0,5,0,0,0,214,178,0,0,108,25,0,0,201,6694,11,0,0,47,245,0,0
2025-08-13 11:33:43,258,341,9,0,0,540,12,0,0,0,0,0,312,286,0,0,102,10,0,0,239,738,7,0,0,9,30,0,207
2025-08-13 12:03:43,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-13 12:33:43,451,7,0,0,0,8,9,5,0,0,0,0,13,8,0,0,0,0,0,11,0,38,0,0,0,0,6,5,668
2025-08-13 13:03:43,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-13 13:33:43,777,0,2,0,0,0,0,0,0,0,0,0,7,4,0,0,5,7,0,0,0,6,0,0,0,2,12,0,708
2025-08-13 14:03:43,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-13 14:34:29,427,0,0,0,0,1,1,0,0,0,0,0,6,4,0,0,0,0,0,0,0,7,0,0,0,0,4,0,152
2025-08-13 15:04:29,327,22,10,0,0,75,35,2,42,0,0,0,150,126,0,0,30,25,0,12,0,265,0,0,0,10,40,3,0
2025-08-13 15:34:29,241,0,1,0,0,11,9,0,0,0,0,0,48,42,0,0,34,3,0,0,0,43,1,0,0,1,18,0,764
2025-08-13 16:04:29,1,1,0,0,0,1,0,0,0,0,0,0,22,18,0,0,18,0,0,1,0,5,0,0,0,0,16,0,0
2025-08-13 16:34:29,106,569,13,0,1,1061,6,0,14,0,0,0,189,164,0,0,48,22,0,1,516,1195,16,0,0,13,71,1,0
2025-08-13 17:04:29,104,2236,22,0,0,2913,46,8,35,0,0,0,234,191,9,1,113,34,1,12,348,3340,5,0,1,22,98,0,0
2025-08-13 17:34:29,285,3743,8,0,0,4398,2,0,0,0,0,0,101,78,0,0,36,10,0,0,316,6461,5,0,0,8,127,2,209
2025-08-13 18:04:29,135,200,1,0,0,342,0,0,0,0,0,0,10,5,0,0,5,2,0,0,185,385,1,0,0,1,31,0,51
