record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-11 10:12:15,1,974,3,0,0,1171,0,0,1,0,0,0,46,25,0,0,17,2,0,5,52,1511,8,1,0,3,59,0,0
2025-07-11 10:42:18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,268,5,0,0,0,0,0,0
2025-07-11 11:12:28,6,3532,12,0,0,4098,2,4,0,0,0,0,129,78,0,0,40,12,0,1,72,4816,2,0,0,12,140,1,0
2025-07-11 11:42:28,0,1892,1,0,0,2111,0,0,0,0,0,0,31,22,0,0,11,0,0,0,47,2684,3,0,0,1,69,0,0
2025-07-11 12:50:24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,60,258,3,0,0,0,0,0,0
2025-07-11 13:20:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,65,276,2,0,0,0,1,0,0
2025-07-11 13:50:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,284,3,0,0,0,0,0,0
2025-07-11 15:10:24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-11 17:45:37,64,71,2,0,0,142,55,8,0,0,0,0,67,44,3,1,13,6,0,0,0,258,0,0,0,2,32,11,0
2025-07-12 02:13:29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
