record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-02 17:21:16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-02 18:57:22,0,0,2,0,0,9,0,0,0,0,0,0,9,4,0,0,3,6,0,0,0,29,0,0,0,2,4,0,0
2025-07-02 20:57:22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-09 13:09:02,81,3325,10,0,0,3526,0,0,0,0,0,0,122,71,0,0,42,17,0,0,314,4055,2,0,0,10,190,0,0
2025-07-09 13:39:02,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,1,3,0,0,0,9,0,0,0,0,8,0,0
2025-07-09 14:09:02,0,0,2,0,0,0,0,0,0,0,0,0,13,11,0,0,4,6,0,0,0,30,0,0,0,2,12,0,0
2025-07-09 14:39:02,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-07-09 15:09:02,9,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,1,2,0,0,0,5,0,0,0,0,4,0,0
2025-07-09 15:39:02,39,4085,18,0,0,4408,2,0,77,1,0,0,149,100,0,0,57,28,0,0,418,5278,1,0,0,18,244,0,0
2025-07-09 16:09:03,265,636,3,0,0,786,0,0,0,0,0,0,26,19,0,0,15,3,0,0,555,861,2,0,0,3,116,0,0
2025-07-09 16:39:02,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-09 17:23:43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
