record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-07 05:38:51,301,429,32,0,0,627,91,16,6,0,0,0,137,93,0,0,29,13,0,2,1,936,0,0,0,32,151,9,0
2025-08-07 06:08:58,0,467,3,0,0,772,0,0,0,0,0,0,44,31,0,0,23,0,0,1,436,795,18,0,0,3,38,0,372
2025-08-07 07:24:38,46,502,11,0,0,746,22,5,1,0,0,0,125,88,0,0,53,18,0,0,446,823,6,1,0,11,100,8,0
2025-08-07 08:20:24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-08 04:54:53,46,981,2,0,0,1279,6,1,0,0,0,0,142,115,0,0,40,6,0,0,859,1378,7,1,0,2,28,0,0
2025-08-08 05:24:56,231,343,4,0,0,489,9,12,5,0,0,0,271,201,0,0,49,8,0,15,105,725,1,0,0,4,130,4,0
2025-08-08 06:29:15,0,1628,2,0,0,2013,0,0,0,0,0,0,149,117,0,0,33,2,0,0,478,2355,15,1,0,2,82,0,0
2025-08-08 07:00:17,0,1185,0,0,0,1495,0,0,0,0,0,0,94,84,0,0,25,0,0,0,828,1551,11,0,0,0,24,0,0
2025-08-08 07:30:17,295,505,5,0,0,583,43,8,8,0,0,0,244,167,0,0,33,7,0,2,16,961,0,0,0,5,153,2,0
2025-08-08 08:00:17,30,8,1,0,0,13,12,0,2,0,0,0,132,99,0,0,21,2,0,0,0,100,0,0,0,1,60,0,193
2025-08-08 08:30:38,140,174,13,0,0,240,192,0,0,0,0,0,114,73,0,0,37,10,1,0,0,671,0,0,1,13,112,6,0
2025-08-08 09:09:21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-08 13:43:20,249,232,3,0,0,349,219,3,4,0,0,0,240,134,6,0,13,26,0,0,0,875,0,0,0,3,154,26,0
2025-08-08 14:13:29,116,117,2,0,0,156,144,4,3,1,0,0,124,74,26,3,4,10,0,0,2,474,0,0,0,2,76,3,475
2025-08-08 14:43:45,100,114,2,0,0,153,134,7,0,0,0,0,182,115,34,0,4,14,1,0,2,489,1,0,1,2,88,2,0
2025-08-08 15:13:45,36,140,5,0,0,157,414,3,0,0,0,0,235,147,206,0,16,10,0,3,16,1171,0,0,0,5,105,10,0
2025-08-08 15:43:50,2,9,0,0,0,16,9,0,0,0,0,0,45,16,6,0,3,0,0,0,71,5963,2,0,0,0,10,0,0
2025-08-08 16:13:50,0,0,1,0,0,0,0,0,0,0,0,0,8,7,0,0,3,2,0,0,16,1712,0,0,0,1,7,0,1042
2025-08-08 16:44:11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-09 04:51:17,118,164,11,0,2,174,342,2,0,0,0,0,69,40,0,0,10,20,4,4,38,4645,1,0,4,11,63,0,0
2025-08-09 05:21:16,95,380,12,0,0,406,1103,0,1,0,0,0,46,12,0,0,9,16,4,12,0,1807,0,0,4,12,200,0,202
2025-08-09 05:51:16,198,477,14,0,0,494,49,1,0,0,0,0,141,94,3,0,19,24,6,0,0,920,0,0,6,14,117,0,279
2025-08-09 06:21:16,52,96,7,0,1,103,2,6,2,0,0,0,127,100,0,0,20,12,2,0,0,263,0,0,2,7,45,0,241
