record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-15 08:24:05,0,2220,2,0,0,3013,0,0,0,0,0,0,94,79,0,0,48,2,0,0,1012,3118,19,1,0,2,68,0,0
2025-08-15 08:54:05,1,5258,4,0,0,6081,0,0,2,0,0,0,106,89,0,0,43,0,0,1,754,6381,8,0,0,4,173,0,0
2025-08-15 09:49:26,1,8140,5,0,1,9169,0,0,0,0,0,0,100,84,0,0,53,2,0,1,969,9825,5,1,0,5,311,0,0
2025-08-15 10:19:52,20,8360,8,0,0,9625,5,0,0,0,0,0,68,53,0,0,43,7,0,0,295,10479,2,0,0,8,247,0,0
2025-08-15 10:50:51,89,4543,9,0,0,5274,64,1,0,0,0,0,91,71,0,0,47,9,0,8,826,5841,4,1,0,9,197,0,0
2025-08-15 11:36:01,70,82,11,0,1,110,278,10,0,0,0,0,130,97,0,0,41,24,0,4,0,553,0,1,0,11,109,28,125
2025-08-15 14:06:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-15 14:37:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2025-08-15 15:07:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-15 15:37:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-15 17:43:21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
