record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-01 22:03:39,0,69216,0,0,0,69217,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,70084,0,0,0,0,2120,0,0
2025-07-01 23:05:44,0,73151,0,0,0,73153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74112,0,0,0,0,2265,0,0
2025-07-02 00:13:46,0,80118,0,0,0,80121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81262,0,0,0,0,2456,0,0
2025-07-02 01:21:51,0,80307,0,0,0,80309,0,0,0,0,0,0,3,3,0,0,2,2,0,0,0,81646,0,0,0,0,2408,0,0
2025-07-02 10:07:25,13,20480,4,0,14,20927,0,0,0,0,0,0,35,12,0,0,11,7,0,0,0,22408,0,0,0,4,1145,0,0
2025-07-02 17:44:03,0,5,1,0,0,5,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,5,0,0,0,1,9,0,0
2025-07-02 22:20:27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-03 00:42:30,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,3,0,0
2025-07-03 02:56:47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-09 12:47:26,0,12,4,0,3,12,0,0,0,0,0,0,50,37,0,0,24,6,0,0,0,23,0,0,0,4,243,0,0
2025-07-09 13:17:26,0,1,2,0,0,3,0,0,0,0,0,0,34,30,0,0,10,2,0,0,0,4,0,0,0,2,67,0,0
2025-07-09 13:47:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0
2025-07-09 14:17:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2025-07-09 14:47:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-07-09 15:17:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2025-07-09 15:47:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2025-07-10 05:17:26,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,2,2,0,0,0,0,0,0,0,1,6,0,0
2025-07-10 10:17:49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
2025-07-10 10:48:12,2,0,3,0,2,1,0,0,6,0,0,0,28,1,0,0,7,6,0,2,0,43,0,0,0,3,229,0,0
2025-07-10 11:18:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2025-07-10 11:48:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025-07-10 12:18:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025-07-10 12:48:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2025-07-10 13:18:29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
2025-07-10 13:48:34,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0
2025-07-10 14:18:37,2,0,2,0,1,0,0,0,0,0,0,0,57,43,0,0,18,4,0,0,0,30,0,0,0,2,99,0,0
2025-07-10 15:47:03,2,0,0,0,1,0,0,0,0,0,0,0,27,26,0,0,13,4,0,0,0,3,0,0,0,0,56,0,0
2025-07-10 16:17:18,1,0,3,0,0,1,0,0,146,1,0,0,45,41,0,0,5,2,0,0,0,45,0,0,0,3,44,0,0
2025-07-10 16:47:52,1,0,2,0,0,0,15,0,736,1,0,0,13,7,0,0,2,4,0,1,0,40,0,0,0,2,43,0,0
2025-07-10 17:19:03,0,0,0,0,0,0,0,0,877,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2025-07-10 17:49:27,0,0,0,0,0,0,0,0,895,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-10 18:19:32,0,0,2,0,0,0,0,0,891,1,0,0,35,26,0,0,12,4,0,0,0,2,5,0,0,2,21,0,0
2025-07-10 18:49:32,0,0,1,0,0,0,0,0,879,1,0,0,6,3,0,0,4,2,0,0,0,0,0,0,0,1,4,0,0
2025-07-10 19:19:32,0,0,1,0,0,0,0,0,883,1,0,0,11,8,0,0,4,2,0,0,0,1,4,0,0,1,14,0,0
2025-07-10 20:02:51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-11 02:37:49,1,0,2,0,0,0,0,0,883,1,0,0,36,31,0,0,8,6,0,0,0,4,0,1,0,2,25,0,0
2025-07-11 03:07:49,0,0,0,0,0,0,0,0,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-11 03:37:49,0,0,0,0,0,0,0,0,897,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2025-07-11 04:07:49,0,0,0,0,0,0,0,0,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-11 04:37:49,0,0,0,0,0,0,0,0,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-11 05:07:49,0,0,0,0,0,0,0,0,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-11 05:37:49,0,0,0,0,0,0,0,0,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-11 06:07:49,0,0,0,0,0,0,0,0,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-11 06:37:49,0,0,0,0,0,0,0,0,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-11 07:07:49,0,0,0,0,0,0,0,0,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-11 07:37:49,0,0,0,0,0,0,0,0,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-11 08:07:49,0,0,0,0,0,0,0,0,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-11 08:37:49,0,0,0,0,0,0,0,0,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-07-11 09:07:49,0,0,0,0,0,0,0,0,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-11 09:37:49,0,0,0,0,0,0,0,0,892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-11 10:07:49,0,0,0,0,0,0,0,0,885,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0
2025-07-11 10:37:51,0,0,0,0,0,0,0,0,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-11 11:08:02,0,0,0,0,0,0,0,0,896,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0
2025-07-11 11:38:02,0,0,0,0,0,0,0,0,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-11 12:36:45,3,0,0,0,0,0,0,0,856,1,0,0,5,3,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0
2025-07-11 13:06:50,1,0,1,0,0,0,0,0,834,1,0,0,25,19,0,0,9,4,0,1,0,7,6,0,0,1,18,0,0
