record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-17 17:48:45,14,121,4,0,0,165,3,17,14,0,0,0,66,50,0,0,29,6,0,0,98,216,7,1,0,4,93,0,0
2025-07-17 18:18:45,1,8655,6,0,0,9350,0,0,3,0,0,0,96,72,0,0,31,4,0,2,253,10082,10,0,0,6,243,0,0
2025-07-17 18:48:45,6,4404,3,0,1,5097,0,0,0,0,0,0,141,99,0,0,16,0,0,18,900,5318,12,0,0,3,140,0,0
2025-07-17 19:42:42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-18 08:00:51,3,14960,2,0,0,15819,0,0,0,0,0,0,74,64,0,0,10,2,0,0,4,16706,0,0,0,2,290,0,0
2025-07-18 08:30:51,0,8237,1,0,0,8268,0,0,1,0,0,0,16,14,0,0,5,4,0,0,0,9089,0,0,0,1,20,0,0
2025-07-18 09:00:51,0,10407,0,0,0,10419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11328,0,0,0,0,0,0,0
2025-07-18 09:30:51,0,9477,0,0,0,9491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10409,0,0,0,0,0,0,0
2025-07-18 10:00:51,0,9622,0,0,0,9639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10563,0,0,0,0,0,0,0
2025-07-18 10:30:51,0,9647,0,0,0,9670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10589,0,0,0,0,0,0,0
2025-07-18 11:00:51,0,8689,0,0,0,8707,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9630,0,0,0,0,0,0,0
2025-07-18 11:30:51,0,9020,0,0,0,9039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9960,0,0,0,0,0,0,0
2025-07-18 12:00:51,0,4635,3,0,0,4344,0,0,0,0,0,0,57,48,0,0,13,0,0,0,470,4693,3,0,0,3,109,0,0
2025-07-18 12:30:51,0,895,0,0,0,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,0,0,0,0,0,0,0
2025-07-18 13:30:59,0,1137,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1170,0,0,0,0,0,0,0
2025-07-18 14:00:59,0,1924,0,0,0,1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2071,0,0,0,0,0,0,0
2025-07-18 14:30:59,0,6244,0,0,0,6261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7172,0,0,0,0,0,0,0
2025-07-18 15:00:59,0,6172,0,0,0,6184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7099,0,0,0,0,1,0,0
2025-07-18 15:30:59,1,5791,5,0,0,5803,0,0,0,0,0,0,28,21,0,0,21,12,0,0,0,6518,0,0,0,5,39,0,0
2025-07-18 16:28:26,0,11605,1,0,0,12212,0,0,0,0,0,0,6,2,0,0,2,2,0,0,1,13559,0,1,0,1,223,0,0
2025-07-18 16:58:26,8,1018,7,0,0,1468,3,0,3,0,0,0,51,41,0,0,21,10,1,0,776,1648,4,0,1,7,193,0,0
2025-07-18 17:28:26,0,6674,3,0,0,6684,0,0,0,0,0,0,21,13,0,0,9,6,0,0,0,7444,0,0,0,3,7,0,0
2025-07-18 17:58:26,0,9456,0,0,0,9463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10367,0,0,0,0,0,0,0
2025-07-18 18:28:26,0,9338,0,0,0,9352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10245,0,0,0,0,0,0,0
2025-07-18 18:58:26,0,8746,0,0,0,8769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9673,0,0,0,0,0,0,0
2025-07-18 19:28:47,0,9166,0,0,0,9175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10075,0,0,0,0,0,0,0
2025-07-18 19:58:47,0,8954,0,0,0,8969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9880,0,0,0,0,0,0,0
2025-07-18 20:28:47,0,8785,0,0,0,8797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9701,0,0,0,0,0,0,0
2025-07-18 20:58:47,0,9287,0,0,0,9300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10207,0,0,0,0,0,0,0
2025-07-18 21:28:47,0,9475,0,0,0,9484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10386,0,0,0,0,0,0,0
2025-07-18 21:58:47,0,9771,0,0,0,9782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10673,0,0,0,0,0,0,0
2025-07-18 22:28:47,0,8952,0,0,0,8971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9885,0,0,0,0,0,0,0
2025-07-18 22:58:47,0,8975,0,0,0,8992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9911,0,0,0,0,0,0,0
2025-07-18 23:28:47,0,9076,0,0,0,9083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0
2025-07-18 23:58:47,0,8971,0,0,0,8989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9904,0,0,0,0,0,0,0
2025-07-19 00:28:47,0,8375,0,0,0,8385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9243,0,0,0,0,0,0,0
2025-07-19 00:58:47,0,9194,0,0,0,9209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10115,0,0,0,0,0,0,0
2025-07-19 01:28:47,0,8780,0,0,0,8784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9688,0,0,0,0,0,0,0
2025-07-19 01:58:47,0,7913,3,0,0,7937,1,0,0,0,0,0,17,12,0,0,19,4,0,0,0,8796,0,0,0,3,52,0,0
2025-07-19 02:28:47,9,7397,9,0,1,8492,0,0,0,0,0,0,254,224,0,0,31,0,0,13,677,9021,4,0,0,9,370,0,0
2025-07-19 02:58:47,0,6709,2,0,0,6735,0,0,0,0,0,0,13,9,0,0,6,4,0,0,0,7911,0,0,0,2,22,0,0
2025-07-19 03:28:47,0,8566,0,0,0,8586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9489,0,0,0,0,0,0,0
2025-07-19 03:58:47,0,8914,0,0,0,8931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9823,0,0,0,0,0,0,0
2025-07-19 04:28:48,0,8475,0,0,0,8510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9425,0,0,0,0,0,0,0
2025-07-19 04:58:47,0,7558,0,0,0,7598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8515,0,0,0,0,0,0,0
2025-07-19 05:28:47,0,9298,0,0,0,9325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10222,0,0,0,0,0,0,0
2025-07-19 05:58:47,0,9147,0,0,0,9205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10123,0,0,0,0,0,0,0
2025-07-19 06:28:47,0,8193,0,0,0,8234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9167,0,0,0,0,0,0,0
2025-07-19 06:58:47,0,8074,0,0,0,8100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9014,0,0,0,0,0,0,0
2025-07-19 07:28:47,0,8853,0,0,0,8887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9806,0,0,0,0,0,0,0
2025-07-19 07:58:47,0,8983,0,0,0,9008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9906,0,0,0,0,0,0,0
2025-07-19 08:28:47,0,9044,0,0,0,9074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9962,0,0,0,0,0,0,0
2025-07-19 08:58:47,0,8589,0,0,0,8611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9520,0,0,0,0,0,0,0
2025-07-19 09:28:47,0,8507,0,0,0,8528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9438,0,0,0,0,0,0,0
2025-07-19 09:58:47,0,9014,0,0,0,9049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9973,0,0,0,0,0,0,0
2025-07-19 10:28:47,0,8100,0,0,0,8150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9067,0,0,0,0,0,0,0
2025-07-19 10:58:47,0,9674,0,0,0,9714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10617,0,0,0,0,0,0,0
2025-07-19 11:28:47,0,8361,0,0,0,8388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9286,0,0,0,0,0,0,0
2025-07-19 11:58:47,0,7871,0,0,0,7906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8817,0,0,0,0,0,0,0
2025-07-19 12:28:47,0,8057,0,0,0,8081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0
2025-07-19 12:58:48,0,7939,0,0,0,7981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8918,0,0,0,0,0,0,0
2025-07-19 13:28:47,0,4372,6,0,0,4388,4,0,3,0,0,0,43,25,0,0,23,8,0,0,0,4972,0,0,0,6,29,0,0
2025-07-19 13:58:47,0,8026,0,0,0,8074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8998,0,0,0,0,0,0,0
2025-07-19 14:28:47,0,10125,0,0,0,10187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11118,0,0,0,0,0,0,0
2025-07-19 14:58:47,3,8859,4,0,0,9071,0,0,0,0,0,0,22,13,0,0,11,0,0,3,170,9871,1,0,0,4,120,0,0
2025-07-19 15:28:47,6,2787,10,0,2,5274,0,0,4,0,0,0,91,62,0,0,37,0,0,5,729,6749,4,0,0,10,510,0,0
2025-07-19 15:58:47,0,1688,2,0,0,2943,0,0,0,0,0,0,47,43,0,0,12,0,0,0,575,3390,3,0,0,2,213,0,0
2025-07-19 16:28:47,0,5889,2,0,0,15085,0,0,0,0,0,0,26,16,0,0,13,4,0,0,0,20852,0,0,0,2,1648,0,0
2025-07-19 17:22:13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
