record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-23 11:53:27,19,54,3,0,0,80,6,0,37,0,0,0,51,35,0,0,34,9,0,3,31,197,3,1,0,3,124,0,0
2025-07-23 15:52:16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-23 16:54:29,0,7466,3,0,1,8032,0,0,9,0,0,0,107,70,0,0,41,2,0,0,48,8634,1,0,0,3,361,0,0
2025-07-23 17:24:29,8,2522,8,0,2,2888,5,0,7,0,0,0,112,72,0,0,41,8,0,0,235,3291,5,0,0,8,227,0,0
2025-07-23 17:54:29,29,13695,8,0,3,14133,13,0,5,0,0,0,235,175,0,0,29,14,0,4,0,15062,0,0,0,8,403,3,0
2025-07-23 18:24:29,73,13195,6,0,0,13638,49,0,0,0,0,0,116,88,0,0,38,10,0,3,25,14674,0,0,0,6,474,0,0
2025-07-23 19:28:40,271,4257,4,0,3,4355,6,0,11,0,0,0,45,21,0,0,19,8,0,0,0,4904,0,1,0,4,140,0,0
2025-07-23 19:58:40,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-23 20:28:40,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-23 20:58:40,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-23 21:28:40,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-23 21:58:40,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-24 00:22:18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-24 02:51:17,36,786,8,0,0,1076,0,0,0,0,0,0,185,165,0,0,26,12,0,0,731,1198,8,1,0,8,130,0,0
2025-07-24 03:21:17,114,5032,7,0,1,5615,0,0,0,0,0,0,81,51,0,0,27,4,0,0,589,7098,5,0,0,7,253,0,0
2025-07-24 03:58:11,1,6502,3,0,5,6752,0,0,4,0,0,0,131,120,0,0,16,2,0,1,0,7917,0,1,0,3,419,0,0
2025-07-24 04:28:12,0,3998,3,0,1,4144,0,0,0,0,0,0,16,7,0,0,10,0,0,0,88,4737,1,0,0,3,287,0,0
2025-07-24 05:08:33,5,5076,6,0,1,5411,7,2,1,0,0,0,106,80,0,0,18,8,0,0,632,5847,4,1,0,6,373,2,0
2025-07-24 05:38:33,8,188,2,0,0,292,0,0,5,0,0,0,49,39,0,0,9,2,0,0,177,355,1,0,0,2,39,0,0
2025-07-24 06:08:33,69,484,2,0,0,666,18,5,8,0,0,0,123,107,0,0,14,2,0,1,356,895,2,0,0,2,146,2,0
2025-07-24 06:38:33,130,4350,4,0,3,4755,2,0,0,0,0,0,71,53,0,0,15,4,0,1,387,5118,2,0,0,4,350,0,0
2025-07-24 07:08:33,192,977,3,0,0,1232,1,0,9,0,0,0,79,60,0,0,19,4,0,0,668,1349,4,0,0,3,190,1,0
2025-07-24 07:38:33,3,1491,8,0,0,1539,0,0,0,0,0,0,69,42,0,0,32,11,0,0,657,1600,3,0,0,8,222,0,0
2025-07-24 08:08:33,0,2431,0,0,0,2641,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2828,0,0,0,0,147,0,0
2025-07-24 08:38:33,0,1476,5,0,0,1692,0,0,0,0,0,0,22,14,0,0,15,0,0,0,615,1825,2,0,0,5,154,0,0
2025-07-24 09:08:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
2025-07-24 10:08:33,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,8,0,0
2025-07-24 10:38:34,0,0,0,0,0,0,0,0,0,0,0,0,24,23,0,0,6,0,0,0,0,7,0,0,0,0,24,0,0
2025-07-24 11:08:33,0,68,3,0,0,76,0,0,0,0,0,0,28,23,0,0,18,5,0,0,39,109,1,0,0,3,48,0,0
2025-07-24 11:38:45,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,6,0,0,0,3,0,0,0,0,3,0,0
2025-07-24 12:08:45,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,1,5,0,0
2025-07-24 13:51:23,153,258,2,0,3,339,2012,2,4,0,0,0,99,88,0,0,35,6,0,0,0,3395,0,0,0,2,336,2,0
2025-07-24 14:28:51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,9,0,0,0,0,0,1,0,0,2,0,866
2025-07-24 14:58:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130
2025-07-24 15:28:51,0,0,0,0,1,3,657,0,17,0,0,0,20,16,0,0,7,6,0,0,0,966,0,0,0,0,69,0,0
2025-07-24 15:58:51,0,8666,2,0,0,9205,467,0,0,0,0,0,18,11,0,0,10,2,0,0,78,11402,0,0,0,2,518,0,0
2025-07-24 16:28:51,4,54,3,0,0,81,0,5,6,0,0,0,69,51,0,0,26,4,0,1,45,109,1,0,0,3,32,0,73
2025-07-24 17:46:03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-24 19:25:42,0,2529,4,0,0,7139,0,0,0,0,0,0,36,17,0,0,18,6,0,7,778,7327,3,0,0,4,573,0,0
2025-07-24 19:55:42,2,2099,3,0,0,5697,0,0,3,0,0,0,75,56,0,0,26,4,0,2,845,5984,5,0,0,3,573,0,0
2025-07-24 20:25:42,0,356,2,0,1,1568,0,0,0,0,0,0,21,14,0,0,5,4,0,0,0,1587,0,0,0,2,173,0,1248
2025-07-24 23:06:32,0,3838,9,0,0,11921,2,0,0,0,0,0,143,101,0,0,54,14,0,0,759,12306,4,1,0,9,1086,0,0
2025-07-24 23:36:32,0,4414,4,0,0,16082,1,0,0,0,0,0,49,34,0,0,38,4,0,1,255,16611,2,0,0,4,1499,0,0
2025-07-25 00:06:32,0,2077,2,0,0,2513,0,0,0,0,0,0,22,13,0,0,9,4,0,0,247,2560,2,0,0,2,108,0,0
