record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-09 14:07:37,10,1716,27,0,1,2215,1,0,0,0,0,0,180,119,0,0,51,25,0,0,425,2499,18,1,0,27,178,0,0
2025-07-09 14:37:37,0,2669,2,0,0,3005,0,0,0,0,0,0,12,7,0,0,5,0,0,0,0,3253,0,0,0,2,67,0,0
2025-07-09 15:07:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2025-07-09 15:37:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2025-07-09 17:07:37,4,5990,6,0,6,6631,3,0,0,0,0,0,90,51,0,0,18,8,0,0,617,7132,9,0,0,6,186,0,0
2025-07-09 18:43:00,0,6971,1,0,2,7433,0,0,0,0,0,0,6,2,0,0,3,2,0,0,0,7857,0,1,0,1,132,0,0
2025-07-09 19:13:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-09 19:43:00,0,6829,0,0,0,7301,0,0,0,0,0,0,19,3,0,0,4,0,0,0,0,7761,0,0,0,0,134,0,0
2025-07-09 20:13:00,8,3937,12,0,0,4253,0,0,0,0,0,0,73,47,0,0,34,4,0,0,150,4594,2,0,0,12,153,0,0
2025-07-10 03:53:32,16,660,6,0,4,776,0,0,0,0,0,0,77,42,0,0,29,6,0,22,487,1076,4,1,0,6,90,0,0
2025-07-10 04:54:22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-10 07:31:11,90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
2025-07-10 08:08:48,4,9607,11,0,0,11565,5,3,3,0,0,0,105,57,0,0,24,9,0,0,406,12001,2,1,0,11,295,4,0
2025-07-10 08:38:48,1,198,1,0,0,211,0,0,0,0,0,0,17,15,0,0,5,0,0,0,148,390,1,0,0,1,48,0,0
2025-07-10 09:08:48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
