record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-23 19:18:39,24,10366,37,0,1,11753,8,0,0,0,0,0,162,127,0,0,79,13,0,4,146,12596,10,0,0,37,313,0,0
2025-07-23 19:48:39,18,5432,7,0,0,6178,0,4,1,0,0,0,277,253,0,0,69,4,0,0,695,6979,17,0,0,7,205,0,0
2025-07-23 20:18:39,3,15970,11,0,0,16738,0,0,0,0,0,0,186,155,0,0,83,8,0,2,366,17527,4,0,0,11,552,0,0
2025-07-23 20:48:39,2,15208,5,0,0,16463,0,0,0,0,0,0,134,115,0,0,46,0,0,2,648,17058,6,0,0,5,680,0,0
2025-07-23 21:18:39,0,13358,0,0,0,13748,0,0,0,0,0,0,3,2,0,0,3,0,0,0,0,14616,0,0,0,0,288,0,0
2025-07-23 21:48:39,0,10433,0,0,0,10467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11385,0,0,0,0,0,0,0
2025-07-23 22:18:39,0,10144,0,0,0,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11077,0,0,0,0,0,0,0
2025-07-23 22:48:39,0,10689,0,0,0,10723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11638,0,0,0,0,0,0,0
2025-07-23 23:18:39,0,11158,0,0,0,11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12119,0,0,0,0,0,0,0
2025-07-23 23:48:39,0,10237,0,0,0,10286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11204,0,0,0,0,0,0,0
2025-07-24 00:18:39,0,10915,0,0,0,10938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11833,0,0,0,0,0,0,0
2025-07-24 00:48:39,0,10843,0,0,0,10892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11805,0,0,0,0,0,0,0
2025-07-24 01:18:39,0,10512,0,0,0,10567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11496,0,0,0,0,0,0,0
2025-07-24 02:14:49,0,58,0,0,0,66,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,70,0,1,0,0,0,0,0
2025-07-24 04:44:50,9,1272,6,0,0,1570,2,0,0,0,0,0,173,155,0,0,24,4,0,0,274,1823,2,0,0,6,171,0,0
2025-07-24 05:14:49,0,1260,0,0,0,2350,0,0,0,0,0,0,4,3,0,0,3,0,0,1,0,2448,0,0,0,0,248,0,0
2025-07-24 05:44:49,0,10811,0,0,0,10846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11623,0,0,0,0,294,0,0
2025-07-24 06:14:49,1,6237,5,0,1,6776,0,0,0,0,0,0,85,71,0,0,28,0,0,0,958,7003,7,0,0,5,512,0,0
2025-07-24 06:44:49,0,2545,1,0,0,310,0,0,0,0,0,0,13,10,0,0,2,0,0,0,363,329,2,0,0,1,4,0,0
2025-07-24 07:14:49,1,5729,3,0,1,10514,0,0,0,0,0,0,52,43,0,0,26,1,0,0,217,10792,1,0,0,3,1017,0,0
2025-07-24 07:44:49,1,2655,8,0,0,4556,0,0,0,0,0,0,74,60,0,0,19,0,0,3,738,4676,7,0,0,8,312,0,0
2025-07-24 08:14:49,0,1401,0,0,0,2257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288,0,0,0,0,47,0,0
2025-07-24 08:44:49,0,2374,0,0,0,4475,0,0,0,0,0,0,14,12,0,0,4,0,0,0,0,4597,0,0,0,0,216,0,0
2025-07-24 09:19:37,0,5617,3,0,0,15588,1,0,0,0,0,0,21,12,0,0,48,6,0,4,0,16391,0,1,0,3,1560,0,0
2025-07-24 09:49:37,0,1190,1,0,0,1905,0,0,0,0,0,0,7,6,0,0,3,2,0,0,0,2078,0,0,0,1,86,0,0
2025-07-24 10:19:37,4,3959,1,0,0,11513,0,0,0,0,0,0,3,2,0,0,11,2,0,0,0,12256,0,0,0,1,1054,0,0
2025-07-24 10:49:37,0,7188,2,0,0,19560,0,0,0,0,0,0,34,26,0,0,19,0,0,0,334,20770,1,0,0,2,1709,0,0
2025-07-24 11:19:37,0,6807,2,0,0,20390,0,0,0,0,0,0,8,6,0,0,26,1,0,0,0,23838,0,0,0,2,1830,0,0
2025-07-24 11:49:49,0,4949,2,0,0,15064,0,0,1,0,0,0,89,82,0,0,25,6,0,0,0,16073,0,0,0,2,1290,0,0
2025-07-24 12:19:49,0,1025,0,0,0,2393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2546,0,0,0,0,79,0,0
2025-07-24 13:09:07,0,2101,1,0,0,7270,0,0,0,0,0,0,12,9,0,0,7,4,0,0,0,7340,0,1,0,1,662,0,0
2025-07-24 13:49:26,35,1446,2,0,0,4670,7,0,0,0,0,0,8,5,0,0,5,6,0,1,0,5760,0,0,0,2,424,0,82
2025-07-24 14:19:26,0,1250,0,0,0,2349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2518,0,0,0,0,106,0,0
2025-07-24 14:49:26,0,1248,0,0,0,1413,0,0,0,0,0,0,2,2,0,0,0,7,0,0,0,2291,0,0,0,0,38,0,0
2025-07-24 15:19:26,0,1145,0,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2043,0,0,0,0,0,0,0
2025-07-24 15:49:26,0,1646,0,0,0,2783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3481,0,0,0,0,161,0,0
2025-07-24 16:19:26,0,1125,0,0,0,1825,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2825,0,0,0,0,46,0,0
2025-07-24 16:49:27,0,1484,0,0,0,2963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4780,0,0,0,0,136,0,0
2025-07-24 17:19:26,0,638,0,0,1,2071,0,0,0,0,0,0,50,46,0,0,1,0,0,0,0,2600,0,0,0,0,320,0,681
2025-07-24 18:19:26,0,1369,1,0,0,1832,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,2778,0,0,0,1,154,0,0
2025-07-24 18:49:27,0,1140,0,0,0,2262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2262,0,0,0,0,0,0,0
2025-07-24 19:19:27,0,1367,0,0,0,2565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565,0,0,0,0,0,0,0
2025-07-24 19:49:26,0,1264,0,0,0,2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2075,0,0,0,0,0,0,0
2025-07-24 20:19:27,0,1242,0,0,0,2356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2356,0,0,0,0,0,0,0
2025-07-24 20:52:57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-25 04:20:39,19,929,4,0,0,3557,2,0,0,0,0,0,99,89,0,0,23,8,0,0,33,3876,1,0,0,4,423,0,96
2025-07-25 04:50:48,0,388,0,0,0,466,0,0,0,0,0,0,0,0,0,0,0,3,0,0,169,474,2,0,0,0,25,0,893
2025-07-25 05:20:48,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1091
2025-07-25 06:25:26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-25 11:44:00,0,2870,1,0,2,6838,0,0,0,0,0,0,2,2,0,0,13,2,0,0,0,8361,0,0,0,1,847,0,0
2025-07-25 12:14:00,0,1050,0,0,0,1252,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1382,0,0,0,0,76,0,360
2025-07-25 12:44:00,0,785,0,0,0,1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1310,0,0,0,0,41,0,0
2025-07-25 13:55:32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-25 15:14:11,0,5101,0,0,0,20379,0,0,0,0,0,0,2,2,0,0,3,4,0,0,0,20612,0,0,0,0,1860,0,0
2025-07-25 15:44:11,0,1266,0,0,0,3253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4276,0,0,0,0,423,0,924
2025-07-25 16:14:14,0,481,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1381,0,0,0,0,146,0,699
2025-07-25 16:44:15,0,743,1,0,0,2113,0,0,0,0,0,0,168,158,0,0,4,2,0,1,0,2424,0,0,0,1,259,0,0
2025-07-25 17:14:14,0,4252,1,0,0,13268,0,0,2,0,0,0,8,6,0,0,7,2,0,0,0,15395,0,0,0,1,1362,0,69
2025-07-25 17:44:14,0,1369,0,0,0,2120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2121,0,0,0,0,112,0,434
2025-07-25 18:14:14,0,3031,0,0,0,21144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21145,0,0,0,0,1663,0,0
2025-07-25 18:44:15,0,3370,0,0,0,25027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25027,0,0,0,0,1956,0,0
2025-07-25 19:14:14,0,3246,0,0,0,24924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24924,0,0,0,0,1943,0,0
2025-07-25 19:44:14,0,3272,0,0,0,24923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24923,0,0,0,0,1930,0,0
2025-07-25 20:14:14,0,3320,0,0,0,25012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25012,0,0,0,0,1924,0,0
2025-07-25 20:44:14,0,3277,0,0,0,24956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24956,0,0,0,0,1911,0,0
2025-07-25 21:14:14,0,3300,0,0,0,24913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24913,0,0,0,0,1906,0,0
2025-07-25 21:44:14,0,3333,0,0,0,24958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24958,0,0,0,0,1900,0,0
2025-07-25 22:14:14,0,3280,0,0,0,24941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24941,0,0,0,0,1898,0,0
2025-07-25 22:44:14,0,3263,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,1891,0,0
2025-07-25 23:14:14,0,3236,0,0,0,24936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24936,0,0,0,0,1887,0,0
2025-07-25 23:44:14,0,3207,0,0,0,24963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24963,0,0,0,0,1882,0,0
2025-07-26 00:14:14,0,3103,0,0,0,24898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24898,0,0,0,0,1878,0,0
2025-07-26 00:44:14,0,3232,0,0,0,25033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25033,0,0,0,0,1896,0,0
2025-07-26 01:14:14,0,3287,0,0,0,25013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25013,0,0,0,0,1893,0,0
2025-07-26 01:44:14,0,3201,0,0,0,24982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24982,0,0,0,0,1873,0,0
2025-07-26 02:14:14,0,3107,0,0,0,25012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25012,0,0,0,0,1872,0,0
2025-07-26 02:44:14,0,1294,14,0,1,6116,27,0,1,0,0,0,122,93,0,0,42,24,0,0,0,6418,0,0,0,14,669,0,0
2025-07-26 03:14:14,1,2233,6,0,0,6473,0,0,1,0,0,0,77,62,0,0,19,4,0,2,55,6750,0,0,0,6,619,0,0
2025-07-26 03:44:14,1,573,0,0,0,1424,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,1529,0,0,0,0,109,0,724
2025-07-26 04:14:14,1,68,1,0,0,298,0,0,0,0,0,0,12,9,0,0,11,0,0,1,0,306,0,0,0,1,32,0,340
2025-07-26 04:44:15,0,694,0,0,0,751,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,781,0,0,0,0,32,0,0
2025-07-26 05:14:14,0,1419,0,0,0,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,0,0,0,0,0,0,0
2025-07-26 05:44:14,0,1612,0,0,0,2319,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2441,0,0,0,0,69,0,0
2025-07-26 06:14:14,0,1581,0,0,0,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312,0,0,0,0,0,0,0
2025-07-26 06:44:14,0,1593,2,0,0,1381,0,0,0,0,0,0,4,3,0,0,6,0,0,0,0,1413,0,0,0,2,24,0,0
2025-07-26 07:14:14,0,1925,0,0,0,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,0,0,0,0,0,0,0
2025-07-26 08:10:51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-26 10:49:19,0,2410,8,0,0,9211,0,0,36,0,0,0,45,35,0,0,26,10,0,0,2,9612,0,0,0,8,923,0,105
