record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-20 04:40:58,77,3740,15,0,0,2106,10,0,1,0,0,0,236,198,0,0,114,17,0,0,897,4412,32,0,0,15,110,0,0
2025-07-20 05:10:58,28,8037,11,0,0,6004,35,4,6,0,0,0,324,288,0,0,81,16,0,3,1028,9573,12,0,0,11,221,2,0
2025-07-20 05:40:58,1,4370,6,0,0,2816,4,1,0,0,0,0,292,262,0,0,40,8,0,4,828,5846,7,0,0,6,167,0,0
2025-07-20 06:10:58,3,5145,5,0,0,4512,13,0,7,0,0,0,302,290,0,0,22,4,0,0,662,6013,4,0,0,5,211,0,0
2025-07-20 06:40:58,9,10453,7,0,0,4028,3,0,3,0,0,0,241,222,0,0,63,4,0,0,1141,5857,10,0,0,7,104,2,0
2025-07-20 07:10:58,0,8344,5,0,0,4045,0,0,40,1,0,0,231,212,0,0,61,6,0,0,866,5500,16,0,0,5,63,0,0
2025-07-20 07:40:58,0,10252,1,0,1,5321,0,0,0,0,0,0,193,124,0,0,40,4,0,0,1311,8442,16,0,0,1,23,0,0
2025-07-20 08:10:58,12,14392,11,0,0,13751,7,0,0,0,0,0,201,142,0,0,52,9,0,0,639,16185,3,0,0,11,274,0,0
2025-07-20 09:10:58,0,14150,5,0,0,14073,0,0,0,0,0,0,47,30,0,0,18,0,0,0,228,16104,3,0,0,5,382,0,0
2025-07-20 10:05:28,126,1062,1,0,0,1495,1796,0,0,0,0,0,71,62,0,0,12,4,0,0,0,4414,0,1,0,1,321,0,0
2025-07-20 11:05:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2025-07-20 13:05:28,34,0,1,0,0,0,0,0,0,0,0,0,59,56,0,0,17,7,0,0,0,42,0,0,0,1,26,0,0
