record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-06-19 14:45:06,0,1546,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-19 16:31:55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-19 17:26:16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-20 04:34:44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-21 04:51:11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-21 09:24:19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-21 10:07:11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-22 06:48:25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-22 07:15:24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-22 09:07:53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-22 09:20:59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-22 14:58:12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-22 15:15:00,390,3416,6,0,0,1605,274,1,81,1,0,0,79,43,0,0,9,28,1,7,35,2296,0,1,1,6,729,0,0
2025-06-22 17:12:27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-23 04:27:04,0,0,2,0,0,0,0,0,65,1,0,0,5,0,0,0,2,26,0,0,19,2,1,0,0,2,1,0,0
2025-06-23 05:27:04,2,0,0,0,0,0,0,0,7,1,0,0,2,0,0,0,1,20,0,0,4,3,0,0,0,0,47,0,0
2025-06-23 06:27:04,0,0,0,0,0,0,0,0,6,0,0,0,2,2,0,0,0,20,0,0,0,2,0,0,0,0,30,0,0
2025-06-23 07:27:33,0,0,1,0,0,0,0,0,22,1,0,0,0,0,0,0,1,20,0,0,0,6,0,0,0,1,10,0,0
2025-06-23 08:38:26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-23 14:38:34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-23 14:48:35,104,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,1,25,0,0,0,4,0,1,0,1,1,0,0
2025-06-23 15:58:50,186,630,3,0,0,354,60,1,67,1,0,0,21,13,0,0,5,24,0,3,60,640,0,0,0,3,221,0,0
2025-06-23 17:37:30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-25 13:18:03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-25 13:21:09,1225,1275,5,0,8,737,240,0,120,1,0,0,80,31,0,0,7,23,0,1,97,1452,1,1,0,5,327,0,0
2025-06-25 14:22:05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,11,0,0,0,0,3,0,0
2025-06-25 15:22:09,113,515,2,0,0,459,55,0,59,1,0,0,16,12,0,0,2,20,0,0,35,700,0,0,0,2,150,0,0
2025-06-25 17:25:07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-26 04:43:11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-26 04:44:55,523,0,3,0,2,3,0,1,22,1,0,0,34,20,0,0,2,22,0,5,7,45,0,1,0,3,29,0,0
2025-06-26 05:44:55,49,452,0,0,0,24,0,0,20,1,0,0,5,0,0,0,0,20,0,3,0,43,0,0,0,0,7,0,0
2025-06-26 06:52:43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-26 13:30:12,1182,3277,19,2,1,3008,2096,25,75,1,0,0,224,150,0,0,48,28,0,7,7,6655,0,0,0,19,843,8,0
2025-06-26 14:42:40,699,24,12,0,4,47,194,28,107,1,0,0,118,81,0,0,15,29,0,0,6,436,0,0,0,12,130,32,0
2025-06-26 16:54:37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-26 16:58:06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-27 04:51:34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-27 06:45:59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-06-27 06:48:24,3,10,3,0,0,13,13,0,0,0,0,0,8,5,0,0,2,22,0,0,0,73,0,1,0,3,53,0,0
2025-06-27 09:43:21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
