record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-19 16:27:52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-20 03:53:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-01 14:16:54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-02 10:54:36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-02 10:54:37,0,0,1,0,0,1,0,0,1,0,0,0,2,1,0,0,1,12,0,0,0,7,0,1,0,1,16,0,1310
2025-08-02 11:24:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-02 11:54:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-02 12:24:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
2025-08-02 12:54:37,56,88,5,0,0,61,7,2,0,0,0,1,72,44,0,0,18,16,2,1,0,111,0,0,2,5,220,0,0
2025-08-02 13:24:37,127,310,15,0,6,158,53,10,309,1,0,0,97,44,0,0,24,19,5,15,78,744,16,0,5,15,76,0,0
2025-08-02 13:54:37,96,299,8,0,1,699,36,10,1457,1,0,3,124,70,0,0,23,22,0,9,595,973,52,0,0,8,105,0,43
2025-08-02 14:33:55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-02 14:33:57,117,348,5,0,0,148,66,22,3,1,0,2,107,66,0,0,7,12,0,1,12,425,0,1,0,5,210,4,232
2025-08-02 15:03:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-02 15:33:57,4,0,10,0,7,60,0,0,277,1,0,0,102,52,0,0,30,26,0,6,85,93,20,0,0,10,95,0,0
2025-08-02 16:03:57,17,16,3,0,0,158,8,3,893,1,0,1,60,40,0,0,6,12,0,0,338,234,22,0,0,3,6,0,783
2025-08-02 16:33:57,52,100,8,0,5,619,24,1,2728,1,0,0,53,32,0,0,18,12,0,0,1103,698,35,0,0,8,130,0,951
2025-08-02 17:23:46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-03 09:12:08,142,487,5,0,0,87,80,3,19,1,0,0,136,112,0,0,7,13,1,4,8,470,0,0,1,5,272,13,0
2025-08-03 09:42:08,91,301,7,0,1,688,85,4,2054,1,0,0,87,58,0,0,11,12,0,0,831,898,33,0,0,7,99,0,448
2025-08-03 10:12:08,127,287,8,0,0,595,69,4,1577,1,0,0,58,34,0,0,13,13,1,0,599,818,15,0,1,8,164,0,0
2025-08-03 10:42:08,208,474,8,0,2,471,27,2,1,0,0,0,37,13,0,0,18,10,0,1,0,610,0,0,0,8,161,0,215
2025-08-03 11:12:08,76,82,7,0,2,81,58,34,3,0,0,2,104,77,0,0,14,11,1,3,1,235,1,0,1,7,138,7,493
2025-08-03 11:42:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-03 12:12:08,74,203,1,1,0,30,25,9,0,0,0,6,140,107,0,0,1,10,0,4,4,208,0,0,0,1,81,17,0
2025-08-03 12:42:16,104,316,8,1,0,193,116,13,14,1,0,0,250,200,0,0,20,10,0,0,6,621,0,0,0,8,156,6,0
2025-08-03 13:16:33,47,35,8,0,1,60,27,2,33,1,0,0,208,145,0,0,16,13,1,6,8,378,5,1,1,8,198,0,4
2025-08-03 13:46:33,5,30,3,0,1,992,4,3,3004,1,0,0,143,126,0,0,6,11,0,0,1217,1048,72,0,0,3,12,0,1054
2025-08-03 14:16:33,2,22,4,0,7,784,3,0,2474,1,0,0,79,60,0,0,19,15,3,0,980,835,32,0,3,4,19,0,0
2025-08-03 14:46:33,17,15,20,0,0,17,12,0,1,1,0,0,92,66,0,0,21,14,0,4,2,163,0,0,0,20,204,0,0
2025-08-03 15:18:29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-04 14:00:39,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,5,12,0,0,0,1,0,0,0,0,0,0,1228
2025-08-04 14:47:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-05 14:34:09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-06 04:40:05,26,207,0,0,0,12,3,5,0,0,0,0,40,36,0,0,0,12,0,0,0,72,0,0,0,0,34,0,1201
2025-08-06 05:10:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 05:40:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 06:10:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 06:40:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 07:10:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 07:40:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 08:10:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 08:40:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 09:10:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 09:46:16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-06 10:59:49,189,346,2,14,0,431,171,11,13,1,0,0,123,73,12,13,0,12,0,0,1,858,0,0,0,2,108,8,0
2025-08-06 11:44:24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-06 14:10:27,174,593,11,0,1,756,52,6,1353,1,0,0,94,65,0,0,10,22,0,0,487,983,56,0,0,11,43,0,24
2025-08-06 14:40:27,3,9,16,0,5,479,3,2,2047,1,0,0,123,84,0,0,20,28,0,1,880,582,42,0,0,16,19,0,343
2025-08-06 15:35:18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-06 17:16:51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-07 15:18:48,431,5091,2,0,0,4623,79,4,0,0,0,0,57,25,0,0,5,14,0,9,5,6756,1,0,0,2,333,0,0
2025-08-07 16:11:24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-08 16:03:18,61,413,0,0,0,299,12,2,0,0,0,0,48,38,0,0,2,12,0,0,0,409,0,0,0,0,59,0,807
2025-08-08 16:41:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-08 18:41:14,162,556,12,0,0,442,168,12,10,1,0,4,155,106,0,0,14,12,0,3,0,1116,0,0,0,12,226,11,0
2025-08-08 19:11:14,9,11,5,0,4,491,6,12,2412,1,0,0,86,61,0,0,12,16,0,2,1075,727,67,0,0,5,84,1,808
2025-08-08 19:41:14,0,8,0,0,0,786,0,0,3862,1,0,0,0,0,0,0,0,10,0,0,1784,882,32,0,0,0,0,0,0
2025-08-08 20:11:14,0,6,0,0,0,766,0,0,3866,1,0,0,0,0,0,0,0,10,0,0,1838,909,23,0,0,0,0,0,0
2025-08-08 20:41:14,0,4,0,0,0,744,0,0,3807,1,0,0,0,0,0,0,0,10,0,0,1824,868,18,0,0,0,0,0,0
2025-08-08 21:11:14,0,15,0,0,0,765,0,0,3712,1,0,0,0,0,0,0,0,10,0,0,1731,896,15,0,0,0,0,0,0
2025-08-08 21:41:14,0,9,0,0,0,805,0,0,3924,1,0,0,0,0,0,0,0,10,0,0,1888,969,15,0,0,0,0,0,0
2025-08-08 22:11:14,0,13,0,0,0,748,0,0,3991,1,0,0,0,0,0,0,0,10,0,0,1823,843,13,0,0,0,0,0,0
2025-08-08 22:41:14,0,16,0,0,0,765,0,0,3869,1,0,0,0,0,0,0,0,10,0,0,1805,896,12,0,0,0,0,0,0
2025-08-08 23:11:14,0,7,0,0,0,758,0,0,3857,1,0,0,0,0,0,0,0,10,0,0,1766,879,11,0,0,0,0,0,0
