record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-12 08:44:01,172,481,4,0,0,297,177,37,26,1,0,5,70,42,0,0,8,14,0,0,11,664,3,0,0,4,170,4,0
2025-07-12 09:35:42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-12 10:10:40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-12 10:16:38,1155,363,9,0,2,442,121,4,3114,1,0,2,49,33,0,0,12,15,1,1,238,698,79,1,1,9,117,0,316
2025-07-12 10:56:28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-13 13:30:20,596,270,6,0,8,281,77,14,3411,1,0,0,91,73,0,0,15,14,2,1,403,538,24,0,2,6,74,3,341
2025-07-13 14:00:23,366,651,5,0,0,704,508,32,13,1,0,3,81,50,1,1,8,12,2,1,51,1980,5,0,2,5,172,0,0
2025-07-13 14:30:23,329,937,3,0,0,1147,288,12,11,1,0,4,82,57,0,0,8,11,1,13,68,2034,0,0,1,3,157,2,0
2025-07-13 15:51:36,648,175,6,0,1,251,208,16,2192,1,0,0,86,59,2,2,9,16,0,4,198,636,43,1,0,6,96,8,96
2025-07-13 16:21:53,686,2960,6,0,0,1673,194,8,995,1,0,0,96,57,3,3,13,10,0,3,82,2452,12,0,0,6,125,3,0
2025-07-13 16:51:55,306,937,1,0,0,1056,629,5,12,1,0,0,56,32,0,0,4,10,0,15,2,2216,0,0,0,1,78,2,13
2025-07-13 17:21:55,7,35,0,0,0,44,69,0,0,0,0,0,2,0,0,0,0,10,0,0,0,155,0,0,0,0,14,0,1411
2025-07-13 17:54:37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-14 04:08:37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-14 04:40:37,409,1455,4,0,0,1293,142,13,194,1,0,6,77,61,0,0,6,16,0,3,102,1867,1,0,0,4,143,2,0
2025-07-14 05:13:07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-14 13:06:15,109,634,0,0,0,535,189,3,0,0,0,3,35,22,0,0,4,14,0,0,0,974,0,0,0,0,38,0,1326
2025-07-14 13:42:27,633,1886,4,0,1,1889,710,1,0,0,0,7,107,78,0,0,12,12,0,3,1,3146,0,0,0,4,161,0,0
2025-07-14 14:51:37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-14 16:50:26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-07-15 06:20:59,54,232,1,2,0,176,566,7,280,1,0,0,150,102,0,0,8,15,1,0,8,1342,0,0,1,1,124,2,0
2025-07-15 07:12:05,42,113,3,1,0,51,484,4,0,0,0,0,96,79,0,0,8,14,1,2,0,680,0,1,1,3,108,0,308
2025-07-15 08:17:52,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
