record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-06 14:53:40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-07 15:45:56,325,885,3,0,0,886,22,18,0,0,0,0,47,22,0,0,11,13,1,10,5,1041,1,0,1,3,126,0,0
2025-08-07 16:15:56,98,124,2,0,0,191,18,19,22,1,0,1,74,38,0,0,4,10,0,7,9,417,0,0,0,2,293,3,0
2025-08-07 16:45:56,161,498,1,0,0,240,31,5,89,1,0,0,89,32,7,7,2,11,1,32,20,557,0,0,1,1,246,0,0
2025-08-07 17:15:56,117,183,4,0,0,190,58,11,105,1,0,1,87,47,13,14,7,15,5,9,49,595,0,0,5,4,269,0,0
2025-08-07 17:53:26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-08 05:39:26,216,243,5,0,0,338,24,0,44,1,0,5,78,56,14,14,3,17,2,3,35,702,0,0,2,5,305,0,0
2025-08-08 06:11:19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-08 16:02:01,19,23,2,0,0,35,8,10,17,1,0,1,129,109,2,2,2,12,0,1,9,235,0,0,0,2,231,0,0
2025-08-08 16:57:44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-09 08:59:13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-09 13:47:00,26,10,7,0,2,17,10,9,25,1,0,1,212,168,6,6,11,12,0,19,27,296,38,0,0,7,241,4,0
2025-08-09 14:17:00,137,222,4,0,0,185,106,3,83,1,0,0,40,17,88,88,6,12,2,4,50,788,1,0,2,4,316,0,0
2025-08-09 14:47:00,37,41,10,1,0,50,12,2,0,0,0,0,95,72,11,11,11,22,0,0,0,220,6,0,0,10,67,0,1148
2025-08-09 15:32:50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-09 15:36:33,520,1712,4,18,0,1894,159,8,10,1,0,0,75,47,1,1,2,14,0,13,8,2694,0,1,0,4,279,0,0
2025-08-09 16:15:29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-10 13:13:30,119,44,6,0,0,192,29,3,121,1,0,0,202,124,15,15,13,12,0,8,20,713,5,1,0,6,300,0,0
2025-08-10 13:43:30,183,36,3,0,0,448,65,1,307,1,0,0,134,56,16,16,10,11,1,22,50,1039,0,0,1,3,268,0,0
2025-08-10 14:29:28,43,45,4,4,0,80,22,9,5,1,0,0,73,46,8,8,4,12,0,0,0,13513,0,1,0,4,45,13,667
2025-08-10 14:59:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,25909,0,0,0,0,0,0,0
2025-08-10 15:29:28,11,8,9,0,0,161,9,1,457,1,0,0,159,126,8,8,16,18,4,0,124,5274,15,0,4,9,136,0,0
2025-08-10 16:10:41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-11 13:49:14,179,489,7,0,0,286,26,1,59,1,0,0,103,46,1,1,20,24,2,22,65,613,0,1,2,7,326,0,0
2025-08-11 14:39:44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-12 13:55:35,40,35,19,0,0,106,31,6,76,1,0,0,118,79,0,0,3,27,3,8,1,423,0,0,3,19,287,9,0
2025-08-12 14:53:14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-12 15:15:55,42,38,25,1,0,65,6,9,30,1,0,0,91,55,4,4,10,27,1,7,0,346,0,1,1,25,344,0,0
2025-08-12 15:55:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-13 17:20:42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-16 15:32:41,63,2,7,0,0,29,1,0,1566,1,0,0,65,42,2,2,8,18,0,17,161,243,4,1,0,7,69,0,251
2025-08-16 16:02:41,0,0,0,0,0,2,0,0,3519,1,0,0,0,0,0,0,0,10,0,0,726,260,5,0,0,0,0,0,1760
2025-08-16 16:38:06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
