record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-02 13:14:28,75,77,2,0,0,126,4,7,6,1,0,0,15,6,0,0,2,12,0,0,4,159,1,0,0,2,39,0,1078
2025-08-02 13:44:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-02 14:14:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-02 14:44:28,2,2,0,0,0,18,0,0,0,0,0,0,7,0,0,0,0,11,1,1,0,37,0,0,1,0,465,0,0
2025-08-02 16:01:14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-02 16:03:36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-03 11:05:09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-03 11:35:09,403,1069,18,1,0,862,169,48,18,1,0,1,159,121,14,15,24,24,2,1,8,1505,0,0,2,18,259,16,439
2025-08-03 12:05:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-03 12:35:17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-03 13:05:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-03 13:35:33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-03 14:05:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-03 14:35:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0
2025-08-03 15:05:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-03 15:35:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-03 16:05:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-03 16:35:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-03 17:21:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-10 13:19:03,53,84,0,0,0,128,121,0,0,0,0,0,3,0,0,0,0,12,0,0,0,300,0,1,0,0,0,0,1255
2025-08-10 13:49:03,251,712,2,0,1,876,106,0,40,1,0,0,12,2,0,0,2,14,0,4,7,1201,1,0,0,2,27,0,91
2025-08-10 14:19:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2025-08-10 14:49:03,5,6,2,0,0,10,3,0,3,0,0,0,33,8,7,7,3,10,0,39,0,123,0,0,0,2,68,0,458
2025-08-10 15:19:03,20,39,1,0,0,83,18,0,109,1,0,0,43,24,0,0,3,10,0,2,1,393,0,0,0,1,69,0,282
2025-08-10 15:49:03,96,166,4,0,0,242,118,1,53,1,0,0,76,46,0,0,17,17,7,6,12,735,1,0,7,4,221,0,0
2025-08-10 16:47:13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-14 16:20:08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-08-14 16:32:36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
