record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-28 22:45:33,12,7727,32,0,1,7778,1,0,0,0,0,0,132,97,0,0,45,9,0,0,185,9237,11,0,0,32,269,0,0
2025-07-29 14:51:26,88,7,2,0,0,8,0,0,0,0,0,0,21,16,0,0,6,4,0,0,0,12,0,0,0,2,5,0,1118
2025-07-29 15:21:26,90,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,1,0,0,0,0,34663,0,0,0,0,0,0,0
2025-07-29 15:51:26,90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,36000,0,0,0,0,0,0,0
2025-07-29 16:21:26,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,0,0,0,0,0
2025-07-29 22:24:17,82,5917,9,0,0,6116,1,0,0,0,0,0,88,70,0,0,29,6,0,2,471,7130,5,0,0,9,142,1,0
2025-07-29 22:54:17,1,10853,5,0,0,11078,0,0,0,0,0,0,163,139,0,0,35,0,0,1,737,12596,5,0,0,5,323,0,0
2025-07-29 23:24:17,0,0,1,0,0,0,0,0,1,0,0,0,3,2,0,0,2,0,0,0,0,1,0,0,0,1,12,0,1138
2025-07-29 23:54:17,105,0,1,0,0,0,2,0,0,0,0,0,48,40,0,0,11,2,0,0,0,6378,0,0,0,1,13,0,134
2025-07-30 00:24:17,360,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,262
2025-07-30 00:54:17,360,0,0,0,1,0,0,0,0,0,0,0,6,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,330
2025-07-30 01:24:17,8,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,2,2,0,0,0,0,0,0,0,1,10,0,1429
