record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-12 19:15:22,0,0,0,0,0,0,0,0,0,0,0,0,39,38,0,0,11,2,0,0,0,0,0,1,0,0,11,0,0
2025-07-13 03:15:40,11,0,5,0,0,0,6,0,1,0,0,0,54,40,0,0,25,13,0,0,0,54,0,0,0,5,42,0,0
2025-07-13 04:07:11,367,568,4,0,1,696,81,4,0,0,0,0,65,29,7,0,6,10,0,5,10,1187,1,1,0,4,92,6,0
2025-07-13 06:08:33,82,484,6,0,0,626,57,5,0,0,0,0,154,122,6,1,18,6,0,3,319,905,11,0,0,6,85,1,0
2025-07-13 06:38:38,46,2335,3,0,0,3521,34,2,0,0,0,0,18,7,4,0,5,14,0,1,233,3716,9,0,0,3,31,5,0
2025-07-13 07:08:38,84,1967,1,0,0,3458,1,0,0,0,0,0,16,13,0,0,4,4,0,9,188,3474,4,0,0,1,17,0,0
2025-07-13 09:08:38,2,2,4,0,0,2,4,20,0,0,0,0,34,23,0,0,6,6,0,0,0,37,0,0,0,4,19,3,0
2025-07-13 11:08:38,0,2567,1,0,0,2590,0,0,0,0,0,0,29,24,0,0,6,2,0,0,0,3361,0,0,0,1,33,0,0
2025-07-13 11:38:38,31,5728,6,0,0,5866,57,0,0,0,0,0,116,88,9,0,37,12,0,0,6,7639,0,0,0,6,160,1,0
2025-07-13 12:08:38,0,0,0,0,2,0,0,0,0,0,0,0,42,39,0,0,9,0,0,0,0,43,0,0,0,0,10,0,0
2025-07-13 13:08:40,0,0,0,0,0,0,0,0,0,0,0,0,46,43,1,0,5,0,0,0,0,44,0,0,0,0,13,0,0
2025-07-13 13:38:40,7,1,0,0,0,2,2,0,0,0,0,0,42,41,0,0,7,0,0,0,0,25,0,0,0,0,5,0,0
2025-07-13 14:32:56,43,1537,5,0,0,2471,14,11,0,0,0,0,140,120,0,0,29,10,0,19,135,2559,3,1,0,5,14,10,0
2025-07-13 15:02:56,16,824,4,0,0,1150,13,7,0,0,0,0,169,151,0,0,24,6,0,0,552,1309,4,0,0,4,37,10,0
2025-07-13 15:32:56,3,6568,4,0,1,6955,0,0,0,0,0,0,101,78,0,0,20,4,0,3,672,9242,4,0,0,4,178,0,0
2025-07-13 16:02:56,3,49,4,0,0,76,3,0,0,0,0,0,111,100,0,0,21,8,0,0,44,147,0,0,0,4,11,0,0
2025-07-13 16:32:58,0,0,1,0,0,0,0,0,0,0,0,0,54,47,0,0,10,2,0,0,0,31,0,0,0,1,18,0,0
2025-07-13 18:03:00,35,0,2,0,0,0,0,0,0,0,0,0,11,7,0,0,5,4,0,0,0,5,0,0,0,2,9,0,0
2025-07-13 20:03:00,79,0,3,0,0,0,6,0,26,1,0,0,74,62,0,0,18,6,0,2,0,85,0,0,0,3,35,0,0
