record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-29 15:27:10,24,464,8,0,0,822,8,0,3,0,0,0,125,89,0,0,50,18,0,0,441,894,18,1,0,8,88,0,0
2025-07-29 15:57:10,2,903,3,0,1,1551,0,0,13,0,0,0,81,53,0,0,33,4,0,0,763,1682,10,0,0,3,115,0,0
2025-07-29 16:27:10,0,4136,8,0,0,5177,0,0,2,0,0,0,143,115,0,0,38,8,2,0,562,6216,5,0,2,8,211,0,0
2025-07-29 16:57:14,89,4362,12,0,0,5028,1,0,4,0,0,0,191,147,0,0,61,18,0,4,502,6072,4,0,0,12,246,0,0
2025-07-29 17:27:14,57,6851,10,0,0,8252,0,0,0,0,0,0,167,139,0,0,48,10,0,1,395,11790,3,0,0,10,340,0,0
2025-07-29 17:57:14,6,4007,10,0,0,4688,0,0,3,0,0,0,173,145,0,0,73,12,0,5,788,6513,4,0,0,10,170,0,0
2025-07-29 18:27:14,21,6123,12,0,0,7041,1,0,21,1,0,0,263,226,0,0,60,12,1,1,466,8601,3,0,1,12,431,0,0
2025-07-30 11:53:35,598,0,1,0,0,0,0,0,0,0,0,0,21,13,0,0,13,4,0,0,0,13,0,0,0,1,9,0,561
2025-07-30 12:23:35,306,0,0,0,2,0,0,0,30,0,0,0,24,19,0,0,2,0,0,0,0,52,0,0,0,0,20,0,526
2025-07-30 12:53:35,281,5277,2,0,0,5826,0,0,12,0,0,0,44,27,0,0,15,2,0,3,133,6731,1,0,0,2,281,0,106
2025-07-30 13:23:35,0,2767,0,0,1,2981,0,0,5,0,0,0,50,42,0,0,22,0,0,0,0,3163,0,0,0,0,186,0,739
2025-07-30 15:58:47,0,5246,0,0,0,5393,0,0,0,0,0,0,110,108,0,0,6,2,0,0,0,6085,0,0,0,0,394,0,1049
2025-07-30 16:28:47,1,2605,12,0,0,5381,0,0,0,0,0,0,118,93,0,0,54,5,0,0,909,6883,4,0,0,12,551,0,0
2025-07-30 17:12:15,1,3277,8,0,0,9375,0,0,35,0,0,0,58,18,0,0,32,2,0,2,196,10324,0,1,0,8,1216,0,0
2025-07-30 17:42:15,0,2271,0,0,0,11655,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,13019,0,0,0,0,1011,0,0
