record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-09 17:11:58,27,9,10,0,0,34,14,3,53,1,0,0,97,79,0,0,51,19,2,0,0,156,1,1,2,10,72,2,0
2025-07-09 17:41:58,155,112,2,0,0,172,416,6,0,0,0,0,193,147,32,50,43,4,0,1,2,809,1,0,0,2,225,9,0
2025-07-09 18:11:58,13,11017,8,0,4,11631,7,1,0,0,0,0,120,81,7,4,32,10,0,2,78,13835,3,0,0,8,303,0,0
2025-07-09 18:41:58,172,8089,4,0,0,8676,3,0,0,0,0,0,177,155,0,0,35,6,0,0,25,10048,1,0,0,4,214,0,0
2025-07-09 19:11:58,334,0,1,0,0,2,1,0,0,0,0,0,22,21,0,0,1,2,0,0,0,16261,0,0,0,1,8,0,0
2025-07-10 03:43:45,44,2,9,0,3,3,3,1,3,0,0,0,134,104,0,0,32,17,0,0,0,1068,1,0,0,9,143,2,0
2025-07-10 08:14:07,15,474,6,0,1,630,0,0,0,0,0,0,82,71,0,0,19,4,0,0,117,986,3,0,0,6,63,0,0
2025-07-10 08:44:07,0,1421,2,0,1,2183,0,0,0,0,0,0,52,46,0,0,17,0,0,0,1161,2323,16,0,0,2,33,0,0
2025-07-10 09:14:07,26,2144,5,0,1,2433,0,0,3,0,0,0,68,57,0,0,40,8,0,0,31,2848,0,0,0,5,93,0,0
2025-07-10 09:44:07,0,0,2,0,2,0,0,0,0,0,0,0,15,8,0,0,4,4,0,27,0,36,0,0,0,2,26,0,0
2025-07-10 13:44:52,22,1,4,0,0,4,5,1,0,0,0,0,47,31,0,0,9,8,0,1,0,95,0,0,0,4,34,5,0
2025-07-10 14:14:55,42,3,16,0,1,8,22,0,0,0,0,0,160,108,0,0,49,28,0,15,0,336,0,0,0,16,79,6,0
