record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-05 16:03:10,0,16779,0,0,0,17785,0,0,0,0,0,0,53,24,0,0,11,2,0,0,0,19715,0,1,0,0,366,0,67
2025-08-05 16:33:10,103,8526,6,0,0,9005,15,1,0,0,0,0,112,81,1,0,50,6,0,1,149,13995,9,0,0,6,74,0,0
2025-08-05 17:03:10,187,5652,8,0,0,6022,131,4,5,0,0,0,148,96,0,0,51,8,0,0,0,7464,0,0,0,8,102,6,0
2025-08-05 17:33:10,97,3261,5,0,0,3501,12,1,0,0,0,0,130,87,0,0,74,10,0,2,749,4012,16,0,0,5,56,0,0
2025-08-05 18:03:10,176,4702,4,0,0,5280,11,0,0,0,0,0,129,85,0,0,51,4,0,3,627,5816,6,0,0,4,41,1,0
2025-08-05 18:33:10,400,399,1,0,0,422,8,1,0,0,0,0,60,38,0,0,32,2,0,0,374,523,3,0,0,1,22,0,0
2025-08-05 19:33:09,363,699,2,0,1,919,0,0,0,0,0,0,113,76,0,0,16,6,0,0,545,1148,4,1,0,2,41,0,0
2025-08-05 20:03:09,603,2083,4,0,1,2529,1,2,0,0,0,0,42,27,0,0,26,4,0,0,0,2807,0,0,0,4,73,1,614
2025-08-05 20:33:09,754,38,0,0,0,63,84,0,0,0,0,0,35,12,0,0,7,0,0,0,0,224,0,0,0,0,33,0,571
2025-08-05 21:08:48,0,9516,2,0,2,11148,0,0,10,0,0,0,71,48,0,0,18,2,0,0,393,13861,3,1,0,2,222,0,0
2025-08-05 21:38:49,0,9185,5,0,0,12256,0,0,0,0,0,0,63,40,0,0,37,4,0,0,354,14987,1,0,0,5,400,0,0
2025-08-05 22:08:49,673,1999,3,0,0,2133,10,0,0,0,0,0,66,47,0,0,19,6,0,0,0,4015,0,0,0,3,43,0,466
2025-08-05 22:38:48,761,135,0,0,0,184,34,1,0,0,0,0,48,32,15,2,4,0,0,0,2,348,0,0,0,0,15,0,0
2025-08-06 13:52:07,793,0,0,0,0,0,0,0,0,0,0,0,27,14,0,0,3,2,0,0,0,20,0,1,0,0,0,0,710
2025-08-06 14:22:07,799,64,0,0,0,76,5,0,0,0,0,0,32,16,0,0,9,0,0,0,1,128,0,0,0,0,4,0,25
2025-08-06 14:52:07,251,6427,4,0,0,7882,0,0,9,1,0,0,140,123,0,0,27,8,0,0,0,12249,1,0,0,4,175,0,259
2025-08-06 15:25:33,137,3390,11,0,0,4358,3,0,643,1,0,0,99,61,0,0,14,18,1,0,0,8198,0,1,1,11,254,0,0
2025-08-06 16:01:52,443,10,2,0,0,245,3,0,442,1,0,0,18,5,0,0,3,6,0,0,0,968,0,1,0,2,53,0,666
2025-08-06 16:31:51,354,10085,1,0,0,13015,98,0,0,0,0,0,47,36,0,0,5,2,0,0,0,14666,0,0,0,1,355,0,121
2025-08-06 17:01:50,5,8596,5,0,1,10556,438,0,0,0,0,0,84,59,0,0,35,6,0,0,515,12986,3,0,0,5,395,0,0
2025-08-06 17:31:50,214,153,2,0,7,230,2846,0,0,0,0,0,93,58,0,0,19,4,0,4,0,3968,0,0,0,2,230,0,0
2025-08-06 18:01:51,279,563,4,0,0,683,78,3,0,0,0,0,183,133,0,0,39,8,0,8,328,1108,2,0,0,4,77,2,30
