record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-09 18:23:03,3,5667,34,0,26,5922,3,17,1,0,0,0,87,50,0,0,38,11,0,0,1,6605,1,0,0,34,231,2,0
2025-07-09 18:53:03,4,10109,5,0,0,10494,0,0,0,0,0,0,55,29,0,0,26,6,0,3,0,12210,0,0,0,5,245,0,0
2025-07-09 19:23:03,12,6257,8,0,1,6701,2,2,0,0,0,1,69,51,0,0,25,4,0,0,208,7700,11,0,0,8,210,0,0
2025-07-09 19:53:03,1,13649,14,0,1,14287,0,0,0,0,0,0,52,33,0,0,24,8,0,1,140,16290,4,0,0,14,319,0,0
2025-07-09 20:23:03,3,10652,3,0,0,11222,0,0,0,0,0,0,11,7,0,0,5,4,0,0,298,13298,5,0,0,3,221,0,0
2025-07-10 02:23:03,0,6857,0,0,1,7245,0,0,0,0,0,0,12,12,0,0,4,0,0,0,0,7953,0,0,0,0,164,0,0
2025-07-10 02:53:03,1,3791,4,0,0,3913,0,0,5,0,0,0,30,25,0,0,17,6,0,0,0,4394,0,0,0,4,126,0,0
2025-07-10 17:29:09,0,6010,5,0,17,6082,0,0,11,0,0,0,267,255,0,0,41,14,0,1,0,7265,0,1,0,5,414,0,0
2025-07-10 17:59:21,2,8762,7,0,9,9309,0,0,0,0,0,0,183,170,0,0,34,12,0,2,197,10591,2,0,0,7,620,0,0
2025-07-10 18:54:57,0,11232,3,0,11,12148,0,0,0,0,0,0,56,48,0,0,57,2,0,0,55,13965,1,1,0,3,734,0,0
2025-07-10 19:24:57,2,6779,6,0,0,7556,1,0,1,0,0,0,62,50,0,0,16,6,0,4,402,8153,6,0,0,6,445,1,0
2025-07-10 19:55:20,6,1,5,0,0,2,3,0,0,0,0,0,33,25,0,0,13,12,0,1,0,138,0,1,0,5,17,1,0
2025-07-11 03:16:19,0,10474,4,0,3,11074,4,0,1,0,0,0,41,33,0,0,20,8,0,2,0,13486,0,0,0,4,768,0,0
2025-07-11 03:46:19,3,4644,10,0,13,5274,0,0,0,0,0,0,67,52,0,0,26,14,0,4,489,6333,6,0,0,10,310,0,0
2025-07-11 04:16:19,9,8911,6,0,4,10119,2,0,0,0,0,0,122,106,0,0,20,5,0,5,360,12150,3,0,0,6,606,0,0
2025-07-11 04:56:30,9,2472,10,0,24,2687,0,0,27,0,0,0,93,74,0,0,61,10,0,26,16,3227,1,1,0,10,297,0,0
2025-07-11 07:14:13,0,66,1,0,1,90,0,0,0,0,0,0,6,5,0,0,5,2,0,2,41,94,0,0,0,1,33,0,0
