record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-15 14:24:03,4,10,29,0,1,15,0,7,4,0,0,0,218,154,0,0,45,16,0,2,0,321,1,0,0,29,144,0,0
2025-08-15 14:54:29,80,97,4,0,0,156,80,16,4,0,0,0,322,195,42,2,30,8,0,10,73,525,3,0,0,4,102,0,0
2025-08-15 15:24:41,11,1324,3,0,0,2083,118,0,0,0,0,0,223,118,0,0,24,8,0,3,653,2507,16,0,0,3,139,1,0
2025-08-15 15:55:06,10,1474,4,0,0,2116,104,6,0,0,0,0,249,173,0,0,16,8,0,4,513,2868,9,0,0,4,155,1,0
2025-08-15 16:25:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,1130,5,0,0,0,0,0,0
2025-08-15 16:55:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,1124,4,0,0,0,0,0,0
2025-08-15 17:25:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,1144,3,0,0,0,0,0,0
2025-08-15 17:56:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,1112,3,0,0,0,0,0,0
2025-08-15 20:10:41,5,0,0,0,0,0,0,0,0,0,0,0,45,37,0,0,1,2,0,1,214,1028,3,1,0,0,16,0,0
2025-08-15 20:40:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,1108,2,0,0,0,0,0,0
2025-08-16 00:01:01,1,0,0,0,1,0,0,0,0,0,0,0,46,36,0,0,20,2,0,15,268,1139,2,1,0,0,8,0,0
2025-08-16 00:31:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,1172,2,0,0,0,0,0,0
2025-08-16 01:01:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,266,1068,2,0,0,0,0,0,0
2025-08-16 01:31:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,1104,2,0,0,0,0,0,0
2025-08-16 02:01:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,1088,2,0,0,0,0,0,0
