record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-03 17:25:38,153,417,43,0,3,625,32,4,0,0,0,0,202,154,0,0,69,33,0,0,106,994,7,0,0,43,127,0,0
2025-08-03 17:55:38,0,1849,5,0,0,2239,0,0,0,0,0,0,106,88,0,0,31,5,0,0,916,2362,21,0,0,5,39,0,0
2025-08-04 13:38:23,20,944,9,0,2,1237,8,7,10,1,0,0,176,136,0,0,45,19,0,6,606,1580,11,0,0,9,114,2,0
2025-08-04 14:08:26,7,3127,11,0,6,3504,12,0,0,0,0,0,226,185,0,0,43,16,0,1,583,4132,11,0,0,11,123,7,0
2025-08-04 14:38:26,12,2998,12,0,4,3257,2,2,0,0,0,0,137,104,0,0,42,8,0,1,416,3966,4,0,0,12,145,2,0
2025-08-04 15:09:03,1,393,2,0,1,527,0,0,0,0,0,0,73,61,0,0,20,4,0,0,306,560,3,0,0,2,25,0,726
2025-08-04 23:22:52,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,2,0,0,0,1,0,0,0,0,2,0,1476
2025-08-05 01:53:33,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,4,0,718
2025-08-05 02:55:04,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,8,0,0,0,0,0,0,0,0,3,0,949
2025-08-05 03:55:04,2,146,3,0,0,165,0,0,0,0,0,0,45,37,0,0,7,4,0,0,0,307,0,0,0,3,30,0,982
2025-08-05 04:25:04,91,1239,4,0,1,1291,21,6,27,1,0,1,70,52,0,0,22,8,0,5,16,1706,1,0,0,4,114,2,219
2025-08-05 04:55:09,18,11505,8,0,3,12129,0,0,22,1,0,1,126,106,0,0,31,8,0,0,205,13389,1,0,0,8,369,0,0
2025-08-05 05:25:12,0,3826,6,0,0,4831,0,0,0,0,0,0,103,73,0,0,22,0,0,0,561,6537,4,0,0,6,227,0,0
2025-08-05 05:55:12,24,5397,3,0,5,6348,10,0,3,0,0,0,86,65,0,0,30,2,0,0,718,6790,3,0,0,3,278,0,0
2025-08-05 06:51:46,24,3687,9,0,16,4747,1,0,18,1,0,1,91,63,0,0,51,12,0,0,693,5371,8,1,0,9,303,1,0
2025-08-05 07:21:53,82,1264,5,0,2,1543,154,4,7,0,0,1,171,126,8,0,47,7,0,2,21,2143,0,0,0,5,278,24,43
2025-08-05 07:52:03,15,318,5,0,7,412,0,0,24,1,0,0,64,54,0,0,21,8,0,11,115,679,0,0,0,5,337,0,27
2025-08-05 08:22:04,0,3414,1,0,3,3747,0,0,0,0,0,0,19,7,0,0,5,0,0,7,322,4611,2,0,0,1,664,0,309
2025-08-05 08:52:03,0,0,2,0,0,4,1,0,0,0,0,0,27,23,0,0,9,7,0,0,0,52,0,0,0,2,15,0,1017
2025-08-05 09:52:04,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,2,0,0,0,0,11,0,619
2025-08-05 10:22:04,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,0,0,0,0,0,0,0,0,0,4,0,684
2025-08-05 10:52:03,0,3631,0,0,1,4118,0,0,0,0,0,0,5,4,0,0,5,0,0,2,0,4989,0,0,0,0,302,0,0
2025-08-05 11:22:03,0,7334,6,0,8,7691,0,0,1,0,0,0,29,19,0,0,19,0,0,0,106,9609,0,0,0,6,548,0,403
2025-08-05 14:05:52,49,4544,7,0,1,4945,38,2,0,0,0,0,142,113,0,0,37,10,0,1,232,6113,2,0,0,7,473,7,0
2025-08-06 13:43:44,1,6662,8,0,1,6980,20,0,0,0,0,0,102,86,0,0,38,12,0,5,35,8425,0,0,0,8,494,0,0
2025-08-10 17:06:03,0,2162,5,0,0,2299,0,0,0,0,0,0,42,33,0,0,29,4,0,1,50,2548,0,0,0,5,292,0,939
2025-08-11 02:36:58,0,0,2,0,0,0,0,0,0,0,0,0,16,11,0,0,7,4,0,0,0,33,0,0,0,2,23,0,0
2025-08-11 05:28:04,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,1,2,0,0,0,4,0,0,0,0,23,0,1151
