record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-03 13:21:34,102,2011,37,0,0,2522,12,0,0,0,0,0,155,129,0,0,62,17,0,1,214,2937,12,0,0,37,201,0,0
2025-08-03 13:51:34,0,1573,2,0,0,2162,0,0,13,0,0,0,89,73,0,0,35,0,0,0,767,2586,14,0,0,2,48,0,0
2025-08-03 14:21:34,112,2800,5,0,0,3090,4,0,0,0,0,0,153,129,0,0,51,6,0,0,469,3661,5,0,0,5,80,0,0
2025-08-03 14:51:34,0,956,1,0,0,1209,0,0,0,0,0,0,79,75,0,0,35,0,0,0,873,1263,6,0,0,1,4,0,0
2025-08-03 15:21:34,0,1783,4,0,0,2179,0,0,0,0,0,0,174,168,0,0,28,0,0,0,844,2418,5,0,0,4,36,0,0
2025-08-04 12:28:19,675,34,0,0,0,57,42,1,0,0,0,0,51,33,0,0,13,2,0,0,0,129,0,0,0,0,31,0,917
2025-08-04 12:58:19,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-04 13:28:53,199,343,3,1,0,502,158,16,0,0,0,0,81,63,1,1,30,2,0,5,242,732,1,0,0,3,67,1,0
2025-08-04 13:58:55,0,1357,2,0,0,1974,0,0,0,0,0,0,66,58,0,0,33,0,0,0,1089,2051,4,0,0,2,83,0,4
2025-08-04 14:28:55,1,4516,6,0,0,5830,0,0,1,0,0,0,86,77,0,0,50,0,0,0,746,7407,3,0,0,6,246,0,0
2025-08-04 14:58:56,0,9967,2,0,0,11612,0,0,0,0,0,0,64,57,0,0,31,0,0,0,552,12820,2,0,0,2,327,0,0
2025-08-04 15:29:57,32,12488,2,0,0,15463,1,7,0,0,0,0,22,15,0,0,13,4,0,0,0,17503,0,0,0,2,518,1,0
2025-08-04 16:13:29,0,3576,2,0,0,4781,0,0,0,0,0,0,43,36,0,0,27,2,0,0,717,4838,2,1,0,2,157,0,0
2025-08-04 16:43:32,2,5934,4,0,0,7428,0,0,0,0,0,0,93,83,0,0,45,6,0,1,778,8455,3,0,0,4,360,0,0
2025-08-04 17:13:33,214,1756,3,0,0,2306,7,0,0,0,0,0,200,188,0,0,43,6,0,0,0,3079,0,0,0,3,78,5,116
2025-08-05 13:23:40,0,13266,4,0,0,14869,0,0,0,0,0,0,63,60,0,0,27,2,0,0,425,15738,2,1,0,4,921,0,0
2025-08-05 13:53:40,0,2411,3,0,0,2739,0,0,0,0,0,0,33,28,0,0,16,0,0,0,88,3131,1,0,0,3,161,0,931
2025-08-05 14:23:40,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,2,2,0,0,0,0,0,0,0,1,1,0,592
