record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-18 02:37:21,0,0,11,0,0,11,2,0,0,0,0,0,24,18,0,0,18,8,0,0,0,159,0,0,0,11,28,0,0
2025-07-18 03:07:21,0,0,12,0,0,1,0,0,0,0,0,0,33,32,0,0,19,2,0,0,0,2200,0,0,0,12,0,0,0
2025-07-18 03:37:21,99,221,4,0,4,241,296,0,0,0,0,0,174,145,0,0,39,5,0,41,0,3233,0,0,0,4,74,9,0
2025-07-18 04:07:21,173,15812,1,0,0,15889,411,5,24,0,0,0,103,77,0,0,10,2,0,15,0,16644,0,0,0,1,1286,0,0
2025-07-18 04:37:21,0,8825,9,0,0,9246,0,0,0,0,0,0,97,62,0,0,34,4,0,2,1131,9348,5,0,0,9,840,0,0
2025-07-18 05:07:21,63,13586,5,0,0,13764,29,0,0,0,0,0,110,93,0,0,19,4,0,13,173,13999,1,0,0,5,1130,23,0
2025-07-18 05:37:21,0,2063,2,0,0,2159,0,0,0,0,0,0,15,9,0,0,5,0,0,0,161,2905,0,0,0,2,120,0,0
2025-07-18 06:07:21,0,5412,0,0,0,5431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16485,0,0,0,0,0,0,0
2025-07-18 06:37:21,0,5556,0,0,0,5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16528,0,0,0,0,0,0,0
2025-07-18 08:58:08,0,5668,0,0,1,5730,0,0,0,0,0,0,13,12,0,0,2,4,0,0,0,14711,0,0,0,0,4,0,0
2025-07-18 10:33:06,0,20617,1,0,0,20851,0,0,0,0,0,0,15,11,0,0,7,2,0,0,0,23858,0,0,0,1,1413,0,0
2025-07-18 11:03:06,0,12773,2,0,0,13217,0,0,0,0,0,0,60,49,0,0,9,2,0,0,1121,13300,5,0,0,2,976,0,0
2025-07-18 11:33:07,40,349,5,0,1,737,702,0,0,0,0,0,52,43,0,0,23,2,0,0,130,2634,1,0,0,5,166,0,0
2025-07-18 12:03:06,0,0,8,0,0,0,0,0,0,0,0,0,21,22,0,0,34,0,0,0,0,2076,0,0,0,8,2,0,0
2025-07-18 12:33:06,0,1408,9,0,8,3376,25,0,0,0,0,0,84,70,0,0,32,4,0,0,470,3941,2,0,0,9,261,0,0
2025-07-18 13:03:06,61,2397,6,0,7,6490,0,0,4,0,0,0,107,78,0,0,37,7,0,16,184,6843,1,0,0,6,763,0,0
2025-07-18 13:33:14,163,760,4,0,1,850,43,2,1,0,0,0,267,220,4,3,21,12,0,25,460,1133,3,0,0,4,220,18,0
2025-07-19 05:05:47,167,859,1,0,0,961,4,3,0,0,0,0,106,92,0,0,6,2,0,1,0,1758,0,0,0,1,100,4,0
2025-07-19 05:35:46,2,2,0,0,1,7,4285,0,0,0,0,0,105,67,0,0,3,2,0,4,0,5905,0,0,0,0,363,0,0
2025-07-19 06:09:34,153,166,0,0,0,186,4296,0,0,0,0,0,62,36,0,0,15,2,0,3,0,4710,0,1,0,0,411,0,0
2025-07-19 06:39:34,1,0,0,0,13,0,29,108,0,0,0,0,481,455,0,0,50,0,0,5,0,258,0,0,0,0,132,27,0
2025-07-19 07:09:34,4,4,0,6,4,4,2382,0,0,0,0,0,173,154,0,0,7,0,0,0,0,2521,0,0,0,0,306,0,0
2025-07-19 07:39:34,6,104,2,0,0,134,4514,0,11,0,0,0,138,109,0,0,15,4,0,12,91,4931,0,0,0,2,615,0,0
2025-07-19 08:09:34,79,119,0,0,0,132,2913,2,9,0,0,0,153,130,0,0,21,0,0,5,0,3326,0,0,0,0,427,0,0
2025-07-19 08:39:34,59,1330,1,0,0,1669,453,5,0,0,0,0,203,156,0,0,15,2,0,0,1014,2282,4,0,0,1,223,0,0
2025-07-19 09:09:35,345,559,3,0,0,608,523,5,2,0,0,0,184,141,17,1,26,6,0,1,140,1260,1,0,0,3,145,0,0
2025-07-19 14:25:24,26,31,2,0,1,34,560,7,2,0,0,0,316,277,113,0,22,6,0,7,0,993,0,0,0,2,389,10,0
2025-07-19 14:55:24,913,1329,0,0,2,1496,592,1,17,0,0,0,187,146,41,0,2,0,0,8,0,2653,0,0,0,0,289,1,0
2025-07-19 15:25:24,94,107,2,0,5,111,2974,0,0,0,0,0,175,156,0,0,19,4,0,2,0,4050,0,0,0,2,343,0,0
2025-07-19 16:08:03,859,2730,3,0,3,6197,1215,1,0,0,0,0,196,156,0,0,24,6,0,7,0,7954,0,1,0,3,829,0,0
2025-07-19 16:38:04,22,15,4,0,2,16,73,8,0,0,0,0,459,433,0,0,40,8,0,3,0,408,0,0,0,4,307,51,0
2025-07-19 17:08:03,6,3,6,0,0,3,3,0,0,0,0,0,156,144,0,0,20,12,0,9,0,55,0,0,0,6,259,3,0
2025-07-19 17:44:36,0,0,0,0,0,0,0,0,0,0,0,0,67,64,0,0,2,2,0,0,0,0,0,1,0,0,2,0,0
2025-07-20 06:11:45,72,77,1,0,4,77,805,3,0,0,0,0,165,151,0,0,12,2,0,0,0,1056,0,0,0,1,184,0,0
2025-07-20 06:41:45,580,930,3,0,27,1002,540,9,4,0,0,0,340,325,0,0,50,4,0,16,268,1835,1,0,0,3,192,0,0
2025-07-20 07:11:45,80,82,0,0,9,88,872,0,0,0,0,0,311,283,0,0,28,0,0,5,0,1055,0,0,0,0,165,0,0
2025-07-20 07:41:45,107,543,0,0,0,901,750,1,0,0,0,0,298,226,0,0,22,2,0,7,0,2190,0,0,0,0,387,4,0
2025-07-20 08:11:45,47,48,0,2,0,62,540,1,0,0,0,0,410,365,0,0,76,0,0,4,0,734,0,0,0,0,326,11,0
2025-07-20 08:41:45,72,156,0,0,0,193,540,9,0,0,0,0,259,217,0,0,39,0,0,6,0,945,0,0,0,0,345,8,0
2025-07-20 09:11:45,29,32,2,0,0,43,555,5,0,0,0,0,339,301,0,0,46,4,0,1,0,843,0,0,0,2,305,2,0
2025-07-20 09:41:45,62,63,0,0,0,82,732,2,0,0,0,0,188,151,0,0,12,0,0,0,0,1066,0,0,0,0,286,26,0
2025-07-20 10:11:45,90,92,0,0,0,121,969,4,0,0,0,0,300,268,0,0,32,0,0,2,0,1270,0,0,0,0,365,21,0
2025-07-20 10:41:45,73,70,0,0,0,81,1005,6,0,0,0,0,238,209,0,0,30,3,0,9,0,1297,0,0,0,0,432,36,0
2025-07-20 11:32:48,58,51,0,5,0,74,138,37,22,0,0,0,442,354,1,0,56,2,0,3,0,365,0,1,0,0,263,25,0
2025-07-20 13:00:42,4,4,0,0,1,17,9,0,0,0,0,0,61,56,0,0,10,7,0,0,0,67,0,0,0,0,103,0,0
2025-07-20 13:30:42,25,25,0,0,7,59,711,1,0,0,0,0,184,161,0,0,20,0,0,0,0,882,0,0,0,0,195,41,0
2025-07-20 14:00:42,272,347,0,0,1,389,1146,0,0,0,0,0,225,206,0,0,33,0,0,0,0,1698,0,0,0,0,248,0,0
2025-07-20 14:30:42,172,233,0,0,0,284,637,0,0,0,0,0,248,211,0,0,35,0,0,5,0,1037,0,0,0,0,258,0,0
