record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-18 13:00:54,0,28394,7,0,0,29183,2,2,1,0,0,0,61,42,0,0,31,6,0,0,0,33141,0,0,0,7,56,2,0
2025-07-18 13:31:03,0,33999,0,0,0,35051,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,38929,0,0,0,0,0,0,0
2025-07-18 14:01:03,0,33845,0,0,0,34846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39241,0,0,0,0,0,0,0
2025-07-18 14:31:03,0,32974,0,0,0,34467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38420,0,0,0,0,0,0,0
2025-07-18 15:01:03,0,33939,0,0,0,34915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38346,0,0,0,0,0,0,0
2025-07-18 15:31:03,0,33003,0,0,0,34364,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,37891,0,0,0,0,0,0,0
2025-07-18 16:01:03,0,34205,0,0,0,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38459,0,0,0,0,0,0,0
2025-07-18 16:31:03,0,33815,0,0,0,34857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37983,0,0,0,0,0,0,0
2025-07-18 17:01:03,0,33412,0,0,0,34702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38492,0,0,0,0,0,0,0
2025-07-18 17:31:03,0,34196,0,0,0,35073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37589,0,0,0,0,0,0,0
2025-07-18 18:01:03,0,33735,0,0,0,34739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37356,0,0,0,0,0,0,0
2025-07-18 18:31:03,0,33582,0,0,0,34854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38397,0,0,0,0,0,0,0
2025-07-18 19:01:03,0,33055,0,0,0,34425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37917,0,0,0,0,0,0,0
2025-07-18 19:31:24,0,34413,0,0,0,35278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38320,0,0,0,0,0,0,0
2025-07-18 20:01:24,0,34129,0,0,0,34924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37880,0,0,0,0,0,0,0
2025-07-18 20:31:24,0,34033,0,0,0,34883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38427,0,0,0,0,0,0,0
2025-07-18 21:01:24,1,31948,1,0,0,32914,0,0,0,0,0,0,23,15,0,0,9,0,0,1,0,36523,0,0,0,1,5,0,0
2025-07-18 21:31:24,0,33828,0,0,0,34693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38082,0,0,0,0,0,0,0
2025-07-18 22:01:24,0,33628,0,0,0,34499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37153,0,0,0,0,0,0,0
2025-07-18 22:31:24,0,33056,0,0,0,34289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37755,0,0,0,0,0,0,0
2025-07-18 23:01:24,0,33693,0,0,0,34587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37645,0,0,0,0,0,0,0
2025-07-18 23:31:24,0,33333,0,0,1,34320,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,39320,0,0,0,0,11,0,0
2025-07-19 00:01:24,0,33175,0,0,0,34204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38635,0,0,0,0,0,0,0
2025-07-19 00:31:24,0,33415,0,0,0,34382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38814,0,0,0,0,0,0,0
2025-07-19 01:01:24,0,33971,0,0,0,34759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37768,0,0,0,0,0,0,0
2025-07-19 01:31:24,0,33388,0,0,0,34312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37099,0,0,0,0,0,0,0
2025-07-19 02:01:24,0,33178,0,0,0,34334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37557,0,0,0,0,0,0,0
2025-07-19 02:31:24,0,33560,0,0,0,34451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37758,0,0,0,0,0,0,0
2025-07-19 03:01:24,0,33656,0,0,0,34603,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,38123,0,0,0,0,0,0,0
2025-07-19 03:31:24,0,33562,0,0,0,34460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38189,0,0,0,0,0,0,0
2025-07-19 04:01:24,0,33766,0,0,0,34571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37499,0,0,0,0,0,0,0
2025-07-19 04:31:24,0,32883,0,0,0,33594,0,0,0,0,0,0,16,13,0,0,2,0,0,0,0,37681,0,0,0,0,28,0,0
2025-07-19 05:01:25,0,33605,0,0,0,34379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37538,0,0,0,0,0,0,0
2025-07-19 05:31:24,0,33817,0,0,0,34693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37062,0,0,0,0,0,0,0
2025-07-19 06:01:24,0,32956,0,0,0,34052,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38538,0,0,0,0,15,0,0
2025-07-19 06:31:24,0,33880,0,0,0,34681,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,39894,0,0,0,0,18,0,0
2025-07-19 07:01:24,0,33775,0,0,0,34506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40041,0,0,0,0,2,0,0
2025-07-19 07:31:24,0,34158,0,0,0,34841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40181,0,0,0,0,0,0,0
2025-07-19 08:01:24,0,34091,0,0,0,34898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38835,0,0,0,0,0,0,0
2025-07-19 08:31:24,0,33438,0,0,0,34424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38273,0,0,0,0,0,0,0
2025-07-19 09:01:24,0,33803,0,0,0,34662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39004,0,0,0,0,0,0,0
2025-07-19 09:31:24,0,33987,0,0,0,34796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38794,0,0,0,0,0,0,0
2025-07-19 10:01:24,0,33818,0,0,0,34644,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40597,0,0,0,0,7,0,0
2025-07-19 10:31:24,0,32860,0,0,0,34011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39357,0,0,0,0,0,0,0
2025-07-19 11:01:24,0,33985,0,0,0,34786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39381,0,0,0,0,0,0,0
2025-07-19 11:31:24,0,33732,0,0,0,34571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40578,0,0,0,0,0,0,0
2025-07-19 12:01:24,0,33800,0,0,0,34583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39815,0,0,0,0,0,0,0
2025-07-19 12:31:24,0,33099,0,0,0,34123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38417,0,0,0,0,0,0,0
2025-07-19 13:01:25,0,32992,0,0,0,34262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38612,0,0,0,0,0,0,0
2025-07-19 13:31:24,0,32778,0,0,0,34020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38958,0,0,0,0,0,0,0
2025-07-19 14:01:24,0,33768,0,0,0,34621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38571,0,0,0,0,0,0,0
2025-07-19 14:31:24,0,32788,0,0,0,34014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39064,0,0,0,0,0,0,0
2025-07-19 15:01:24,0,32994,0,0,0,34202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39275,0,0,0,0,0,0,0
2025-07-19 15:31:24,0,34013,0,0,0,34825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39575,0,0,0,0,0,0,0
2025-07-19 16:01:24,0,33737,0,0,0,34589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38846,0,0,0,0,0,0,0
2025-07-19 16:31:24,0,33587,0,0,0,34430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38895,0,0,0,0,0,0,0
2025-07-19 17:01:24,0,33195,0,0,0,33943,0,0,0,0,0,0,9,9,0,0,4,0,0,0,0,39701,0,0,0,0,0,0,0
2025-07-19 17:31:24,0,32622,0,0,0,33399,0,0,0,0,0,0,51,49,0,0,3,0,0,0,0,38280,0,0,0,0,0,0,0
2025-07-19 18:01:24,0,33164,0,0,0,34278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38697,0,0,0,0,0,0,0
2025-07-19 19:08:50,0,31792,0,0,0,32935,0,0,0,0,0,0,39,35,0,0,5,2,0,0,0,38830,0,1,0,0,3,0,0
2025-07-19 19:39:05,0,33522,0,0,0,34411,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,39707,0,0,0,0,0,0,0
2025-07-19 20:09:05,0,33468,0,0,0,34316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38859,0,0,0,0,0,0,0
2025-07-19 20:39:05,0,33732,0,0,0,34558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39417,0,0,0,0,0,0,0
2025-07-19 21:09:05,0,32836,0,0,0,34128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39499,0,0,0,0,0,0,0
2025-07-19 21:39:05,0,33822,0,0,0,34690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39702,0,0,0,0,0,0,0
2025-07-19 22:09:05,0,33742,0,0,0,34605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39448,0,0,0,0,0,0,0
2025-07-19 22:39:05,0,32623,0,0,0,34011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39637,0,0,0,0,0,0,0
2025-07-19 23:09:05,0,33796,0,0,0,34604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39652,0,0,0,0,0,0,0
2025-07-20 00:09:00,0,33725,0,0,0,34549,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,40990,0,1,0,0,0,0,0
2025-07-20 00:39:00,0,32820,0,0,0,34121,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39277,0,0,0,0,0,0,0
2025-07-20 01:09:00,0,33839,0,0,0,34690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39485,0,0,0,0,0,0,0
2025-07-20 01:39:00,0,33173,0,0,0,34492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38994,0,0,0,0,0,0,0
2025-07-20 02:09:00,0,33123,0,0,0,34301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38806,0,0,0,0,0,0,0
2025-07-20 02:39:03,0,33679,0,0,0,34610,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,39632,0,0,0,0,0,0,0
2025-07-20 03:09:03,0,33006,0,0,0,34194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38780,0,0,0,0,0,0,0
2025-07-20 03:39:03,0,33619,0,0,0,34526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39322,0,0,0,0,0,0,0
2025-07-20 04:09:07,0,33757,0,0,0,34608,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,39425,0,0,0,0,0,0,0
2025-07-20 04:39:07,0,33965,0,0,0,34834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38888,0,0,0,0,0,0,0
2025-07-20 05:09:07,0,33848,0,0,0,34694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38474,0,0,0,0,0,0,0
