record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-22 15:10:19,3,4,40,0,4,15,2,0,0,0,0,0,29,22,0,0,16,11,0,0,0,30,0,0,0,40,58,0,0
2025-07-22 15:40:19,6,1390,8,0,11,1571,0,0,0,0,0,0,146,112,0,0,41,12,0,1,141,1702,9,0,0,8,96,0,0
2025-07-22 16:10:19,2,1747,8,0,2,1898,0,0,0,0,0,0,47,29,0,0,17,10,0,1,70,2122,3,0,0,8,131,0,0
2025-07-22 16:40:23,1,1894,6,0,6,2047,2,11,15,0,0,0,44,27,0,0,13,10,1,1,0,2282,0,0,1,6,71,2,0
2025-07-22 17:40:23,14,2376,10,0,0,2476,3,28,0,0,0,0,70,48,0,0,18,18,0,9,29,2859,1,0,0,10,148,3,0
2025-07-22 18:10:23,2,5606,9,0,3,5931,0,0,2,0,0,0,87,67,0,0,30,10,0,1,181,6687,12,0,0,9,205,0,0
2025-07-22 18:40:23,12,1175,10,0,0,2154,0,0,1,0,0,0,143,112,0,0,29,4,0,10,422,3229,10,0,0,10,216,0,0
2025-07-22 19:10:23,4,1696,6,0,1,2823,0,0,1,0,0,0,55,42,0,0,14,0,0,9,732,3886,24,0,0,6,218,0,0
2025-07-22 19:40:23,2,1582,4,0,2,2391,0,0,0,0,0,0,43,30,0,0,8,0,0,2,496,3455,6,0,0,4,243,0,0
2025-07-22 20:10:23,0,1014,7,0,2,1181,0,0,1,0,0,0,78,57,0,0,24,6,0,5,641,1245,7,0,0,7,96,0,0
2025-07-23 05:10:26,3,2648,8,0,0,2914,0,0,0,0,0,0,50,36,0,0,15,4,0,0,99,3480,0,0,0,8,92,0,0
2025-07-23 05:40:26,2,620,5,0,1,581,0,0,0,0,0,0,158,147,0,0,13,4,0,3,363,627,3,0,0,5,48,0,0
2025-07-23 06:44:54,1,0,3,0,0,1,0,0,1,0,0,0,18,8,0,0,10,8,0,2,0,8,0,1,0,3,44,0,0
2025-07-23 08:14:54,2,315,4,0,2,358,0,0,0,0,0,0,91,79,0,0,8,6,0,0,213,430,2,0,0,4,69,0,0
2025-07-23 08:44:54,0,2144,4,0,2,5080,0,0,0,0,0,0,84,72,0,0,20,3,0,1,292,6989,1,0,0,4,472,0,0
2025-07-23 09:14:54,6,398,10,0,5,412,8,0,6,0,0,0,59,45,0,0,20,12,0,0,234,488,2,0,0,10,67,0,0
2025-07-23 14:11:14,2,1,3,0,7,1,1,0,1,0,0,0,116,81,0,0,29,9,0,2,0,14,0,0,0,3,13,0,0
2025-07-23 14:41:14,5,357,9,0,5,449,0,0,0,0,0,0,85,61,0,0,24,12,0,8,203,828,3,0,0,9,91,0,0
2025-07-23 15:23:10,7,60,0,0,2,64,0,0,1,0,0,0,35,15,0,0,8,2,0,43,0,126,0,1,0,0,52,0,0
