record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-09 12:50:10,37,3,17,0,3,18,491,0,95,1,0,0,235,159,0,0,46,27,0,0,0,1017,1,1,0,17,298,1,0
2025-07-09 13:20:10,3,3,1,0,0,5,3830,0,0,0,0,0,65,27,0,0,14,4,0,0,0,4484,0,0,0,1,196,0,0
2025-07-09 13:50:10,8,77,7,0,2,91,3289,0,0,0,0,0,97,55,0,0,35,11,0,0,43,4100,0,0,0,7,232,0,0
2025-07-09 14:20:10,4,1449,2,0,1,1591,2921,0,0,0,0,0,70,36,0,0,19,6,0,0,0,5246,0,0,0,2,354,0,0
2025-07-09 14:50:10,7,36,3,0,0,41,4538,0,0,0,0,0,39,18,0,0,10,6,0,2,22,5170,0,0,0,3,245,0,0
2025-07-09 15:20:10,0,5107,16,0,3,5505,0,0,1,0,0,0,134,76,0,0,49,20,0,0,75,6906,0,0,0,16,559,0,0
2025-07-09 15:50:10,3,17978,9,0,1,19000,0,0,0,0,0,0,74,38,0,0,34,10,0,2,3,22397,0,0,0,9,1531,0,0
2025-07-10 11:20:05,0,19250,7,0,0,21332,447,0,0,0,0,0,40,19,0,0,10,6,0,0,0,24665,0,1,0,7,1326,0,0
2025-07-10 11:50:05,0,9415,8,0,0,11028,0,0,0,0,0,0,42,33,0,0,22,5,0,0,0,12111,0,0,0,8,688,0,0
2025-07-10 12:20:05,0,25083,4,0,0,27068,0,0,0,0,0,0,56,34,0,0,18,6,0,0,0,32176,0,0,0,4,1845,0,0
2025-07-10 12:50:10,0,18053,7,0,0,18648,0,0,0,0,0,0,40,24,0,0,17,8,0,0,0,21897,0,0,0,7,1122,0,0
2025-07-10 13:20:14,2,21879,8,0,0,23416,0,0,0,0,0,0,8,0,0,0,1,9,0,0,0,28605,0,0,0,8,1340,0,0
2025-07-11 12:42:58,4,7347,5,0,0,7785,2340,0,0,0,0,0,89,56,0,0,31,10,0,0,0,12602,0,0,0,5,611,0,0
2025-07-11 13:13:02,3,11694,2,0,0,12889,0,0,0,0,0,0,37,25,0,0,14,6,0,0,0,15217,0,0,0,2,778,0,0
2025-07-11 15:02:30,0,11735,10,0,0,12678,0,0,0,0,0,0,83,38,0,0,36,11,0,1,134,15541,1,0,0,10,753,0,0
2025-07-11 15:34:23,1,27162,2,0,0,29532,0,0,1,0,0,0,36,22,0,0,10,4,0,0,0,34544,0,0,0,2,1681,0,0
2025-07-12 10:51:58,0,0,2,0,0,0,2054,0,0,0,0,0,30,18,0,0,8,6,0,0,0,2230,0,0,0,2,91,0,0
2025-07-12 11:55:50,0,23624,0,0,0,25865,0,0,0,0,0,0,15,2,0,0,2,2,0,0,0,29732,0,0,0,0,1451,0,0
2025-07-13 02:15:27,0,27192,0,0,0,30070,0,0,0,0,0,0,24,3,0,0,3,2,0,0,0,30781,0,0,0,0,1681,0,0
2025-07-13 02:45:39,16,18987,1,0,2,20489,14,0,0,0,0,0,53,29,0,0,9,14,0,8,0,22235,0,0,0,1,1184,0,0
