record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-11 02:57:42,36,34,0,0,0,37,1,4,0,0,0,0,14,9,0,0,0,2,0,0,0,47,0,1,0,0,16,0,0
2025-07-11 03:27:42,166,174,6,0,0,228,205,5,0,0,0,0,54,37,0,0,6,14,0,8,0,495,0,0,0,6,205,4,0
2025-07-11 03:57:42,112,129,0,0,1,176,144,1,0,0,0,0,91,57,0,0,3,0,0,0,0,445,0,0,0,0,203,7,0
2025-07-11 08:27:59,181,180,0,1,0,212,165,50,0,0,0,0,97,57,0,0,1,2,0,6,0,621,0,0,0,0,179,3,0
2025-07-11 08:57:59,58,203,6,0,0,259,0,1,0,0,0,0,55,40,0,0,21,2,0,0,95,475,7,0,0,6,174,0,0
2025-07-11 09:27:59,4,6552,4,0,0,7112,0,0,0,0,0,0,48,29,0,0,18,4,0,1,135,8838,5,0,0,4,192,0,0
2025-07-13 02:12:53,57,82,0,0,0,112,0,0,0,0,0,0,11,6,0,0,3,2,0,0,6,123,0,0,0,0,8,0,0
2025-07-13 03:36:13,31,54,0,0,0,72,3,0,0,0,0,0,4,0,0,0,0,8,0,0,2,85,0,1,0,0,0,0,0
2025-07-13 04:06:14,96,146,0,0,0,182,17,2,0,0,0,3,17,12,0,0,1,0,0,3,16,223,1,0,0,0,18,0,0
2025-07-13 05:43:52,113,156,0,0,0,185,237,7,0,0,0,1,18,8,0,0,0,2,0,1,10,461,1,1,0,0,69,0,0
2025-07-13 06:13:55,148,198,0,0,0,234,110,1,0,0,0,3,72,56,4,2,8,0,0,1,16,483,1,0,0,0,78,0,0
2025-07-13 06:43:58,174,949,2,0,0,1166,19,0,0,0,0,0,8,0,0,0,1,16,1,0,0,2010,0,0,1,2,121,0,0
2025-07-13 07:13:58,99,211,0,0,0,223,63,2,0,0,0,1,17,13,0,0,1,0,0,0,7,509,0,0,0,0,51,2,0
2025-07-13 08:13:58,44,132,0,0,0,107,145,90,0,0,0,1,44,29,0,0,0,0,0,0,10,437,1,0,0,0,115,0,0
2025-07-14 04:32:51,3,131,1,0,0,57,31,0,0,0,0,0,10,6,0,0,2,4,0,0,13,238,0,0,0,1,24,0,0
