record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-09 14:54:32,6,10959,14,0,0,12202,2,9,0,0,0,0,145,85,0,0,49,15,0,0,0,14295,0,0,0,14,372,2,0
2025-07-09 15:24:32,139,8405,11,0,1,9489,2,0,4,0,0,0,124,75,0,0,61,18,0,0,0,11019,0,0,0,11,337,0,0
2025-07-09 15:54:32,138,488,5,0,0,796,0,0,0,0,0,0,129,79,0,0,31,12,0,0,397,909,18,0,0,5,71,0,0
2025-07-09 16:24:32,1,8255,9,0,0,9098,0,0,1,0,0,0,59,38,0,0,22,5,0,1,273,10646,5,0,0,9,346,0,0
2025-07-09 16:54:32,0,3163,0,0,0,3306,0,0,0,0,0,0,20,14,0,0,4,0,0,0,0,4046,0,0,0,0,105,0,0
2025-07-09 19:24:32,0,180,1,0,0,272,0,0,0,0,0,0,11,6,0,0,2,0,0,0,163,283,2,0,0,1,9,0,0
2025-07-09 19:54:32,0,620,1,0,0,849,0,0,0,0,0,0,32,17,0,0,1,0,0,0,361,884,4,0,0,1,20,0,0
2025-07-10 07:58:09,3,1798,3,0,0,1997,3,0,1,0,0,0,64,57,0,0,12,5,0,1,159,2462,1,0,0,3,73,0,0
2025-07-10 10:28:27,0,1326,0,0,0,1337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1769,0,0,0,0,47,0,0
2025-07-10 10:58:59,0,5808,0,0,0,5879,0,0,0,0,0,0,5,0,0,0,1,4,0,0,0,7580,0,0,0,0,158,0,0
2025-07-10 16:39:12,3,1030,0,0,0,1285,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1335,0,0,0,0,40,0,0
