record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-11 15:46:43,15,1313,31,0,0,1500,1,0,3,0,0,0,119,101,0,0,62,11,0,0,0,1695,0,0,0,31,114,0,34
2025-08-11 16:16:43,29,2,4,0,0,6,199,6,0,0,0,0,141,102,0,0,53,6,0,2,0,232,0,0,0,4,42,0,274
2025-08-11 16:46:49,84,4044,5,0,1,4313,397,5,0,0,0,8,149,95,0,0,46,10,0,0,0,5069,0,0,0,5,226,0,0
2025-08-11 17:16:48,164,1044,3,0,0,1137,0,0,0,0,0,1,161,133,0,0,47,6,0,4,58,1283,5,0,0,3,67,0,318
2025-08-11 17:46:48,466,1235,2,0,0,1347,7,0,0,0,0,0,66,32,0,0,20,2,0,3,83,1476,4,0,0,2,43,0,358
2025-08-11 18:16:48,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1494
2025-08-11 18:46:48,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-11 21:16:48,90,5555,1,0,0,5841,0,0,0,0,0,0,47,36,0,0,5,2,0,0,0,6445,0,0,0,1,166,0,0
2025-08-11 21:46:48,324,2212,1,0,1,2309,38,2,0,0,0,1,138,121,0,0,24,3,0,0,1,2884,1,0,0,1,82,0,392
2025-08-11 22:16:51,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-11 22:46:51,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-11 23:16:51,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-12 00:16:51,227,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,1,5,0,906
2025-08-12 09:46:51,79,0,2,0,0,0,0,0,0,0,0,0,48,32,0,0,12,4,0,1,0,72,0,0,0,2,15,0,0
2025-08-12 10:17:04,40,3301,8,0,15,3451,103,1,1,0,0,0,110,77,2,0,29,13,0,1,38,4067,2,1,0,8,198,0,0
2025-08-12 10:59:44,4,3449,6,0,9,3649,6,0,3,0,0,0,554,426,0,0,50,12,0,3,162,4487,5,1,0,6,208,0,0
2025-08-12 11:29:44,88,3550,3,0,4,3720,18,1,5,0,0,3,102,68,0,0,32,6,0,2,3,4369,1,0,0,3,263,0,327
2025-08-12 12:29:44,0,1745,2,0,7,1895,0,0,2,0,0,0,19,5,0,0,7,0,0,0,52,2311,1,0,0,2,99,0,0
2025-08-12 12:59:44,14,235,8,0,19,293,0,0,0,0,0,0,38,12,0,0,18,6,0,3,210,1028,3,0,0,8,68,0,0
2025-08-12 13:29:44,45,3342,3,0,12,3690,4,0,0,0,0,0,38,22,0,0,9,4,0,5,0,4303,0,0,0,3,154,0,437
2025-08-12 13:59:44,4,0,2,0,5,1,0,0,0,0,0,0,9,0,0,0,3,2,0,2,0,7,0,0,0,2,24,0,109
2025-08-12 14:29:49,112,3357,1,0,7,3824,959,8,5,0,0,3,113,76,0,0,25,5,0,4,8,5629,1,0,0,1,285,8,0
2025-08-12 14:59:49,95,120,2,0,1,126,65,1,0,0,0,3,103,74,0,0,18,6,0,2,9,430,0,0,0,2,71,16,309
2025-08-12 15:29:49,80,50,0,0,3,88,495,1,0,0,0,0,101,82,0,0,23,0,0,6,1,768,0,0,0,0,146,3,0
2025-08-12 15:59:49,1,1297,12,0,1,1759,2,0,10,1,0,0,106,60,0,0,32,24,0,0,0,2232,1,0,0,12,254,0,121
2025-08-12 16:29:49,110,162,0,0,2,210,294,0,0,0,0,0,115,97,0,0,15,0,0,0,4,670,2,0,0,0,106,5,0
2025-08-12 17:09:11,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1483
2025-08-12 17:39:11,0,0,0,0,0,0,0,0,0,0,0,0,18,17,0,0,5,0,0,0,0,17,0,0,0,0,6,0,943
2025-08-12 20:37:59,117,216,0,0,0,392,216,0,0,0,0,0,10,6,0,0,2,2,0,0,0,910,0,1,0,0,26,0,1190
2025-08-12 23:37:59,38,96,0,0,5,149,75,0,0,0,0,0,24,22,0,0,12,0,0,0,0,331,0,0,0,0,9,0,610
2025-08-13 05:53:47,32,241,4,0,9,332,96,0,2,0,0,0,82,69,4,0,46,9,0,9,0,600,0,0,0,4,256,0,320
2025-08-13 06:23:53,5,681,2,0,17,876,2,0,0,0,0,0,81,29,0,0,15,2,0,1,576,966,21,0,0,2,117,0,0
2025-08-13 06:53:53,2,754,6,0,1,940,12,1,0,0,0,0,58,26,0,0,14,6,0,3,52,1328,1,0,0,6,271,0,0
2025-08-13 07:23:53,84,135,5,0,0,177,1801,0,0,0,0,0,76,65,0,0,30,4,0,5,9,2473,0,0,0,5,241,0,307
2025-08-13 08:23:53,146,304,2,0,1,534,793,0,0,0,0,0,72,56,1,0,24,4,0,0,2,1567,0,0,0,2,237,0,0
2025-08-13 08:53:53,12,24,0,0,0,43,31,0,0,0,0,0,5,3,0,0,0,0,0,0,0,112,0,0,0,0,38,0,1385
2025-08-13 09:23:53,20,54,0,0,1,79,183,1,0,0,0,1,177,146,6,1,27,0,0,6,2,331,0,0,0,0,80,24,0
2025-08-13 09:53:53,19,598,35,0,11,695,160,5,0,0,0,0,132,99,0,0,41,26,1,2,318,1020,4,0,1,35,207,0,0
