record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-09 12:31:23,0,1742,14,0,0,1907,1,1,3,0,0,0,77,45,0,0,69,14,0,0,410,2365,7,1,0,14,114,1,0
2025-07-09 13:01:32,0,5435,5,0,0,5662,0,0,0,0,0,0,73,52,0,0,19,0,0,0,552,6727,6,0,0,5,143,0,0
2025-07-09 13:31:32,0,8548,11,0,0,8996,0,0,0,0,0,0,105,74,0,0,40,3,0,0,780,10277,6,0,0,11,280,0,0
2025-07-09 14:01:32,0,3057,8,0,0,3317,0,0,0,0,0,0,84,60,0,0,31,8,0,1,636,3748,4,0,0,8,98,0,0
2025-07-09 14:31:32,0,545,0,0,0,566,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,656,0,0,0,0,17,0,0
2025-07-09 15:31:32,0,2076,1,0,0,2211,0,0,0,0,0,0,17,9,0,0,7,4,0,0,351,2473,2,0,0,1,71,0,0
2025-07-09 16:01:32,1,11006,3,0,0,11262,0,0,0,0,0,0,36,9,0,0,12,0,0,1,169,12695,1,0,0,3,252,0,0
2025-07-10 10:01:55,3,3342,7,0,0,3547,1,0,0,0,0,0,122,84,0,0,22,4,0,21,603,4122,2,0,0,7,111,0,0
2025-07-11 03:46:19,63,1564,8,0,0,1828,9,9,0,0,0,0,127,93,0,0,28,10,0,1,440,2272,4,0,0,8,129,2,0
2025-07-11 04:16:20,334,510,5,0,0,579,8,2,0,0,0,0,123,95,0,0,26,8,0,0,0,927,0,0,0,5,76,3,0
2025-07-11 04:46:20,725,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
2025-07-11 05:16:19,321,1121,5,0,0,1323,1,0,0,0,0,0,42,30,0,0,13,4,0,0,169,1507,0,0,0,5,54,0,0
2025-07-11 05:46:19,410,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2025-07-11 06:16:19,59,4076,6,0,0,4395,0,0,0,0,0,0,34,24,0,0,17,2,0,0,270,4872,2,0,0,6,145,0,0
2025-07-11 06:46:19,126,4567,4,0,0,4872,0,0,0,0,0,0,121,114,0,0,9,2,0,0,25,6290,1,0,0,4,104,0,0
