record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-26 06:28:48,10,1212,34,0,0,1320,1,0,0,0,0,0,106,74,0,0,53,7,0,2,181,1636,10,0,0,34,151,0,0
2025-07-26 06:58:48,34,3696,3,0,0,3904,3,0,0,0,0,0,214,178,0,0,30,2,0,3,397,4801,11,0,0,3,235,0,0
2025-07-26 07:28:48,1,1178,2,0,0,1668,0,0,0,0,0,0,91,69,0,0,11,0,0,0,999,1800,12,0,0,2,90,0,0
2025-07-26 07:58:48,0,12822,1,0,0,13064,0,0,0,0,0,0,86,68,0,0,13,0,0,0,154,16163,2,0,0,1,435,0,0
2025-07-26 08:28:48,0,22514,0,0,1,23182,0,0,0,0,0,0,42,3,0,0,15,0,0,0,0,31252,0,0,0,0,755,0,0
2025-07-26 08:58:48,4,7699,1,0,0,8634,0,0,0,0,0,0,67,39,0,0,13,0,0,4,539,12474,3,0,0,1,358,0,0
2025-07-26 09:28:48,37,794,3,0,2,1056,60,9,0,0,0,0,133,82,0,0,21,6,0,1,665,1333,4,0,0,3,136,3,0
2025-07-26 09:58:48,89,503,6,0,0,709,88,18,0,0,0,0,180,76,32,4,33,10,0,5,402,1037,2,0,0,6,158,10,0
2025-07-26 10:28:48,0,803,1,0,0,1118,0,0,10,0,0,0,37,27,0,0,6,0,0,0,698,1240,3,0,0,1,46,0,211
2025-07-26 10:58:48,0,257,1,0,0,355,0,0,0,0,0,0,22,6,0,0,3,0,0,0,221,361,1,0,0,1,22,0,0
2025-07-26 11:28:48,2,14795,3,0,1,16083,0,0,0,0,0,0,54,20,0,0,18,8,0,2,77,23189,0,0,0,3,579,0,0
2025-07-26 11:58:48,0,23740,0,0,0,25563,0,0,0,0,0,0,101,83,0,0,11,0,0,0,0,32596,0,0,0,0,798,0,0
2025-07-26 12:28:50,0,20141,5,0,0,23055,0,0,0,0,0,0,40,5,0,0,18,0,0,0,0,28676,0,0,0,5,740,0,0
2025-07-26 12:58:55,1,13970,8,0,0,14956,0,0,0,0,0,0,194,165,0,0,31,4,0,3,797,17190,4,0,0,8,1022,0,0
2025-07-26 13:28:55,0,722,2,0,0,928,0,0,9,0,0,0,24,13,0,0,3,0,0,0,587,972,2,0,0,2,55,0,405
2025-07-26 13:58:55,10,444,5,0,0,555,0,0,0,0,0,0,54,36,0,0,27,5,0,3,372,667,1,0,0,5,84,0,488
2025-07-26 14:28:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825
2025-07-26 14:58:55,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,283
2025-07-26 15:28:55,0,1188,5,0,0,1473,0,0,0,0,0,0,27,16,0,0,14,13,0,0,923,1534,4,0,0,5,100,0,0
2025-07-26 16:19:22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,1452
2025-07-27 03:21:30,0,891,6,0,1,1220,0,0,0,0,0,0,85,53,0,0,36,14,0,0,785,1256,2,0,0,6,100,0,0
2025-07-27 03:51:30,30,91,7,0,0,128,71,4,16,1,0,0,147,100,17,10,25,14,1,0,40,313,0,0,1,7,146,5,58
2025-07-27 04:21:30,5,10,7,0,0,37,0,0,0,0,0,0,66,37,0,0,23,6,0,0,30,196,1,0,0,7,103,0,501
2025-07-27 04:51:30,0,1374,5,0,1,1860,5,2,0,0,0,0,46,22,0,0,12,8,0,0,1180,1879,6,0,0,5,11,4,0
2025-07-27 05:21:30,0,2168,0,0,2,2654,0,0,0,0,0,0,24,1,0,0,5,0,0,0,1676,2699,8,0,0,0,123,0,0
2025-07-27 05:51:30,0,4937,12,0,0,5281,0,0,51,1,0,0,105,71,0,0,39,14,1,0,571,6239,3,0,1,12,442,0,0
2025-07-27 06:21:30,0,3270,0,0,0,3789,0,0,0,0,0,0,34,0,0,0,3,0,0,0,2291,3830,10,0,0,0,200,0,0
2025-07-27 06:51:30,0,2558,0,0,0,2924,0,0,0,0,0,0,34,1,0,0,5,0,0,0,1753,2969,7,0,0,0,124,0,0
2025-07-27 07:21:30,0,54,0,0,0,64,0,0,0,0,0,0,3,0,0,0,1,0,0,0,41,69,0,0,0,0,6,0,185
2025-07-27 07:51:30,0,403,0,0,0,474,0,0,0,0,0,0,4,0,0,0,1,0,0,0,294,483,1,0,0,0,28,0,837
2025-07-27 08:21:30,1,11335,1,0,2,12412,0,0,0,0,0,0,93,34,0,0,26,0,0,2,564,15484,2,0,0,1,814,0,0
2025-07-27 08:51:30,0,25659,0,0,1,28089,0,0,0,0,0,0,71,6,0,0,34,0,0,0,0,32931,0,0,0,0,1885,0,0
2025-07-27 09:21:30,0,17310,1,0,0,19513,0,0,0,0,0,0,58,33,0,0,17,0,0,0,800,21852,2,0,0,1,1196,0,0
