record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-01 19:33:51,31,36127,12,0,1,38040,0,0,0,0,0,0,134,74,0,0,46,26,0,9,1695,50872,4,0,0,12,918,0,0
2025-07-01 20:33:51,0,14986,0,0,0,20703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51980,0,0,0,0,0,0,0
2025-07-01 21:33:51,0,13804,0,0,0,20804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53398,0,0,0,0,0,0,0
2025-07-01 22:35:18,0,13202,0,0,0,21664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56466,0,0,0,0,0,0,0
2025-07-01 23:40:27,0,13221,0,0,0,20459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57167,0,0,0,0,0,0,0
2025-07-02 00:48:26,0,13417,0,0,0,17718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59416,0,0,0,0,0,0,0
2025-07-10 07:44:28,0,13499,6,0,0,13856,2,2,0,0,0,0,126,73,0,0,68,8,0,9,168,16246,1,1,0,6,504,0,0
2025-07-10 08:14:47,0,21993,7,0,1,22625,2,2,0,0,0,0,145,81,0,0,34,12,0,0,7,26059,0,0,0,7,854,1,0
2025-07-10 08:44:47,0,27818,3,0,0,28650,0,0,0,0,0,0,79,23,0,0,15,4,0,0,1,34105,0,0,0,3,751,0,0
2025-07-10 10:44:47,3,0,3,0,1,0,10,0,0,0,0,0,59,30,0,0,19,6,0,1,0,43,0,0,0,3,73,1,0
2025-07-10 11:15:22,5,692,8,0,1,715,1,0,0,0,0,0,100,43,0,0,40,6,0,8,20,1039,0,0,0,8,115,0,0
2025-07-10 12:45:28,0,3242,2,0,0,3316,0,0,0,0,0,0,26,20,0,0,15,5,0,0,0,3886,0,0,0,2,107,0,0
2025-07-10 13:15:27,8,7011,5,0,0,7194,0,0,7,1,0,0,96,72,0,0,31,12,0,7,92,9301,1,0,0,5,196,0,0
2025-07-10 13:45:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,200,800,1,0,0,0,0,0,0
2025-07-10 14:15:35,0,17121,4,0,0,21711,0,0,0,0,0,0,52,17,0,0,11,2,0,0,23,30380,0,0,0,4,850,0,0
2025-07-10 15:37:44,0,16954,2,0,0,25179,0,0,0,0,0,0,59,34,0,0,14,4,0,0,0,39108,0,0,0,2,1335,0,0
2025-07-11 07:32:06,0,633,4,0,0,700,0,0,0,0,0,0,16,7,0,0,5,4,0,0,36,1066,1,0,0,4,36,0,0
2025-07-11 08:02:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,740,1,0,0,0,0,0,0
2025-07-11 11:57:14,3,16290,1,0,0,29090,0,0,0,0,0,0,23,14,0,0,3,2,0,0,0,48901,0,0,0,1,1819,0,0
2025-07-11 13:32:10,0,7056,9,0,0,13149,2,0,0,0,0,0,163,82,0,0,47,10,0,1,178,23119,2,0,0,9,981,0,0
2025-07-13 06:32:26,0,18972,3,0,18,20497,0,0,0,0,0,0,64,27,0,0,25,16,0,0,0,30294,0,0,0,3,561,0,0
2025-07-13 07:02:27,0,14187,1,0,22,15260,0,0,0,0,0,0,24,7,0,0,10,2,0,0,0,22035,0,0,0,1,423,0,0
2025-07-13 08:02:26,0,114,2,0,0,116,0,0,2,0,0,0,8,5,0,0,5,0,0,0,0,154,0,0,0,2,11,0,0
2025-07-13 09:32:26,0,822,1,0,0,1356,0,0,0,0,0,0,5,3,0,0,3,0,0,0,0,2462,0,0,0,1,103,0,0
2025-07-13 10:02:26,0,13119,1,0,0,13895,0,0,0,0,0,0,8,2,0,0,3,0,0,0,0,19745,0,0,0,1,200,0,0
2025-07-13 12:32:26,0,5003,2,0,0,5038,0,0,0,0,0,0,15,3,0,0,4,0,0,0,0,7130,0,0,0,2,57,0,0
