record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-08 03:44:02,6,6035,7,0,0,12682,0,0,0,0,0,0,149,141,0,0,14,12,0,16,0,14382,0,0,0,7,26,0,0
2025-08-08 04:14:03,0,6777,0,0,0,16509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24077,0,0,0,0,0,0,0
2025-08-08 04:44:03,0,6907,0,0,0,17417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24854,0,0,0,0,0,0,0
2025-08-08 05:14:05,0,6813,0,0,0,16903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24268,0,0,0,0,0,0,0
2025-08-08 05:44:05,0,6103,0,0,0,16019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23168,0,0,0,0,0,0,0
2025-08-08 06:14:05,0,5856,0,0,0,16427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23131,0,0,0,0,0,0,0
2025-08-08 06:44:10,0,6881,0,0,0,17329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24624,0,0,0,0,0,0,0
2025-08-08 07:15:10,0,7676,0,0,0,19269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27425,0,0,0,0,0,0,0
2025-08-08 07:45:10,0,7009,0,0,0,18430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25477,0,0,0,0,0,0,0
2025-08-08 08:15:10,0,6984,0,0,0,17052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24019,0,0,0,0,0,0,0
2025-08-08 08:45:30,0,6962,0,0,0,17745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24627,0,0,0,0,0,0,0
2025-08-08 09:15:30,0,7627,0,0,0,18164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25582,0,0,0,0,0,0,0
2025-08-08 09:45:33,0,9259,0,0,0,18508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25687,0,0,0,0,0,0,0
2025-08-08 10:15:36,0,8689,0,0,0,17299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24236,0,0,0,0,0,0,0
2025-08-08 10:46:24,0,7733,0,0,0,17347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24508,0,0,0,0,0,0,0
