record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-09 17:16:23,1,12317,2,0,0,19012,0,0,0,0,0,0,240,239,0,0,3,3,0,0,0,32626,1,0,0,2,556,0,0
2025-08-09 17:46:23,0,14276,0,0,0,22438,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,38481,0,0,0,0,460,0,0
2025-08-09 19:09:37,0,7087,0,0,0,10328,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16982,0,0,0,0,0,0,0
2025-08-09 19:39:37,0,6910,0,0,0,10031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16188,0,0,0,0,0,0,0
2025-08-09 20:09:37,0,8318,0,0,0,11510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18466,0,0,0,0,0,0,0
2025-08-09 20:39:37,0,6819,0,0,0,9931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16165,0,0,0,0,0,0,0
2025-08-09 21:09:37,0,7991,0,0,0,11130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18124,0,0,0,0,0,0,0
2025-08-09 21:39:37,0,7651,0,0,0,10838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17567,0,0,0,0,0,0,0
2025-08-09 22:09:37,0,7731,0,0,0,10869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17648,0,0,0,0,0,0,0
2025-08-09 22:39:37,0,8543,0,0,0,11971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18894,0,0,0,0,0,0,0
2025-08-09 23:09:37,0,9682,0,0,0,13464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20909,0,0,0,0,0,0,0
2025-08-09 23:39:37,0,8917,0,0,0,12662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19631,0,0,0,0,0,0,0
2025-08-10 00:09:37,0,8292,0,0,0,11968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18757,0,0,0,0,0,0,0
2025-08-10 00:39:37,0,9098,0,0,0,12822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19949,0,0,0,0,0,0,0
2025-08-10 01:09:37,0,9869,0,0,0,13629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20977,0,0,0,0,0,0,0
2025-08-10 01:39:37,0,8235,0,0,0,12317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19156,0,0,0,0,0,0,0
2025-08-10 18:09:11,0,8029,0,0,0,11105,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18130,0,0,0,0,0,0,0
2025-08-10 18:39:11,0,8528,0,0,0,11691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18920,0,0,0,0,0,0,0
2025-08-10 19:37:31,0,8626,0,0,0,12108,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,18749,0,1,0,0,0,0,0
2025-08-10 20:07:31,0,7583,0,0,0,11113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17036,0,0,0,0,0,0,0
2025-08-10 20:37:31,0,8363,0,0,0,11773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18142,0,0,0,0,0,0,0
2025-08-10 21:07:31,0,7918,0,0,0,11504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18024,0,0,0,0,0,0,0
2025-08-10 21:37:31,0,7848,0,0,0,11347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17756,0,0,0,0,0,0,0
2025-08-10 22:07:31,0,7414,0,0,0,11043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17394,0,0,0,0,0,0,0
2025-08-10 22:37:31,0,7569,0,0,0,11277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17683,0,0,0,0,0,0,0
2025-08-10 23:45:53,0,8398,0,0,0,11813,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18250,0,0,0,0,0,0,0
2025-08-11 00:15:53,0,7339,0,0,0,10606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16745,0,0,0,0,0,0,0
2025-08-11 00:45:53,0,7031,0,0,0,10386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16820,0,0,0,0,0,0,0
2025-08-11 01:15:53,0,9780,0,0,0,13093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19674,0,0,0,0,0,0,0
2025-08-11 01:45:53,0,11051,0,0,0,14344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21144,0,0,0,0,0,0,0
2025-08-11 02:15:53,0,8841,0,0,0,12198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18206,0,0,0,0,0,0,0
2025-08-11 02:45:53,0,9261,0,0,0,12423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18669,0,0,0,0,0,0,0
2025-08-11 03:15:53,0,9782,0,0,0,13105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19572,0,0,0,0,0,0,0
2025-08-11 03:45:53,0,8996,0,0,0,12591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19383,0,0,0,0,0,0,0
2025-08-11 04:15:53,0,9140,0,0,0,12629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19232,0,0,0,0,0,0,0
2025-08-11 04:46:00,0,9120,0,0,0,12725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19345,0,0,0,0,0,0,0
2025-08-11 05:15:59,0,8464,0,0,0,11974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18410,0,0,0,0,0,0,0
2025-08-11 05:45:59,0,8692,0,0,0,12222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18799,0,0,0,0,0,0,0
2025-08-11 06:15:59,0,8966,0,0,0,12291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18734,0,0,0,0,0,0,0
2025-08-11 06:45:59,0,8817,0,0,0,12295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18795,0,0,0,0,0,0,0
2025-08-11 07:15:59,0,8425,0,0,0,12104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18774,0,0,0,0,0,0,0
