record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-27 15:50:46,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,4,2,0,0,0,3,0,1,0,0,0,0,1151
2025-07-27 16:20:46,27,13956,6,0,0,14206,2,0,0,0,0,0,107,93,0,0,57,9,0,0,84,16947,2,0,0,6,479,0,0
2025-07-27 17:20:33,30,2456,3,0,0,2823,4,0,1,0,0,0,94,87,0,0,23,9,0,0,79,4185,3,1,0,3,140,0,0
2025-07-27 17:50:33,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,1,0,0,0,0,5,0,1478
2025-07-27 19:20:33,61,1762,9,0,1,2154,8,4,2,0,0,0,109,72,0,0,37,8,0,0,448,2686,4,0,0,9,188,2,0
2025-07-28 10:39:55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,1489
2025-07-28 15:03:01,62,356,6,0,0,553,89,0,0,0,0,0,74,46,0,0,23,13,0,0,346,1032,3,1,0,6,134,0,0
2025-07-28 15:33:01,101,17460,5,0,1,18536,19,0,11,1,0,0,66,44,0,0,26,10,0,0,1,22055,0,0,0,5,640,0,0
2025-07-28 16:03:01,0,99,1,0,1,147,0,0,0,0,0,0,2,0,0,0,3,0,0,0,94,153,1,0,0,1,2,0,1351
2025-07-28 17:08:50,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,2,2,0,0,0,2,0,1,0,0,3,0,1393
2025-07-28 17:38:50,0,0,0,0,0,0,0,0,2,0,0,0,6,4,0,0,4,0,0,0,0,3,0,0,0,0,3,0,999
2025-07-29 09:20:59,0,2608,0,0,1,2946,0,0,1,0,0,0,29,26,0,0,1,2,0,0,0,4375,0,1,0,0,148,0,592
