record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-22 15:14:14,4,4198,32,0,3,4987,2,0,0,0,0,0,269,239,0,0,67,8,0,1,65,5464,6,0,0,32,236,0,0
2025-07-22 15:44:14,244,5088,11,0,3,5753,1,1,0,0,0,0,234,195,0,0,63,20,0,0,101,6794,5,0,0,11,294,0,0
2025-07-22 16:14:14,13,8387,9,0,0,9050,0,0,0,0,0,0,91,67,0,0,39,8,0,0,76,10403,3,0,0,9,350,0,0
2025-07-22 16:44:18,1,514,3,0,6,692,0,0,0,0,0,0,100,90,0,0,23,0,0,0,435,746,9,0,0,3,38,0,0
2025-07-22 17:14:18,14,14135,6,0,0,14884,0,0,0,0,0,0,79,54,0,0,19,4,0,0,339,15811,5,0,0,6,414,0,0
2025-07-22 17:44:18,7,39,2,0,2,54,0,0,0,0,0,0,11,7,0,0,6,4,0,0,34,56,0,0,0,2,7,0,0
2025-07-23 01:14:18,8,1126,5,0,0,1361,0,0,0,0,0,0,76,60,0,0,24,4,0,0,187,1577,2,0,0,5,69,0,0
2025-07-23 01:44:18,4,478,6,0,1,588,0,0,0,0,0,0,150,132,0,0,37,4,0,2,402,649,4,0,0,6,48,0,0
2025-07-23 02:14:18,0,1075,6,0,1,1455,0,0,7,0,0,0,81,64,0,0,31,8,0,0,958,1538,7,0,0,6,117,0,0
2025-07-23 02:44:18,2,3919,5,0,0,4722,0,0,0,0,0,0,119,102,0,0,17,4,0,0,385,4991,2,0,0,5,168,0,0
2025-07-23 03:14:18,0,514,3,0,1,551,0,0,0,0,0,0,53,45,0,0,12,4,0,0,373,595,1,0,0,3,41,0,0
2025-07-23 03:44:18,1,4901,8,0,0,5639,0,0,0,0,0,0,90,62,0,0,24,4,0,1,566,5874,3,0,0,8,173,0,0
2025-07-23 04:14:21,1,652,1,0,0,781,0,0,0,0,0,0,71,56,0,0,12,0,0,1,492,829,2,0,0,1,39,0,0
2025-07-23 04:44:21,1,5302,3,0,1,5909,0,0,0,0,0,0,73,47,0,0,15,0,0,1,460,6297,2,0,0,3,179,0,0
2025-07-23 05:14:21,0,5274,4,0,0,5605,0,0,0,0,0,0,58,38,0,0,14,0,0,0,487,6101,1,0,0,4,184,0,0
2025-07-23 05:44:21,3,9030,4,0,1,10000,0,0,0,0,0,0,87,62,0,0,26,0,0,13,710,11176,3,0,0,4,334,0,0
2025-07-23 06:14:21,1,5084,6,0,0,5695,0,0,0,0,0,0,84,70,0,0,30,10,0,1,295,6208,1,0,0,6,247,0,0
2025-07-23 06:44:21,2,3438,5,0,0,3473,0,0,0,0,0,0,25,9,0,0,14,4,0,1,0,4297,0,0,0,5,23,0,0
2025-07-23 07:14:21,0,3383,0,0,0,3401,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,4292,0,0,0,0,8,0,0
2025-07-23 07:44:21,0,3301,0,0,0,3315,0,0,0,0,0,0,6,5,0,0,1,0,0,0,0,4195,0,0,0,0,0,0,0
2025-07-23 08:14:21,0,3318,0,0,0,3362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4244,0,0,0,0,7,0,0
2025-07-23 08:44:21,0,2938,2,0,0,2990,0,0,0,0,0,0,20,14,0,0,9,0,0,1,64,3784,1,0,0,2,19,0,0
2025-07-23 09:14:21,3,1298,1,0,1,1349,0,0,0,0,0,0,38,29,0,0,5,0,0,2,338,1715,1,0,0,1,21,0,0
2025-07-23 09:44:21,0,76,1,0,0,91,0,0,0,0,0,0,8,7,0,0,1,0,0,0,43,101,0,0,0,1,8,0,0
2025-07-23 14:32:00,2,5667,7,0,1,5961,0,0,0,0,0,0,104,86,0,0,34,9,0,2,293,6785,1,1,0,7,324,0,0
2025-07-23 15:24:30,29,10528,2,0,1,11307,0,0,0,0,0,0,56,36,0,0,15,2,0,0,0,11855,0,1,0,2,673,0,0
2025-07-23 15:54:30,0,9296,1,0,0,9558,0,0,0,0,0,0,9,8,0,0,4,1,0,0,0,10382,0,0,0,1,553,0,0
2025-07-23 16:24:30,0,23098,0,0,0,23995,0,0,0,0,0,0,14,9,0,0,2,0,0,0,0,26386,0,0,0,0,1158,0,0
2025-07-23 16:54:30,1,15532,8,0,1,16329,1,0,0,0,0,0,77,61,0,0,32,8,0,0,3,16551,0,0,0,8,853,0,0
2025-07-23 17:24:30,4,11140,1,0,0,12343,0,0,0,0,0,0,62,44,0,0,19,0,0,5,808,12510,3,0,0,1,635,0,0
2025-07-23 17:54:30,3,13163,2,0,0,17121,0,0,0,0,0,0,16,8,0,0,8,4,0,2,0,18415,0,0,0,2,1041,0,0
2025-07-23 18:24:30,5,5900,2,0,1,13773,0,0,0,0,0,0,71,47,0,0,24,0,0,5,563,14570,2,0,0,2,1145,0,0
2025-07-23 18:54:30,0,3706,9,0,0,7232,0,0,0,0,0,0,104,70,0,0,24,4,0,2,625,7897,2,0,0,9,590,0,0
2025-07-23 19:24:30,0,318,3,0,1,336,0,0,0,0,0,0,41,34,0,0,12,0,0,0,213,358,0,0,0,3,26,0,0
2025-07-23 21:24:30,3,1816,4,0,0,2709,3,3,0,0,0,0,123,84,0,0,21,6,0,3,666,3262,2,0,0,4,246,2,0
2025-07-23 21:54:30,0,2860,1,0,0,5771,0,0,0,0,0,0,3,1,0,0,4,2,0,0,0,6902,0,0,0,1,452,0,0
2025-07-23 22:24:30,0,1138,0,0,0,1661,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2557,0,0,0,0,0,0,0
2025-07-23 22:54:30,0,1101,0,0,0,1642,0,0,0,0,0,0,22,18,0,0,4,0,0,0,0,2570,0,0,0,0,0,0,0
2025-07-23 23:24:30,0,1207,0,0,0,1893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2882,0,0,0,0,3,0,0
2025-07-23 23:54:30,0,1002,0,0,0,1578,0,0,0,0,0,0,8,5,0,0,1,0,0,0,0,2576,0,0,0,0,6,0,0
2025-07-24 00:24:30,0,1083,0,0,0,1577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,0,0,0,0,0,0,0
2025-07-24 00:54:30,0,386,1,0,0,586,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,894,0,0,0,1,5,0,0
2025-07-24 05:24:30,0,1482,3,0,1,3233,0,0,1,0,0,0,49,42,0,0,11,4,0,0,0,4400,0,0,0,3,214,0,0
2025-07-24 05:54:30,0,1044,0,0,0,1689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2848,0,0,0,0,0,0,0
2025-07-24 06:24:30,2,1091,2,0,0,1781,0,0,0,0,0,0,22,16,0,0,9,0,0,0,0,2725,0,0,0,2,21,0,0
2025-07-24 06:54:30,0,1120,0,0,0,1655,0,0,0,0,0,0,6,2,0,0,1,0,0,0,0,2819,0,0,0,0,0,0,0
2025-07-24 07:24:30,0,1190,0,0,0,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2764,0,0,0,0,0,0,0
2025-07-24 07:54:30,36,3258,2,0,0,4886,8,2,0,0,0,0,108,85,0,0,22,4,0,3,268,6114,1,0,0,2,431,4,0
2025-07-24 08:24:30,167,1869,2,0,0,1994,0,0,0,0,0,0,80,60,0,0,19,4,0,2,815,2288,3,0,0,2,58,0,0
2025-07-24 08:54:30,0,1157,1,0,0,1545,0,0,0,0,0,0,5,1,0,0,4,0,0,0,154,2436,0,0,0,1,24,0,0
2025-07-24 09:24:30,0,148,4,0,0,178,0,0,0,0,0,0,28,14,0,0,15,4,0,0,81,204,1,0,0,4,24,0,0
2025-07-24 10:06:46,2,1199,1,0,0,1782,0,0,0,0,0,0,11,6,0,0,7,2,0,2,134,2468,0,1,0,1,42,0,0
2025-07-24 10:36:47,0,1438,0,0,0,2257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3049,0,0,0,0,0,0,0
2025-07-24 11:06:46,0,1156,0,0,0,1935,0,0,0,0,0,0,7,5,0,0,2,0,0,0,0,2850,0,0,0,0,0,0,0
2025-07-24 11:36:58,0,1072,0,0,0,1907,0,0,0,0,0,0,3,1,0,0,1,6,0,0,0,3019,0,0,0,0,0,0,0
2025-07-24 12:06:58,0,1058,0,0,0,2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3172,0,0,0,0,0,0,0
2025-07-24 12:36:58,0,881,1,0,0,1651,0,0,0,0,0,0,20,11,0,0,8,0,0,0,161,2323,1,0,0,1,23,0,0
2025-07-24 13:07:15,1,1006,3,0,0,1123,0,0,0,0,0,0,41,24,0,0,13,2,0,1,578,1156,2,0,0,3,84,0,0
2025-07-24 14:46:26,5,951,12,0,1,2249,5,0,0,0,0,0,118,102,0,0,49,23,0,13,0,3503,0,0,0,12,299,0,0
2025-07-24 15:16:26,0,993,3,0,0,5163,0,0,0,0,0,0,39,30,0,0,9,12,0,0,0,5709,0,0,0,3,486,0,675
2025-07-25 03:46:26,0,0,1,0,0,0,0,0,0,0,0,0,6,5,0,0,7,2,0,0,0,26,0,0,0,1,19,0,0
2025-07-25 04:16:29,0,18,8,0,0,88,4,3,0,0,0,0,73,59,0,0,15,12,0,0,0,171,0,0,0,8,45,3,777
2025-07-25 04:46:38,0,209,2,0,0,500,0,0,0,0,0,0,10,6,0,0,9,3,0,0,36,607,0,0,0,2,72,0,0
2025-07-25 05:16:41,0,1106,0,0,0,2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3961,0,0,0,0,3,0,0
2025-07-25 05:46:41,0,1085,0,0,0,2151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4117,0,0,0,0,0,0,0
2025-07-25 06:16:41,0,1239,0,0,0,2223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4107,0,0,0,0,0,0,0
2025-07-25 06:46:41,0,1220,0,0,0,2215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4109,0,0,0,0,0,0,0
2025-07-25 07:16:41,0,1070,0,0,0,1906,0,0,0,0,0,0,22,19,0,0,1,0,0,0,0,3599,0,0,0,0,0,0,0
2025-07-25 07:46:41,0,1220,0,0,0,2107,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3427,0,0,0,0,84,0,0
2025-07-25 08:16:41,0,1112,0,0,0,2112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4012,0,0,0,0,0,0,0
2025-07-25 08:46:41,0,1116,0,0,0,2132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4037,0,0,0,0,0,0,0
2025-07-25 09:16:41,0,1207,0,0,0,2251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4195,0,0,0,0,0,0,0
2025-07-25 09:46:41,0,1037,5,0,1,2025,2,0,0,0,0,0,64,54,0,0,15,8,0,0,0,3776,0,0,0,5,24,0,0
2025-07-25 10:16:45,0,1097,0,0,0,2322,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4447,0,0,0,0,0,0,0
2025-07-25 10:46:45,0,1165,0,0,0,2527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4789,0,0,0,0,0,0,0
2025-07-25 11:16:45,0,1214,0,0,0,2721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5128,0,0,0,0,0,0,0
2025-07-25 11:46:45,0,410,1,0,0,804,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1489,0,0,0,1,6,0,897
2025-07-25 14:16:45,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,157
2025-07-26 06:57:25,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,0,0,0,0,0,0,0,0,2,0,1474
2025-07-26 08:57:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1668
2025-07-26 11:27:25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,1,0,573
2025-07-26 13:27:33,0,0,3,0,0,0,0,0,0,0,0,0,13,10,0,0,7,4,0,0,0,7,0,0,0,3,7,0,828
2025-07-26 17:16:30,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,1,2,0,0,0,2,0,1,0,0,8,0,1421
2025-07-27 01:55:12,1,1,3,0,0,3,1,0,0,0,0,0,20,16,0,0,4,6,0,0,0,21,0,0,0,3,10,1,1390
