record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-14 15:55:55,3,0,7,0,0,2,10,0,0,0,0,0,3,1,0,0,4,7,0,2,0,12,0,1,0,7,6,0,0
2025-07-14 17:39:48,3,0,0,0,0,0,9,0,0,0,0,0,8,6,0,0,0,2,0,3,0,23,0,1,0,0,4,0,0
2025-07-15 15:24:00,10,6460,1,0,0,8912,10,0,9,0,0,0,377,374,0,0,1,4,0,4,0,16663,1,0,0,1,41,0,0
2025-07-15 15:54:00,0,7490,0,0,0,9369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17587,0,0,0,0,0,0,0
2025-07-15 16:24:00,0,7655,0,0,0,8293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16117,0,0,0,0,0,0,0
2025-07-15 16:54:00,0,7277,0,0,0,7838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15194,0,0,0,0,0,0,0
2025-07-15 17:24:00,0,6454,0,0,0,9753,0,0,1,0,0,0,83,82,0,0,8,0,0,0,0,18455,0,0,0,0,124,0,0
2025-07-15 17:54:04,0,7716,1,0,0,10698,0,0,0,0,0,0,6,5,0,0,3,2,0,0,0,20411,0,0,0,1,8,0,0
2025-07-15 18:24:04,0,6809,0,0,0,8295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16011,0,0,0,0,11,0,0
2025-07-15 18:54:04,0,6563,0,0,0,8844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17612,0,0,0,0,17,0,0
2025-07-15 19:24:04,0,6534,0,0,0,22004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24387,0,0,0,0,10,0,0
2025-07-15 19:54:04,0,6474,0,0,0,12812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18123,0,0,0,0,9,0,0
2025-07-15 20:24:04,0,5375,0,0,0,5404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10200,0,0,0,0,0,0,0
2025-07-15 20:54:04,0,5328,0,0,0,5342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10185,0,0,0,0,0,0,0
2025-07-15 21:24:04,0,5256,0,0,0,5274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9946,0,0,0,0,0,0,0
2025-07-15 21:54:04,0,5326,0,0,0,5337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10166,0,0,0,0,0,0,0
2025-07-15 22:24:04,0,5275,0,0,0,5301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10051,0,0,0,0,0,0,0
2025-07-15 22:54:04,0,5184,0,0,0,5210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9875,0,0,0,0,0,0,0
2025-07-15 23:24:04,0,5476,0,0,0,5495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10433,0,0,0,0,0,0,0
2025-07-15 23:54:04,0,5128,0,0,0,5144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9794,0,0,0,0,0,0,0
2025-07-16 00:24:08,0,4270,1,0,0,4835,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9047,0,0,0,1,0,0,0
2025-07-16 00:54:43,0,3009,12,0,0,6096,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,10567,0,0,0,12,0,0,0
2025-07-16 03:44:53,0,18165,0,0,0,18252,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,29972,0,0,0,0,0,0,0
2025-07-16 04:15:12,0,16302,3,0,0,26133,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,28496,0,0,0,3,0,0,0
2025-07-16 04:45:34,0,16150,0,0,0,29228,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,29244,0,0,0,0,0,0,0
2025-07-16 05:15:49,0,13697,0,0,0,28028,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,28054,0,0,0,0,0,0,0
2025-07-16 05:45:49,0,12346,0,0,0,27532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27563,0,0,0,0,0,0,0
2025-07-16 06:15:49,0,11961,0,0,0,27237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27256,0,0,0,0,0,0,0
2025-07-16 06:45:53,0,15326,0,0,0,28691,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,28703,0,0,0,0,0,0,0
2025-07-16 07:16:17,0,14654,0,0,0,28275,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,28308,0,0,0,0,0,0,0
2025-07-16 07:47:24,0,12311,0,0,0,14639,0,0,0,0,0,0,1,1,0,0,0,42,0,0,0,19147,0,0,0,0,0,0,0
2025-07-16 08:18:00,0,16066,0,0,0,16502,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,22890,0,0,0,0,0,0,0
2025-07-16 08:48:27,0,12186,0,0,0,13609,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,19178,0,0,0,0,0,0,0
2025-07-16 09:19:01,0,6702,0,0,0,6702,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,12356,0,0,0,0,0,0,0
2025-07-16 09:49:08,0,15624,0,0,0,15634,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,21362,0,0,0,0,0,0,0
2025-07-16 10:19:26,0,15691,0,0,0,15735,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,21634,0,0,0,0,0,0,0
2025-07-16 10:49:30,0,13864,0,0,0,13901,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,19592,0,0,0,0,0,0,0
2025-07-16 11:19:29,0,9893,0,0,0,9931,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,13643,0,0,0,0,0,0,0
2025-07-16 11:49:29,0,995,0,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0
2025-07-16 12:19:29,0,1001,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,0,0,0,0,0,0,0
2025-07-16 12:49:29,0,4633,6,0,1,8676,1,0,0,0,0,0,35,23,0,0,21,8,0,0,0,12972,0,0,0,6,8,0,0
2025-07-16 13:48:49,0,4939,0,0,0,8056,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,14704,0,1,0,0,0,0,0
2025-07-16 14:18:49,1,5588,0,0,0,11072,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,17732,0,0,0,0,6,0,0
2025-07-16 14:48:49,0,5632,0,0,0,8380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14162,0,0,0,0,0,0,0
2025-07-16 15:18:49,5,2920,6,0,0,9634,14,0,0,0,0,0,54,47,0,0,21,10,0,5,0,12302,0,0,0,6,50,0,0
2025-07-16 15:48:49,0,3330,1,0,1,29257,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,29454,0,0,0,1,40,0,0
2025-07-17 15:32:36,0,3406,3,0,0,18962,0,0,0,0,0,0,14,10,0,0,14,6,0,1,0,21638,0,0,0,3,8,0,0
2025-07-17 16:02:36,0,3293,0,0,0,24538,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24749,0,0,0,0,0,0,0
2025-07-17 16:32:36,0,3327,0,0,0,20125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20320,0,0,0,0,0,0,0
2025-07-17 17:02:36,0,3279,0,0,0,20064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20241,0,0,0,0,0,0,0
2025-07-17 17:32:36,0,3458,0,0,0,20041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20273,0,0,0,0,0,0,0
2025-07-17 18:02:36,0,3616,0,0,0,19802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,0,0,0,0,0,0,0
2025-07-17 18:32:36,0,3764,0,0,0,20262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20466,0,0,0,0,0,0,0
2025-07-17 19:02:36,0,3475,0,0,0,20160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20335,0,0,0,0,0,0,0
2025-07-17 19:32:36,0,3421,0,0,0,20123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20353,0,0,0,0,0,0,0
2025-07-17 20:02:36,0,3390,0,0,0,20180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20385,0,0,0,0,0,0,0
2025-07-17 20:32:36,0,3183,0,0,0,19897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20154,0,0,0,0,0,0,0
2025-07-17 21:02:36,0,3210,0,0,0,20009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20255,0,0,0,0,0,0,0
2025-07-17 21:32:36,0,3248,0,0,0,19867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20136,0,0,0,0,0,0,0
2025-07-17 22:02:36,0,3285,0,0,0,19334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19637,0,0,0,0,0,0,0
2025-07-17 22:32:36,0,3086,0,0,0,18148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18406,0,0,0,0,0,0,0
2025-07-17 23:02:36,0,844,0,0,0,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919,0,0,0,0,0,0,0
2025-07-17 23:32:36,0,871,0,0,0,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951,0,0,0,0,0,0,0
2025-07-18 00:02:36,0,849,0,0,0,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937,0,0,0,0,0,0,0
2025-07-18 00:32:36,0,938,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030,0,0,0,0,0,0,0
2025-07-18 01:02:36,0,1000,0,0,0,1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077,0,0,0,0,0,0,0
2025-07-18 01:32:36,0,1085,0,0,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,0,0,0,0,0,0,0
2025-07-18 02:02:36,0,1161,0,0,0,1243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1243,0,0,0,0,0,0,0
2025-07-18 02:32:36,0,1331,0,0,0,1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1415,0,0,0,0,0,0,0
2025-07-18 03:02:36,0,1482,0,0,0,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1555,0,0,0,0,0,0,0
2025-07-18 03:32:36,0,1512,0,0,0,1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1605,0,0,0,0,0,0,0
2025-07-18 04:02:36,0,2972,4,0,0,12853,0,0,0,0,0,0,14,10,0,0,11,4,0,0,0,12943,0,0,0,4,17,0,0
2025-07-18 04:32:36,0,4328,0,0,0,25102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25343,0,0,0,0,0,0,0
2025-07-18 05:02:36,0,4356,0,0,0,20730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20948,0,0,0,0,0,0,0
2025-07-18 05:32:36,0,4124,0,0,0,20521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20729,0,0,0,0,0,0,0
2025-07-18 06:02:36,0,4041,0,0,0,20545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20744,0,0,0,0,0,0,0
2025-07-18 06:32:36,0,3869,0,0,0,20365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20595,0,0,0,0,0,0,0
2025-07-18 07:02:36,0,3734,0,0,0,20225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20455,0,0,0,0,0,0,0
2025-07-18 07:32:36,0,4068,0,0,0,20097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20374,0,0,0,0,0,0,0
2025-07-18 08:02:36,0,4124,0,0,0,20627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20834,0,0,0,0,0,0,0
2025-07-18 08:32:36,0,4421,0,0,0,20500,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20743,0,0,0,0,0,0,0
2025-07-18 09:02:36,0,4177,0,0,0,20792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21001,0,0,0,0,0,0,0
2025-07-18 09:32:36,0,4009,0,0,0,20458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20689,0,0,0,0,0,0,0
2025-07-18 10:02:36,0,3837,0,0,0,20459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20664,0,0,0,0,0,0,0
2025-07-18 10:32:36,0,3923,0,0,0,20389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20593,0,0,0,0,0,0,0
2025-07-18 11:02:36,0,4423,0,0,0,20712,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20964,0,0,0,0,0,0,0
2025-07-18 11:32:36,0,1501,0,0,0,4166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,0,0,0,0,0,0,0
