record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-10 11:57:26,0,13196,0,0,0,13484,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,13489,0,1,0,0,9,0,0
2025-07-10 12:27:26,0,17172,0,0,0,17614,0,0,0,0,0,0,4,3,0,0,1,2,0,0,0,17618,0,0,0,0,5,0,0
2025-07-10 14:27:39,0,3416,0,0,0,3452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3452,0,0,0,0,0,0,0
2025-07-10 15:38:11,39,685,11,0,0,743,616,2,282,1,0,0,162,116,0,0,45,18,0,11,0,2528,0,1,0,11,209,2,0
2025-07-10 17:03:29,96,138,12,0,1,180,994,31,1370,1,0,0,258,224,20,4,45,22,1,2,26,2926,6,0,1,12,406,4,0
2025-07-11 11:28:42,3,1448,18,0,1,2152,1,0,2532,1,0,0,174,126,0,0,90,38,0,7,72,3066,24,0,0,18,433,0,0
2025-07-11 11:58:42,0,2604,0,0,0,5330,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,5361,0,0,0,0,141,0,0
2025-07-11 16:50:01,0,1458,0,0,0,4120,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,4128,0,0,0,0,14,0,0
2025-07-11 17:54:00,0,0,1,0,0,651,0,0,7545,1,0,0,9,7,0,0,6,4,0,0,343,3622,37,0,0,1,7,0,0
2025-07-11 18:33:57,0,0,0,0,0,719,0,0,7612,1,0,0,0,0,0,0,0,0,0,0,359,4186,18,0,0,0,0,0,0
2025-07-11 19:17:59,0,0,0,0,0,768,0,0,7736,1,0,0,0,0,0,0,0,0,0,0,383,4586,14,0,0,0,0,0,0
2025-07-11 20:11:02,0,0,0,0,0,555,0,0,4008,1,0,0,0,0,0,0,0,0,0,0,202,5338,6,0,0,0,0,0,0
2025-07-11 21:07:43,0,0,0,0,0,315,0,0,1751,1,0,0,0,0,0,0,0,0,0,0,89,5674,2,0,0,0,0,0,0
2025-07-11 22:09:23,1,0,0,0,0,263,0,0,1819,1,0,0,0,0,0,0,0,0,0,0,102,6122,2,0,0,0,0,0,0
2025-07-11 23:12:47,0,0,0,0,0,306,0,0,1796,1,0,0,0,0,0,0,0,0,0,0,93,6225,2,0,0,0,0,0,0
2025-07-12 00:25:07,1,0,0,0,0,313,0,0,1846,1,0,0,0,0,0,0,0,0,0,0,85,7097,2,0,0,0,0,0,0
2025-07-12 01:55:21,0,0,0,0,0,504,0,0,1874,1,0,0,0,0,0,0,0,0,0,0,100,8833,2,0,0,0,0,0,0
2025-07-12 03:34:08,1,0,0,0,0,641,0,0,1917,1,0,0,0,0,0,0,0,0,0,0,104,9888,1,0,0,0,0,0,0
2025-07-12 05:30:08,0,0,0,0,0,544,0,0,1937,1,0,0,0,0,0,0,0,0,0,0,106,11501,2,0,0,0,0,0,0
