record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-11 14:35:23,213,521,36,0,3,767,20,13,0,0,0,4,145,114,0,1,57,19,1,0,334,1075,16,0,1,36,140,4,0
2025-08-11 15:05:23,356,10363,7,0,0,10729,29,4,0,0,0,2,123,78,16,1,78,8,0,2,19,11976,0,0,0,7,466,0,0
2025-08-11 15:35:29,123,7432,13,0,7,7630,526,10,0,0,0,1,245,194,0,0,66,18,3,43,3,8821,1,0,3,13,242,5,0
2025-08-11 16:05:29,136,16576,11,0,1,16779,198,5,0,0,0,0,136,72,2,1,71,12,1,7,1,20466,0,0,1,11,226,12,0
2025-08-11 16:35:32,395,10882,4,0,0,11395,125,2,0,0,0,0,154,128,0,0,58,6,1,12,0,17071,0,0,1,4,193,2,0
2025-08-11 17:05:35,11,10059,6,0,0,7388,7,0,0,0,0,0,297,242,0,0,101,6,1,9,1559,11266,24,0,1,6,331,0,0
2025-08-11 17:35:34,2,21087,1,0,0,19247,0,0,0,0,0,0,197,166,0,0,122,0,0,2,1021,21417,8,0,0,1,366,0,0
2025-08-11 18:05:34,5,20106,3,0,0,18820,0,0,0,0,0,0,123,95,0,0,91,0,0,5,887,23688,4,0,0,3,232,0,0
2025-08-11 18:35:34,91,5030,2,0,0,2604,2,0,0,0,0,0,145,104,0,0,59,2,0,2,927,3661,5,0,0,2,236,0,0
2025-08-11 19:05:35,583,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,5,0,0,0,0,82,0,0,0,0,4,0,349
2025-08-11 19:45:13,387,3181,1,0,0,3398,0,0,0,0,0,0,24,8,0,0,13,4,0,0,0,4368,0,1,0,1,53,0,872
2025-08-11 20:15:13,270,8647,20,0,1,9026,484,5,0,0,0,0,172,122,16,1,41,35,8,15,0,14994,0,0,8,20,156,19,0
2025-08-11 20:45:13,0,24114,2,0,0,22138,0,0,0,0,0,0,74,47,0,0,43,2,0,0,610,32218,7,0,0,2,199,0,0
2025-08-11 21:15:13,1,12054,3,0,0,10380,0,0,0,0,0,0,128,98,0,0,67,6,0,15,563,15785,5,0,0,3,229,0,0
2025-08-12 11:53:28,55,20057,7,0,1,20360,5,0,0,0,0,0,81,41,0,0,63,10,1,2,6,24125,1,0,1,7,451,0,0
2025-08-12 12:23:28,88,154,8,0,1,210,1020,0,0,0,0,0,78,62,0,0,21,12,3,3,0,3170,0,0,3,8,133,0,0
2025-08-12 12:53:28,179,231,6,0,1,236,3578,0,0,0,0,0,91,71,0,0,18,6,2,10,0,5294,0,0,2,6,157,0,197
2025-08-12 13:23:28,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,1,0,0,0,0,4,0,0,0,0,12,0,906
2025-08-12 16:53:32,118,8798,10,0,0,8775,2144,0,0,0,0,0,76,42,0,0,43,12,2,52,281,13660,1,0,2,10,424,0,0
2025-08-12 17:23:36,235,4057,9,0,2,3431,208,0,0,0,0,0,112,77,202,0,65,10,2,0,757,6223,6,0,2,9,270,2,0
2025-08-12 17:53:35,156,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,2,0,0,11,156,639,1,0,0,0,6,0,0
2025-08-12 18:23:35,150,0,0,0,0,0,0,0,0,0,0,0,18,14,0,0,8,0,0,14,145,661,1,0,0,0,22,0,0
2025-08-12 18:53:36,183,67,0,0,1,76,145,6,0,0,0,0,73,63,1,0,3,0,0,0,145,1728,1,0,0,0,48,135,0
2025-08-12 19:23:35,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,316,1,0,0,0,0,0,0
2025-08-12 19:53:35,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,324,1,0,0,0,0,0,0
2025-08-12 20:23:35,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,332,1,0,0,0,0,0,0
2025-08-12 20:53:35,24,9,0,0,0,10,614,0,0,0,0,0,34,31,0,0,8,0,0,16,141,1651,1,0,0,0,32,0,0
2025-08-12 21:23:35,248,125,0,0,3,143,4302,0,0,0,0,0,126,97,0,0,21,0,0,0,70,7572,1,0,0,0,260,63,0
2025-08-12 21:53:35,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,324,1,0,0,0,0,0,0
2025-08-12 22:23:35,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,320,1,0,0,0,0,0,0
2025-08-12 22:53:35,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,367,1,0,0,0,0,0,0
2025-08-12 23:23:35,69,5265,4,0,0,3726,0,0,0,0,0,0,123,100,0,0,41,2,0,14,898,6272,5,0,0,4,262,0,0
2025-08-12 23:53:35,14,4783,6,0,0,3932,1,0,0,0,0,0,175,123,0,0,55,6,0,13,1010,7629,4,0,0,6,227,0,0
2025-08-13 00:23:35,827,236,6,0,2,274,264,4,35,1,0,0,230,128,12,0,42,8,1,1,25,1474,0,0,1,6,59,92,0
2025-08-13 00:53:35,1806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,3948,1,0,0,0,0,0,0
2025-08-13 01:23:38,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,3938,1,0,0,0,0,0,0
2025-08-13 01:53:38,2098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,3950,1,0,0,0,0,0,0
2025-08-13 02:23:38,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,3942,1,0,0,0,0,0,0
2025-08-13 02:53:38,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,3946,1,0,0,0,0,0,0
2025-08-13 03:23:38,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,3944,1,0,0,0,0,0,0
2025-08-13 03:53:39,2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,3944,0,0,0,0,0,0,0
2025-08-13 04:23:39,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,3948,1,0,0,0,0,0,0
2025-08-13 04:53:41,1769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,3948,1,0,0,0,0,0,0
2025-08-13 11:07:59,268,12644,4,0,0,13097,2,0,0,0,0,0,141,123,0,0,16,6,0,1,24,24821,0,0,0,4,488,2,0
2025-08-13 11:37:59,158,226,0,0,7,275,13014,0,0,0,0,0,57,45,0,0,14,0,0,0,5,19862,0,0,0,0,600,0,0
