record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-28 10:42:18,93,2143,31,0,0,2480,6,2,0,0,0,0,150,135,0,0,42,12,0,0,0,3177,0,0,0,31,156,0,0
2025-07-28 11:12:18,77,449,2,0,0,709,110,2,2,0,0,0,125,94,0,0,35,2,0,1,343,1051,16,0,0,2,71,1,0
2025-07-28 11:42:18,0,1383,0,0,0,1565,0,0,0,0,0,0,9,3,0,0,2,0,0,0,0,1805,0,0,0,0,39,0,450
2025-07-28 12:12:18,8,1344,1,0,1,1674,0,0,0,0,0,0,44,35,0,0,8,0,0,0,380,1844,6,0,0,1,49,0,631
2025-07-28 12:42:18,0,6908,6,0,0,7687,0,0,0,0,0,0,91,74,0,0,40,0,0,0,158,8213,3,0,0,6,215,0,208
2025-07-28 13:42:18,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,2,0,0,0,0,5,0,0,0,0,14,0,278
2025-07-28 14:12:18,75,94,7,0,0,142,553,1,14,1,0,0,83,52,0,0,25,14,1,1,0,1250,0,0,1,7,83,15,0
2025-07-28 14:42:18,92,95,2,0,0,153,545,0,6,0,0,0,135,88,0,0,31,4,0,1,0,1989,0,0,0,2,69,0,0
2025-07-28 15:12:18,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,2,2,0,0,0,0,0,0,0,1,8,0,1281
2025-07-28 16:12:18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,247
2025-07-30 17:00:20,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,2,0,0,0,0,0,0,0,0,3,0,1469
2025-07-31 11:58:31,18,152,8,0,0,214,6,2,2,0,0,0,148,124,0,0,45,15,0,7,132,317,2,0,0,8,48,3,73
2025-07-31 12:28:31,0,1129,0,0,1,1516,0,0,0,0,0,0,82,67,0,0,18,0,0,0,1021,1671,9,0,0,0,67,0,0
2025-07-31 12:58:31,1,1387,2,0,0,1862,3,0,0,0,0,0,138,129,0,0,26,4,0,0,1140,2024,6,0,0,2,66,0,0
2025-08-06 06:27:20,0,7622,1,0,0,8876,0,0,0,0,0,0,22,16,0,0,16,2,0,0,0,9707,0,0,0,1,256,0,633
2025-08-06 06:57:20,2,5395,3,0,0,6174,0,0,0,0,0,0,72,57,0,0,27,0,0,2,658,6333,3,0,0,3,172,0,0
2025-08-06 07:27:20,0,690,2,0,0,809,0,0,0,0,0,0,95,71,0,0,23,0,0,0,391,1130,1,0,0,2,28,0,37
2025-08-06 08:27:20,5,0,1,0,0,5,0,0,4,0,0,0,22,15,0,0,5,2,0,0,0,59,0,0,0,1,5,0,0
2025-08-06 08:57:20,12,4239,7,0,0,5544,419,0,3,0,0,0,116,72,0,0,27,10,0,0,160,6559,1,0,0,7,243,16,0
2025-08-06 09:27:21,208,166,1,0,0,208,3,0,0,0,0,0,32,25,0,0,6,2,0,0,130,270,0,0,0,1,3,0,1010
2025-08-06 09:57:20,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 10:27:20,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 10:57:20,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 11:27:20,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-06 12:20:05,239,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,873
2025-08-06 12:50:05,116,2258,1,0,0,3430,0,0,0,0,0,0,52,43,0,0,10,6,0,0,0,4076,0,0,0,1,155,0,598
2025-08-06 13:20:05,27,2238,9,0,0,2836,0,0,0,0,0,0,91,68,0,0,38,9,0,1,395,3287,3,0,0,9,105,0,0
2025-08-06 13:50:05,15,1353,6,0,0,1569,0,0,6,0,0,0,47,32,0,0,15,2,0,9,1071,1611,8,0,0,6,30,0,0
2025-08-06 14:20:05,1,3069,2,0,0,3895,0,0,0,0,0,0,55,9,0,0,9,0,0,0,125,4559,2,0,0,2,115,0,0
2025-08-06 14:50:05,0,7805,4,0,0,9882,0,0,0,0,0,0,94,74,0,0,19,0,0,0,642,11089,7,0,0,4,295,0,0
2025-08-12 13:40:21,148,178,0,0,0,275,906,0,1,0,0,0,101,74,0,0,26,2,0,0,0,2049,0,1,0,0,183,10,0
2025-08-12 14:10:21,161,190,2,0,0,291,401,9,10,0,0,0,71,29,56,12,7,4,0,1,0,1174,0,0,0,2,146,37,0
2025-08-12 14:40:26,77,157,0,0,0,204,502,5,0,0,0,0,119,89,57,3,20,2,0,1,0,1076,0,0,0,0,215,0,0
2025-08-12 15:10:26,36,55,0,0,1,67,869,4,0,0,0,0,111,68,0,0,12,2,0,1,0,1044,0,0,0,0,273,0,0
2025-08-12 15:40:26,167,196,0,0,0,248,571,1,0,0,0,0,77,58,0,0,10,0,0,0,0,899,0,0,0,0,245,0,0
