record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-01 20:59:22,0,70938,0,0,1,70940,0,0,0,0,0,0,13,11,0,0,9,2,0,0,0,71360,0,0,0,0,3716,0,0
2025-07-01 21:59:34,0,71729,0,0,0,71731,0,0,0,0,0,0,16,16,0,0,13,0,0,0,0,72045,0,0,0,0,2663,0,0
2025-07-01 23:01:34,0,72432,0,0,0,72435,0,0,0,0,0,0,35,25,0,0,14,0,0,0,0,73185,0,0,0,0,2521,0,0
2025-07-02 00:09:20,0,80499,0,0,0,80499,0,0,0,0,0,0,8,7,0,0,8,0,0,0,0,81334,0,0,0,0,2812,0,0
2025-07-09 12:59:48,19,35,11,0,2,66,7,0,172,1,0,0,199,172,0,0,70,19,1,6,13,475,0,1,1,11,170,2,0
2025-07-09 13:29:48,0,34,18,0,1,121,0,0,748,1,0,0,61,38,0,0,13,9,0,0,0,967,0,0,0,18,415,0,0
2025-07-09 13:59:48,1,1,6,0,10,174,0,0,785,1,0,0,29,11,0,0,20,0,0,0,0,1054,0,0,0,6,342,0,0
2025-07-09 14:29:48,0,0,11,0,16,146,0,0,920,1,0,0,32,23,0,0,24,6,0,0,0,1265,0,0,0,11,159,0,0
2025-07-09 14:59:48,0,476,21,0,8,602,1,0,482,1,0,0,86,57,0,0,49,18,0,0,0,1391,4,0,0,21,275,1,0
2025-07-09 15:29:48,0,3,2,0,8,86,0,0,350,1,0,0,6,4,0,0,15,6,0,0,0,490,0,0,0,2,87,0,0
2025-07-09 15:59:48,0,0,3,0,12,0,0,0,52,1,0,0,8,2,0,0,5,4,0,0,0,59,0,0,0,3,32,0,0
2025-07-09 16:29:48,0,0,9,0,7,4,0,0,248,1,0,0,19,8,0,0,19,8,1,0,0,280,0,0,1,9,211,0,0
2025-07-09 16:59:48,7,4,8,0,22,27,16,3,49,1,0,0,78,57,0,0,34,8,0,4,0,109,0,0,0,8,68,16,0
2025-07-09 17:29:48,0,0,12,0,0,9,0,0,86,1,0,0,4,1,0,0,3,4,0,0,0,105,0,0,0,12,20,0,0
2025-07-09 17:59:48,0,0,2,0,11,0,0,0,51,1,0,0,8,5,0,0,6,4,0,0,0,65,0,0,0,2,35,0,0
2025-07-09 18:29:48,0,180,7,0,11,192,0,0,94,1,0,0,26,8,0,0,7,8,1,1,0,358,0,0,1,7,79,0,0
2025-07-09 18:59:48,0,19227,6,0,1,19576,10,0,68,1,0,0,62,46,0,0,29,6,0,0,0,25371,0,0,0,6,159,10,0
