record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-12 11:59:26,0,1,29,0,1,2,0,0,25,1,0,0,36,28,0,0,20,8,1,0,54,274,10,0,1,29,36,0,0
2025-08-12 12:29:26,1,169,0,0,1,320,0,0,0,0,0,0,97,92,0,0,13,0,0,1,190,553,9,0,0,0,49,0,0
2025-08-12 12:59:26,162,7032,7,0,5,7154,80,17,2,0,0,0,151,111,0,0,46,12,0,3,0,7997,1,0,0,7,156,8,0
2025-08-12 13:29:26,59,385,5,0,0,614,7,0,0,0,0,0,251,224,0,0,68,8,0,1,363,758,11,0,0,5,116,0,0
2025-08-12 13:59:26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,276,4,0,0,0,0,0,0
2025-08-12 15:28:33,182,211,12,0,2,362,187,3,65,0,0,0,167,128,0,0,29,26,0,4,0,941,0,0,0,12,62,12,0
2025-08-12 15:58:33,44,21022,3,0,0,21147,9,0,0,0,0,0,97,87,0,0,33,4,0,0,0,23133,0,0,0,3,91,3,0
2025-08-12 16:28:33,0,35733,0,0,0,35800,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,39914,0,0,0,0,0,0,0
2025-08-12 16:58:36,10,23977,4,0,3,24081,1,0,3,0,0,0,57,41,0,0,24,6,0,7,14,25300,0,0,0,4,89,0,0
2025-08-12 17:28:36,4,752,3,0,3,1016,42,0,0,0,0,0,92,83,0,0,34,4,0,0,631,1306,7,0,0,3,37,11,384
2025-08-12 17:58:36,5,0,0,0,0,3,2,0,0,0,0,0,8,8,0,0,5,0,0,0,0,184,0,0,0,0,0,0,255
2025-08-12 18:28:36,92,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,11,0,0,0,0,172,0,0,0,0,0,0,768
