record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-23 17:26:43,20,6077,36,0,0,6427,6,0,39,1,0,0,194,143,0,0,67,12,0,1,236,6847,14,0,0,36,260,1,0
2025-07-23 17:57:30,80,1729,10,0,3,2037,21,13,2,0,0,0,238,180,0,0,67,18,0,19,277,2318,7,1,0,10,97,11,0
2025-07-23 18:27:30,1,835,0,0,0,1218,0,0,0,0,0,0,47,37,0,0,2,0,0,1,784,1315,10,0,0,0,45,0,0
2025-07-23 19:27:22,4,1193,4,0,1,1474,0,0,4,0,0,0,60,35,0,0,45,6,0,2,376,1646,3,1,0,4,183,0,0
2025-07-23 19:57:22,3,1364,3,0,3,2009,0,0,0,0,0,0,232,205,0,0,44,2,0,5,1146,2190,7,0,0,3,158,0,0
2025-07-23 20:27:22,1,14403,6,0,0,14904,0,0,1,0,0,0,61,34,0,0,56,0,0,2,571,15996,3,0,0,6,506,0,0
2025-07-23 21:24:03,12,987,2,0,6,1475,0,0,1,0,0,0,144,71,0,0,7,4,0,7,835,1699,3,1,0,2,94,0,0
2025-07-23 21:54:03,3,3184,5,0,0,4958,0,0,0,0,0,0,67,38,0,0,19,4,0,0,645,7953,3,0,0,5,684,0,0
2025-07-23 22:24:03,2,4611,7,0,0,10268,0,0,0,0,0,0,108,79,0,0,40,9,0,2,393,13662,3,0,0,7,1166,0,0
2025-07-23 22:54:03,7,3833,7,0,4,9400,1,0,0,0,0,0,128,98,0,0,55,8,0,7,33,12410,1,0,0,7,1246,0,0
2025-07-23 23:24:03,4,2664,5,0,2,4855,1,0,0,0,0,0,66,42,0,0,56,4,0,4,761,6550,7,0,0,5,522,0,0
2025-07-23 23:54:03,0,1925,2,0,3,2781,0,0,1,0,0,0,104,85,0,0,23,0,0,1,821,3676,8,0,0,2,121,0,0
2025-07-24 00:24:03,4,5442,5,0,2,11030,4,0,0,0,0,0,200,152,0,0,44,9,0,3,0,14383,0,0,0,5,1747,0,0
2025-07-24 00:54:03,0,7215,8,0,0,14467,3,0,0,0,0,0,75,45,0,0,32,8,0,0,137,17658,1,0,0,8,2258,0,0
2025-07-24 01:24:03,1,8114,0,0,4,15575,0,0,0,0,0,0,37,27,0,0,9,0,0,1,0,21284,0,0,0,0,2627,0,0
2025-07-24 01:54:03,0,4598,4,0,0,10435,0,0,0,0,0,0,31,11,0,0,11,8,0,0,39,14790,0,0,0,4,1479,0,0
2025-07-24 02:24:03,0,4574,1,0,0,7923,0,0,1,0,0,0,72,37,0,0,12,0,0,0,308,12876,4,0,0,1,1208,0,0
2025-07-24 02:54:03,0,4642,0,0,0,10425,0,0,0,0,0,0,22,2,0,0,66,0,0,1,0,14883,0,0,0,0,1448,0,0
2025-07-24 03:24:03,0,1,1,0,0,19,0,0,0,0,0,0,10,3,0,0,2,0,0,5,0,34,0,0,0,1,22,0,0
2025-07-24 03:54:03,1,101,0,0,5,260,0,0,1,0,0,0,15,3,0,0,6,0,0,1,0,325,0,0,0,0,56,0,0
2025-07-24 04:24:03,0,2915,2,0,0,5381,0,0,0,0,0,0,89,55,0,0,21,7,0,0,171,7950,2,0,0,2,795,0,0
2025-07-24 04:54:03,0,2274,6,0,1,2756,0,0,0,0,0,0,66,31,0,0,24,0,0,3,845,2855,8,0,0,6,433,0,0
2025-07-24 05:24:03,3,2771,10,0,0,4889,0,0,12,0,0,0,176,146,0,0,91,16,0,4,308,6816,10,0,0,10,802,0,0
2025-07-24 05:54:03,0,3509,0,0,0,7463,0,0,2,0,0,0,8,5,0,0,18,0,0,0,0,9154,0,0,0,0,871,0,0
2025-07-24 06:24:03,0,2666,0,0,0,3835,0,0,0,0,0,0,9,6,0,0,10,0,0,1,0,4573,0,0,0,0,357,0,0
2025-07-24 06:54:03,0,2242,2,0,0,2465,0,0,0,0,0,0,23,12,0,0,10,4,0,0,316,2559,20,0,0,2,120,0,0
