record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-27 09:39:25,22,10452,42,0,1,10655,6,0,0,0,0,0,106,57,0,0,69,33,0,0,0,13569,0,0,0,42,333,0,0
2025-07-27 10:09:25,71,5172,10,0,1,5347,17,0,1,0,0,0,121,75,0,0,83,12,0,0,241,6413,12,0,0,10,299,0,0
2025-07-27 10:39:25,734,163,6,0,0,237,9,0,0,0,0,0,43,24,0,0,27,10,0,0,44,295,2,0,0,6,45,0,329
2025-07-27 11:09:25,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-27 11:39:25,707,7,2,0,0,10,10,4,1,0,0,0,57,43,0,0,13,4,0,0,0,40,0,0,0,2,55,8,0
2025-07-27 12:09:25,58,0,3,0,0,0,0,0,0,0,0,0,13,3,0,0,10,6,0,1,0,2,0,0,0,3,11,0,943
2025-07-27 12:39:25,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,854
2025-07-27 14:39:28,32,853,6,0,4,1041,5,0,3,0,0,0,118,85,0,0,38,9,0,2,356,1245,7,0,0,6,85,2,0
2025-07-27 15:09:28,91,16807,9,0,0,16941,5,8,4,0,0,0,127,97,7,3,46,14,1,0,84,18977,1,0,1,9,457,2,0
2025-07-27 15:39:28,23,196,7,0,0,204,27,1,0,0,0,0,89,68,11,11,25,14,1,0,0,597,0,0,1,7,106,2,658
2025-07-27 16:09:28,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,6,0,0,0,0,0,0,0,0,0,2,0,629
2025-07-27 23:57:48,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,0,0,0,0,0,0,0,0,2,0,1480
2025-07-28 09:27:48,2,0,2,0,0,0,0,0,2,0,0,0,33,19,0,0,8,4,0,0,0,56,0,0,0,2,21,0,0
2025-07-28 09:57:48,17,6215,8,0,16,6396,2,0,1,0,0,0,84,52,0,0,34,12,0,0,0,8800,0,0,0,8,271,2,0
2025-07-28 10:27:48,0,865,1,0,0,1337,0,0,0,0,0,0,239,226,0,0,30,2,0,0,0,2621,0,0,0,1,246,0,0
2025-07-28 10:57:48,4,2046,4,0,0,6750,0,0,0,0,0,0,142,121,0,0,28,7,0,0,0,8261,0,0,0,4,743,0,0
2025-07-28 11:27:48,0,4659,1,0,0,14553,0,0,0,0,0,0,43,42,0,0,3,0,0,0,0,18203,0,0,0,1,1591,0,0
2025-07-28 11:57:48,0,1140,0,0,0,1514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2590,0,0,0,0,55,0,0
2025-07-28 12:27:48,0,1019,2,0,0,1019,0,0,0,0,0,0,8,5,0,0,5,0,0,2,0,1879,0,0,0,2,16,0,0
2025-07-28 12:57:48,0,1571,0,0,0,2904,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4082,0,0,0,0,240,0,0
2025-07-28 13:27:48,0,1045,0,0,0,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1945,0,0,0,0,0,0,0
2025-07-28 13:57:48,0,1053,0,0,0,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1953,0,0,0,0,0,0,0
2025-07-28 14:27:48,0,1001,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1901,0,0,0,0,0,0,0
