record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-07-13 10:28:05,113,363,5,0,0,740,139,2,0,0,0,0,133,90,19,0,43,8,0,6,208,1118,6,1,0,5,141,7,0
2025-07-13 22:56:59,94,564,14,0,1,1247,32,3,10,1,0,0,189,150,10,0,76,24,0,2,309,1526,6,0,0,14,78,15,0
2025-07-14 01:48:37,86,265,6,0,2,335,345,14,0,0,0,0,300,226,88,4,31,10,2,2,3,1126,0,1,2,6,154,6,0
2025-07-14 03:27:53,145,590,9,0,0,864,106,5,19,0,0,0,198,168,0,0,39,17,1,1,296,1463,2,1,1,9,161,20,0
2025-07-14 03:57:53,18,3267,8,0,0,3911,192,7,10,0,0,0,230,187,13,11,42,8,0,5,911,4819,4,0,0,8,153,2,0
2025-07-14 04:27:53,9,5584,10,0,0,5999,0,1,0,0,0,0,117,83,0,0,53,12,0,8,643,7001,3,0,0,10,224,0,0
2025-07-14 04:57:53,33,6708,10,0,0,7152,99,4,68,1,0,0,250,188,0,0,47,10,0,7,309,8476,1,0,0,10,305,6,0
2025-07-14 07:33:43,13,11141,6,0,0,11878,22,1,32,1,0,0,76,52,0,0,27,10,0,0,767,13780,3,0,0,6,253,21,0
2025-07-14 08:06:41,5,4057,8,0,0,4098,0,0,48,1,0,0,102,84,0,0,33,16,1,0,0,5220,0,0,1,8,115,0,0
2025-07-14 09:06:41,12,903,11,0,1,1380,65,0,23,1,0,0,130,88,0,0,35,6,0,9,834,1600,3,0,0,11,175,0,0
2025-07-14 09:36:44,113,3592,2,0,0,3897,258,7,132,1,0,0,216,154,2,2,26,2,0,4,379,5008,1,0,0,2,157,7,0
2025-07-14 10:06:44,49,1483,10,0,0,1732,73,2,74,1,0,0,190,152,9,10,31,8,1,2,269,2106,1,0,1,10,99,0,0
2025-07-14 11:11:20,5,0,7,0,0,5,0,0,11,0,0,0,35,23,0,0,11,14,0,4,0,41,0,1,0,7,35,0,0
2025-07-14 11:41:22,10,8,1,0,0,14,11,1,9,1,0,0,22,15,0,0,3,2,0,1,0,58,0,0,0,1,13,8,0
2025-07-14 12:41:22,18,223,3,0,0,296,31,1,55,1,0,0,70,55,4,4,19,4,0,8,142,417,0,0,0,3,59,5,0
2025-07-14 14:11:56,7,8327,10,0,0,8767,5,1,6,0,0,0,204,172,0,0,48,14,0,4,669,10011,2,0,0,10,309,1,0
2025-07-14 22:33:23,278,359,3,0,2,563,151,5,0,0,0,0,361,272,0,0,30,4,0,44,166,1033,0,1,0,3,229,110,0
2025-07-14 23:05:11,4,5226,8,0,0,5702,0,0,0,0,0,0,59,40,0,0,38,16,0,2,683,6676,4,0,0,8,282,0,0
2025-07-15 03:42:56,2,10438,7,0,0,10789,15,0,0,0,0,0,75,51,0,0,33,8,0,3,448,12652,4,1,0,7,317,0,0
2025-07-15 06:22:46,95,191,4,0,0,271,709,19,713,1,0,0,215,150,38,5,24,12,2,15,14,1917,1,1,2,4,157,27,0
2025-07-15 08:09:00,309,108,5,0,0,163,306,17,176,1,0,0,323,252,77,0,37,22,0,8,20,1079,20,0,0,5,162,53,0
2025-07-15 09:17:08,10,2,0,0,0,6,89,7,2519,1,0,0,85,63,0,0,7,2,0,3,372,2004,45,1,0,0,58,2,0
2025-07-15 10:12:52,72,3581,9,0,0,5699,26,5,433,1,0,0,206,127,0,0,50,15,0,69,462,8529,29,1,0,9,561,3,0
2025-07-15 11:06:32,39,2876,8,0,2,4758,24,42,547,1,0,0,253,173,0,0,54,20,0,6,286,7010,58,1,0,8,597,1,0
2025-07-15 12:59:55,58,0,1,0,0,0,0,0,2317,1,0,0,33,26,0,0,2,4,0,0,424,2116,34,1,0,1,15,0,0
2025-07-15 14:25:00,17,0,0,0,0,0,0,0,2424,1,0,0,31,21,0,0,4,6,0,0,299,2157,37,1,0,0,16,0,0
2025-07-15 14:55:00,55,5244,1,0,0,9931,20,3,866,1,0,0,66,35,0,0,8,2,0,34,130,12982,23,0,0,1,920,0,0
2025-07-15 15:25:00,0,1781,0,0,0,2726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4436,0,0,0,0,354,0,0
